transaction_id,order_id,merchant_id,customer_id,order_date,order_amount,currency,payment_method,payment_count,payment_total,payment_statuses,payment_dates,payment_ids,payment_methods,bank_transaction_count,bank_total,bank_references,bank_dates,bank_transaction_types,settlement_count,settlement_gross_total,settlement_fee_total,settlement_tax_total,settlement_adjustment_total,settlement_refund_total,settlement_chargeback_total,settlement_net_total,settlement_dates,settlement_ids,settlement_references,settlement_statuses,clean_payment_dates,clean_payment_total,clean_settlement_date,clean_settlement_gross,clean_settlement_fee,clean_settlement_tax,clean_settlement_adjustment,clean_settlement_refund,clean_settlement_chargeback,clean_settlement_net,clean_bank_reference
TXN00011,ORD00011,MERCHANT_003,CUST0283,2026-06-10,3999,INR,NETBANKING,1.0,3999.0,SUCCESS,2026-06-12,PAY00011,NETBANKING,1,3999,TXN00011,2026-06-12,CREDIT,1.0,3999.0,79.98,14.4,0.0,0.0,0.0,3904.62,2026-06-11,SET00011,SET00011,SETTLED,2026-06-12,3999,2026-06-11,3999.0,79.98,14.4,0.0,0.0,0.0,3904.62,TXN00011
TXN00012,ORD00012,MERCHANT_002,CUST0296,2026-06-30,299,INR,UPI,1.0,299.0,SUCCESS,2026-07-02,PAY00012,UPI,1,299,TXN00012,2026-07-02,CREDIT,1.0,299.0,5.98,1.08,0.0,0.0,0.0,291.94,2026-07-01,SET00012,SET00012,SETTLED,2026-07-02,299,2026-07-01,299.0,5.98,1.08,0.0,0.0,0.0,291.94,TXN00012
TXN00013,ORD00013,MERCHANT_003,CUST0117,2026-01-21,9999,INR,CARD,1.0,9999.0,SUCCESS,2026-01-22,PAY00013,CARD,1,9999,TXN00013,2026-01-22,CREDIT,1.0,9999.0,119.99,21.6,0.0,0.0,0.0,9857.41,2026-01-23,SET00013,SET00013,SETTLED,2026-01-22,9999,2026-01-23,9999.0,119.99,21.6,0.0,0.0,0.0,9857.41,TXN00013
TXN00014,ORD00014,MERCHANT_004,CUST0052,2026-03-13,2499,INR,NETBANKING,1.0,2499.0,SUCCESS,2026-03-13,PAY00014,NETBANKING,1,2499,TXN00014,2026-03-13,CREDIT,1.0,2499.0,49.98,9.0,0.0,0.0,0.0,2440.02,2026-03-15,SET00014,SET00014,SETTLED,2026-03-13,2499,2026-03-15,2499.0,49.98,9.0,0.0,0.0,0.0,2440.02,TXN00014
TXN00015,ORD00015,MERCHANT_003,CUST0084,2026-04-01,799,INR,NETBANKING,1.0,799.0,SUCCESS,2026-04-02,PAY00015,NETBANKING,1,799,TXN00015,2026-04-02,CREDIT,1.0,799.0,7.99,1.44,0.0,0.0,0.0,789.57,2026-04-02,SET00015,SET00015,SETTLED,2026-04-02,799,2026-04-02,799.0,7.99,1.44,0.0,0.0,0.0,789.57,TXN00015
TXN00016,ORD00016,MERCHANT_005,CUST0037,2026-06-12,499,INR,CARD,1.0,499.0,SUCCESS,2026-06-13,PAY00016,CARD,1,499,TXN00016,2026-06-13,CREDIT,1.0,499.0,8.98,1.62,0.0,0.0,0.0,488.4,2026-06-13,SET00016,SET00016,SETTLED,2026-06-13,499,2026-06-13,499.0,8.98,1.62,0.0,0.0,0.0,488.4,TXN00016
TXN00017,ORD00017,MERCHANT_004,CUST0084,2026-04-08,999,INR,CARD,1.0,999.0,SUCCESS,2026-04-08,PAY00017,CARD,1,999,TXN00017,2026-04-08,CREDIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2026-04-08,999,2026-04-09,999.0,14.98,2.7,0.0,0.0,0.0,981.32,TXN00017
TXN00018,ORD00018,MERCHANT_001,CUST0167,2026-02-28,9999,INR,UPI,1.0,9999.0,SUCCESS,2026-02-28,PAY00018,UPI,1,9999,TXN00018,2026-02-28,CREDIT,1.0,9999.0,119.99,21.6,0.0,0.0,0.0,9857.41,2026-03-01,SET00018,SET00018,SETTLED,2026-02-28,9999,2026-03-01,9999.0,119.99,21.6,0.0,0.0,0.0,9857.41,TXN00018
TXN00019,ORD00019,MERCHANT_004,CUST0162,2026-03-10,299,INR,CARD,1.0,299.0,SUCCESS,2026-03-10,PAY00019,CARD,1,299,TXN00019,2026-03-10,CREDIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2026-03-10,299,2026-03-11,299.0,2.99,0.54,0.0,0.0,0.0,295.47,TXN00019
TXN00020,ORD00020,MERCHANT_003,CUST0291,2026-02-24,4999,INR,WALLET,1.0,4999.0,SUCCESS,2026-02-24,PAY00020,WALLET,1,4999,TXN00020,2026-02-24,CREDIT,1.0,4999.0,89.98,16.2,0.0,0.0,0.0,4892.82,2026-02-25,SET00020,SET00020,SETTLED,2026-02-24,4999,2026-02-25,4999.0,89.98,16.2,0.0,0.0,0.0,4892.82,TXN00020
TXN00021,ORD00021,MERCHANT_004,CUST0203,2026-02-06,999,INR,CARD,1.0,999.0,SUCCESS,2026-02-06,PAY00021,CARD,1,999,TXN00021,2026-02-06,CREDIT,1.0,999.0,14.98,2.7,0.0,0.0,0.0,981.32,2026-02-07,SET00021,SET00021,SETTLED,2026-02-06,999,2026-02-07,999.0,14.98,2.7,0.0,0.0,0.0,981.32,TXN00021
TXN00022,ORD00022,MERCHANT_005,CUST0127,2026-05-18,999,INR,WALLET,1.0,999.0,SUCCESS,2026-05-19,PAY00022,WALLET,1,999,TXN00022,2026-05-19,CREDIT,1.0,999.0,19.98,3.6,0.0,0.0,0.0,975.42,2026-05-19,SET00022,SET00022,SETTLED,2026-05-19,999,2026-05-19,999.0,19.98,3.6,0.0,0.0,0.0,975.42,TXN00022
TXN00023,ORD00023,MERCHANT_004,CUST0299,2026-04-03,799,INR,CARD,1.0,799.0,SUCCESS,2026-04-04,PAY00023,CARD,1,799,TXN00023,2026-04-04,CREDIT,1.0,799.0,7.99,1.44,0.0,0.0,0.0,789.57,2026-04-04,SET00023,SET00023,SETTLED,2026-04-04,799,2026-04-04,799.0,7.99,1.44,0.0,0.0,0.0,789.57,TXN00023
TXN00024,ORD00024,MERCHANT_004,CUST0261,2026-01-24,7999,INR,UPI,1.0,7999.0,SUCCESS,2026-01-24,PAY00024,UPI,1,7999,TXN00024,2026-01-24,CREDIT,1.0,7999.0,143.98,25.92,0.0,0.0,0.0,7829.1,2026-01-27,SET00024,SET00024,SETTLED,2026-01-24,7999,2026-01-27,7999.0,143.98,25.92,0.0,0.0,0.0,7829.1,TXN00024
TXN00025,ORD00025,MERCHANT_002,CUST0057,2026-06-10,499,INR,WALLET,1.0,499.0,SUCCESS,2026-06-11,PAY00025,WALLET,1,499,TXN00025,2026-06-11,CREDIT,2.0,998.0,9.98,1.8,0.0,0.0,0.0,986.22,2026-06-12,SET00025|SET00025_DUP,SET00025|SET00025_DUP,SETTLED,2026-06-11,499,2026-06-12,499.0,4.99,0.9,0.0,0.0,0.0,493.11,TXN00025
TXN00026,ORD00026,MERCHANT_004,CUST0033,2026-04-08,3999,INR,WALLET,1.0,3999.0,SUCCESS,2026-04-08,PAY00026,WALLET,1,3999,TXN00026,2026-04-08,CREDIT,1.0,3999.0,39.99,7.2,0.0,0.0,0.0,3951.81,2026-04-10,SET00026,SET00026,SETTLED,2026-04-08,3999,2026-04-10,3999.0,39.99,7.2,0.0,0.0,0.0,3951.81,TXN00026
TXN00027,ORD00027,MERCHANT_003,CUST0271,2026-05-22,9999,INR,UPI,1.0,9999.0,SUCCESS,2026-06-03,PAY00027,UPI,1,9999,TXN00027,2026-05-24,CREDIT,1.0,9999.0,149.98,27.0,0.0,0.0,0.0,9822.02,2026-05-24,SET00027,SET00027,SETTLED,2026-05-24,9999,2026-05-24,9999.0,149.98,27.0,0.0,0.0,0.0,9822.02,TXN00027
TXN00028,ORD00028,MERCHANT_005,CUST0059,2026-03-10,7999,INR,NETBANKING,1.0,7999.0,SUCCESS,2026-03-12,PAY00028,NETBANKING,1,7999,TXN00028,2026-03-12,CREDIT,1.0,7999.0,159.98,28.8,0.0,0.0,0.0,7810.22,2026-03-13,SET00028,SET00028,SETTLED,2026-03-12,7999,2026-03-13,7999.0,159.98,28.8,0.0,0.0,0.0,7810.22,TXN00028
TXN00029,ORD00029,MERCHANT_003,CUST0058,2026-04-22,499,INR,WALLET,1.0,499.0,SUCCESS,2026-04-24,PAY00029,WALLET,1,499,TXN00029,2026-04-24,CREDIT,1.0,499.0,9.98,1.8,0.0,0.0,0.0,399.2,2026-04-23,SET00029,SET00029,SETTLED,2026-04-24,499,2026-04-23,499.0,9.98,1.8,0.0,0.0,0.0,487.22,TXN00029
TXN00030,ORD00030,MERCHANT_003,CUST0002,2026-05-09,7999,INR,CARD,1.0,7999.0,SUCCESS,2026-05-10,PAY00030,CARD,1,7999,TXN00030,2026-05-10,CREDIT,1.0,7999.0,79.99,14.4,0.0,0.0,0.0,7904.61,2026-05-10,SET00030,SET00030,SETTLED,2026-05-10,7999,2026-05-10,7999.0,79.99,14.4,0.0,0.0,0.0,7904.61,TXN00030
TXN00031,ORD00031,MERCHANT_001,CUST0260,2026-06-10,999,INR,CARD,1.0,999.0,SUCCESS,2026-06-11,PAY00031,CARD,1,999,TXN00031,2026-06-11,CREDIT,1.0,999.0,11.99,2.16,0.0,0.0,0.0,984.85,2026-06-11,SET00031,SET00031,SETTLED,2026-06-11,999,2026-06-11,999.0,11.99,2.16,0.0,0.0,0.0,984.85,TXN00031
TXN00032,ORD00032,MERCHANT_003,CUST0079,2026-02-11,2999,INR,UPI,1.0,2999.0,SUCCESS,2026-02-11,PAY00032,UPI,1,2999,TXN00032,2026-02-11,CREDIT,1.0,2999.0,29.99,5.4,0.0,0.0,0.0,2963.61,2026-02-12,SET00032,SET00032,SETTLED,2026-02-11,2999,2026-02-12,2999.0,29.99,5.4,0.0,0.0,0.0,2963.61,TXN00032
TXN00033,ORD00033,MERCHANT_004,CUST0166,2026-01-05,299,INR,NETBANKING,1.0,299.0,SUCCESS,2026-01-06,PAY00033,NETBANKING,1,299,TXN00033,2026-01-06,CREDIT,1.0,299.0,2.99,0.54,0.0,0.0,0.0,295.47,2026-01-06,SET00033,SET00033,SETTLED,2026-01-06,299,2026-01-06,299.0,2.99,0.54,0.0,0.0,0.0,295.47,TXN00033
TXN00034,ORD00034,MERCHANT_002,CUST0158,2026-01-15,799,INR,UPI,1.0,799.0,SUCCESS,2026-01-16,PAY00034,UPI,1,799,TXN00034,2026-01-16,CREDIT,1.0,799.0,11.98,2.16,0.0,0.0,0.0,284.86,2026-01-17,SET00034,SET00034,SETTLED,2026-01-16,799,2026-01-17,799.0,11.98,2.16,0.0,0.0,0.0,784.86,TXN00034
TXN00035,ORD00035,MERCHANT_004,CUST0044,2026-01-18,7999,INR,CARD,1.0,7999.0,SUCCESS,2026-01-18,PAY00035,CARD,1,7999,TXN00035,2026-01-18,CREDIT,2.0,15998.0,239.96,43.2,0.0,0.0,0.0,15714.84,2026-01-20,SET00035|SET00035_DUP,SET00035|SET00035_DUP,SETTLED,2026-01-18,7999,2026-01-20,7999.0,119.98,21.6,0.0,0.0,0.0,7857.42,TXN00035
TXN00036,ORD00036,MERCHANT_004,CUST0066,2026-05-21,499,INR,NETBANKING,1.0,499.0,SUCCESS,2026-05-21,PAY00036,NETBANKING,1,499,TXN00036,2026-05-21,CREDIT,1.0,499.0,7.48,1.35,0.0,0.0,0.0,490.17,2026-05-22,SET00036,SET00036,SETTLED,2026-05-21,499,2026-05-22,499.0,7.48,1.35,0.0,0.0,0.0,490.17,TXN00036
TXN00037,ORD00037,MERCHANT_005,CUST0271,2026-04-19,799,INR,CARD,1.0,799.0,SUCCESS,2026-04-19,PAY00037,CARD,1,799,TXN00037,2026-04-19,CREDIT,1.0,799.0,9.59,1.73,0.0,0.0,0.0,787.68,2026-04-20,SET00037,SET00037,SETTLED,2026-04-19,799,2026-04-20,799.0,9.59,1.73,0.0,0.0,0.0,787.68,TXN00037
TXN00038,ORD00038,MERCHANT_004,CUST0160,2026-06-21,4999,INR,NETBANKING,1.0,4999.0,SUCCESS,2026-06-23,PAY00038,NETBANKING,1,4999,TXN00038,2026-06-23,CREDIT,1.0,4999.0,74.98,13.5,0.0,0.0,0.0,4910.52,2026-06-24,SET00038,SET00038,SETTLED,2026-06-23,4999,2026-06-24,4999.0,74.98,13.5,0.0,0.0,0.0,4910.52,TXN00038
TXN00039,ORD00039,MERCHANT_005,CUST0225,2026-04-26,299,INR,CARD,2.0,598.0,SUCCESS,2026-04-27,PAY00039|PAY00039_DUP,CARD,1,299,TXN00039,2026-04-27,CREDIT,1.0,299.0,2.99,0.54,0.0,0.0,0.0,295.47,2026-04-29,SET00039,SET00039,SETTLED,2026-04-27,299,2026-04-29,299.0,2.99,0.54,0.0,0.0,0.0,295.47,TXN00039
TXN00040,ORD00040,MERCHANT_001,CUST0116,2026-03-28,199,INR,CARD,1.0,199.0,SUCCESS,2026-03-28,PAY00040,CARD,1,199,TXN00040,2026-03-28,CREDIT,1.0,199.0,2.39,0.43,0.0,0.0,0.0,196.18,2026-03-30,SET00040,SET00040,SETTLED,2026-03-28,199,2026-03-30,199.0,2.39,0.43,0.0,0.0,0.0,196.18,TXN00040
TXN00041,ORD00041,MERCHANT_001,CUST0113,2026-01-19,5999,INR,UPI,1.0,5999.0,SUCCESS,2026-01-19,PAY00041,UPI,1,5999,TXN00041,2026-01-19,CREDIT,1.0,5999.0,71.99,12.96,0.0,0.0,0.0,5914.05,2026-01-21,SET00041,SET00041,SETTLED,2026-01-19,5999,2026-01-21,5999.0,71.99,12.96,0.0,0.0,0.0,5914.05,TXN00041
TXN00042,ORD00042,MERCHANT_001,CUST0118,2026-01-09,9999,INR,NETBANKING,1.0,9999.0,SUCCESS,2026-01-09,PAY00042,NETBANKING,1,9999,TXN00042,2026-01-09,CREDIT,1.0,9999.0,179.98,32.4,0.0,0.0,0.0,9786.62,2026-01-10,SET00042,SET00042,SETTLED,2026-01-09,9999,2026-01-10,9999.0,179.98,32.4,0.0,0.0,0.0,9786.62,TXN00042
TXN00043,ORD00043,MERCHANT_005,CUST0037,2026-03-02,999,INR,WALLET,1.0,999.0,SUCCESS,2026-03-02,PAY00043,WALLET,1,999,TXN00043,2026-03-02,CREDIT,1.0,999.0,14.98,2.7,0.0,0.0,0.0,981.32,2026-03-04,SET00043,SET00043,SETTLED,2026-03-02,999,2026-03-04,999.0,14.98,2.7,0.0,0.0,0.0,981.32,TXN00043
TXN00044,ORD00044,MERCHANT_005,CUST0110,2026-02-03,5999,INR,WALLET,1.0,5999.0,SUCCESS,2026-02-03,PAY00044,WALLET,1,5999,TXN00044,2026-02-03,CREDIT,1.0,5999.0,119.98,21.6,0.0,0.0,0.0,5857.42,2026-02-06,SET00044,SET00044,SETTLED,2026-02-03,5999,2026-02-06,5999.0,119.98,21.6,0.0,0.0,0.0,5857.42,TXN00044
TXN00045,ORD00045,MERCHANT_004,CUST0125,2026-04-15,799,INR,UPI,1.0,799.0,SUCCESS,2026-04-15,PAY00045,UPI,1,799,TXN00045,2026-04-15,CREDIT,1.0,799.0,11.98,2.16,0.0,0.0,0.0,784.86,2026-04-16,SET00045,SET00045,SETTLED,2026-04-15,799,2026-04-16,799.0,11.98,2.16,0.0,0.0,0.0,784.86,TXN00045
TXN00046,ORD00046,MERCHANT_004,CUST0050,2026-04-01,1999,INR,WALLET,1.0,1999.0,SUCCESS,2026-04-01,PAY00046,WALLET,1,1999,TXN00046,2026-04-01,CREDIT,1.0,1999.0,23.99,4.32,0.0,0.0,0.0,1970.69,2026-04-02,SET00046,SET00046,SETTLED,2026-04-01,1999,2026-04-02,1999.0,23.99,4.32,0.0,0.0,0.0,1970.69,TXN00046
TXN00047,ORD00047,MERCHANT_001,CUST0240,2026-06-22,4999,INR,UPI,1.0,4999.0,SUCCESS,2026-06-23,PAY00047,UPI,1,4999,TXN00047,2026-06-23,CREDIT,1.0,4999.0,74.98,13.5,0.0,0.0,0.0,4910.52,2026-06-23,SET00047,SET00047,SETTLED,2026-06-23,4999,2026-06-23,4999.0,74.98,13.5,0.0,0.0,0.0,4910.52,TXN00047
TXN00048,ORD00048,MERCHANT_004,CUST0032,2026-03-28,7999,INR,UPI,1.0,7999.0,SUCCESS,2026-03-28,PAY00048,UPI,1,7999,TXN00048,2026-03-28,CREDIT,1.0,7999.0,119.98,21.6,0.0,0.0,0.0,7857.42,2026-03-30,SET00048,SET00048,SETTLED,2026-03-28,7999,2026-03-30,7999.0,119.98,21.6,0.0,0.0,0.0,7857.42,TXN00048
TXN00049,ORD00049,MERCHANT_002,CUST0128,2026-02-18,2999,INR,WALLET,1.0,2999.0,SUCCESS,2026-02-18,PAY00049,WALLET,1,2999,TXN00049,2026-02-18,CREDIT,1.0,2999.0,35.99,6.48,0.0,0.0,0.0,2956.53,2026-02-19,SET00049,SET00049,SETTLED,2026-02-18,2999,2026-02-19,2999.0,35.99,6.48,0.0,0.0,0.0,2956.53,TXN00049
TXN00050,ORD00050,MERCHANT_004,CUST0072,2026-02-16,999,INR,WALLET,1.0,999.0,SUCCESS,2026-02-16,PAY00050,WALLET,1,999,TXN00050,2026-02-16,CREDIT,1.0,999.0,14.98,2.7,0.0,0.0,0.0,0.0,2026-02-18,SET00050,SET00050,SETTLED,2026-02-16,999,2026-02-18,999.0,14.98,2.7,0.0,0.0,0.0,981.32,TXN00050
TXN00051,ORD00051,MERCHANT_001,CUST0128,2026-04-24,7999,INR,UPI,2.0,10398.7,SUCCESS,2026-04-25,PAY00051|PAY00051_PART2,UPI,1,7999,TXN00051,2026-04-25,CREDIT,1.0,7999.0,143.98,25.92,0.0,0.0,0.0,7829.1,2026-04-25,SET00051,SET00051,SETTLED,2026-04-25,7999,2026-04-25,7999.0,143.98,25.92,0.0,0.0,0.0,7829.1,TXN00051
TXN00052,ORD00052,MERCHANT_005,CUST0026,2026-01-04,299,INR,CARD,1.0,299.0,SUCCESS,2026-01-04,PAY00052,CARD,1,299,TXN00052,2026-01-04,CREDIT,1.0,299.0,5.38,0.97,0.0,0.0,0.0,292.65,2026-01-06,SET00052,SET00052,SETTLED,2026-01-04,299,2026-01-06,299.0,5.38,0.97,0.0,0.0,0.0,292.65,TXN00052
TXN00053,ORD00053,MERCHANT_004,CUST0086,2026-05-05,2499,INR,CARD,1.0,2499.0,SUCCESS,2026-05-05,PAY00053,CARD,1,2499,TXN00053,2026-05-05,CREDIT,1.0,2499.0,37.48,6.75,0.0,0.0,0.0,2454.77,2026-05-06,SET00053,SET00053,SETTLED,2026-05-05,2499,2026-05-06,2499.0,37.48,6.75,0.0,0.0,0.0,2454.77,TXN00053
TXN00054,ORD00054,MERCHANT_001,CUST0206,2026-02-12,1999,INR,UPI,0.0,0.0,,,,,1,1999,TXN00054,2026-02-14,CREDIT,1.0,1999.0,23.99,4.32,0.0,0.0,0.0,1970.69,2026-02-13,SET00054,SET00054,SETTLED,2026-02-14,1999,2026-02-13,1999.0,23.99,4.32,0.0,0.0,0.0,1970.69,TXN00054
TXN00055,ORD00055,MERCHANT_003,CUST0200,2026-04-27,999,INR,WALLET,1.0,999.0,SUCCESS,2026-04-28,PAY00055,WALLET,1,999,TXN00055,2026-04-28,CREDIT,1.0,999.0,19.98,3.6,0.0,0.0,0.0,975.42,2026-04-30,SET00055,SET00055,SETTLED,2026-04-28,999,2026-04-30,999.0,19.98,3.6,0.0,0.0,0.0,975.42,TXN00055
TXN00056,ORD00056,MERCHANT_004,CUST0285,2026-02-09,799,INR,NETBANKING,1.0,799.0,SUCCESS,2026-02-10,PAY00056,NETBANKING,1,799,TXN00056,2026-02-10,CREDIT,1.0,799.0,11.98,2.16,0.0,0.0,0.0,784.86,2026-02-11,SET00056,SET00056,SETTLED,2026-02-10,799,2026-02-11,799.0,11.98,2.16,0.0,0.0,0.0,784.86,TXN00056
TXN00057,ORD00057,MERCHANT_001,CUST0112,2026-05-29,5999,INR,UPI,0.0,0.0,,,,,1,5999,TXN00057,2026-05-29,CREDIT,1.0,5999.0,119.98,21.6,0.0,0.0,0.0,5857.42,2026-06-01,SET00057,SET00057,SETTLED,2026-05-29,5999,2026-06-01,5999.0,119.98,21.6,0.0,0.0,0.0,5857.42,TXN00057
TXN00058,ORD00058,MERCHANT_001,CUST0161,2026-01-13,3999,INR,WALLET,1.0,3999.0,SUCCESS,2026-01-14,PAY00058,WALLET,1,3999,TXN00058,2026-01-14,CREDIT,1.0,3999.0,79.98,14.4,0.0,0.0,0.0,3904.62,2026-01-15,SET00058,SET00058,SETTLED,2026-01-14,3999,2026-01-15,3999.0,79.98,14.4,0.0,0.0,0.0,3904.62,TXN00058
TXN00059,ORD00059,MERCHANT_005,CUST0258,2026-02-10,199,INR,UPI,1.0,199.0,SUCCESS,2026-02-10,PAY00059,UPI,1,199,TXN00059,2026-02-10,CREDIT,1.0,199.0,2.98,0.54,0.0,0.0,0.0,195.48,2026-02-12,SET00059,SET00059,SETTLED,2026-02-10,199,2026-02-12,199.0,2.98,0.54,0.0,0.0,0.0,195.48,TXN00059
TXN00060,ORD00060,MERCHANT_001,CUST0096,2026-06-02,299,INR,CARD,1.0,299.0,SUCCESS,2026-06-03,PAY00060,CARD,1,299,TXN00060,2026-06-03,CREDIT,1.0,299.0,3.59,0.65,0.0,0.0,0.0,294.76,2026-06-03,SET00060,SET00060,SETTLED,2026-06-03,299,2026-06-03,299.0,3.59,0.65,0.0,0.0,0.0,294.76,TXN00060
TXN00061,ORD00061,MERCHANT_001,CUST0207,2026-05-26,799,INR,UPI,1.0,799.0,SUCCESS,2026-05-26,PAY00061,UPI,1,799,TXN00061,2026-05-26,CREDIT,1.0,799.0,14.38,2.59,0.0,0.0,0.0,782.03,2026-05-28,SET00061,SET00061,SETTLED,2026-05-26,799,2026-05-28,799.0,14.38,2.59,0.0,0.0,0.0,782.03,TXN00061
TXN00062,ORD00062,MERCHANT_004,CUST0042,2026-06-18,3999,INR,NETBANKING,1.0,3999.0,SUCCESS,2026-06-20,PAY00062,NETBANKING,1,3999,TXN00062,2026-06-20,CREDIT,1.0,3999.0,39.99,7.2,0.0,0.0,0.0,3951.81,2026-06-19,SET00062,SET00062,SETTLED,2026-06-20,3999,2026-06-19,3999.0,39.99,7.2,0.0,0.0,0.0,3951.81,TXN00062
TXN00063,ORD00063,MERCHANT_002,CUST0134,2026-06-21,5999,INR,NETBANKING,1.0,5999.0,SUCCESS,2026-06-22,PAY00063,NETBANKING,1,5999,TXN00063,2026-06-22,CREDIT,1.0,5999.0,71.99,12.96,0.0,0.0,0.0,5914.05,2026-06-22,SET00063,SET00063,SETTLED,2026-06-22,5999,2026-06-22,5999.0,71.99,12.96,0.0,0.0,0.0,5914.05,TXN00063
TXN00064,ORD00064,MERCHANT_003,CUST0123,2026-04-12,499,INR,NETBANKING,1.0,499.0,SUCCESS,2026-04-12,PAY00064,NETBANKING,1,499,TXN00064,2026-04-12,CREDIT,1.0,499.0,5.99,1.08,0.0,0.0,0.0,491.93,2026-04-15,SET00064,SET00064,SETTLED,2026-04-12,499,2026-04-15,499.0,5.99,1.08,0.0,0.0,0.0,491.93,TXN00064
