transaction_id,order_id,order_amount,payment_count,payment_total,payment_dates,clean_payment_dates,bank_references,settlement_dates,clean_settlement_date,bank_transaction_count,bank_total,settlement_count,settlement_gross_total,settlement_fee_total,settlement_tax_total,settlement_adjustment_total,settlement_refund_total,settlement_chargeback_total,settlement_net_total,status,exception_type,reason,difference,clean_settlement_net,clean_settlement_gross,clean_settlement_fee,clean_settlement_tax,clean_settlement_adjustment,clean_settlement_refund,clean_settlement_chargeback
TXN00011,ORD00011,3999,1.0,3999.0,2026-06-12,2026-06-12,TXN00011,2026-06-11,2026-06-11,1,3999,1.0,3999.0,79.98,14.4,0.0,0.0,0.0,3904.62,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,3904.62,3999.0,79.98,14.4,0.0,0.0,0.0
TXN00012,ORD00012,299,1.0,299.0,2026-07-02,2026-07-02,TXN00012,2026-07-01,2026-07-01,1,299,1.0,299.0,5.98,1.08,0.0,0.0,0.0,291.94,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,291.94,299.0,5.98,1.08,0.0,0.0,0.0
TXN00013,ORD00013,9999,1.0,9999.0,2026-01-22,2026-01-22,TXN00013,2026-01-23,2026-01-23,1,9999,1.0,9999.0,119.99,21.6,0.0,0.0,0.0,9857.41,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,9857.41,9999.0,119.99,21.6,0.0,0.0,0.0
TXN00014,ORD00014,2499,1.0,2499.0,2026-03-13,2026-03-13,TXN00014,2026-03-15,2026-03-15,1,2499,1.0,2499.0,49.98,9.0,0.0,0.0,0.0,2440.02,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,2440.02,2499.0,49.98,9.0,0.0,0.0,0.0
TXN00015,ORD00015,799,1.0,799.0,2026-04-02,2026-04-02,TXN00015,2026-04-02,2026-04-02,1,799,1.0,799.0,7.99,1.44,0.0,0.0,0.0,789.57,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,789.57,799.0,7.99,1.44,0.0,0.0,0.0
TXN00016,ORD00016,499,1.0,499.0,2026-06-13,2026-06-13,TXN00016,2026-06-13,2026-06-13,1,499,1.0,499.0,8.98,1.62,0.0,0.0,0.0,488.4,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,488.4,499.0,8.98,1.62,0.0,0.0,0.0
TXN00017,ORD00017,999,1.0,999.0,2026-04-08,2026-04-08,TXN00017,,2026-04-09,1,999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EXCEPTION,MISSING_SETTLEMENT,No settlement record exists for the transaction.,999.0,981.32,999.0,14.98,2.7,0.0,0.0,0.0
TXN00018,ORD00018,9999,1.0,9999.0,2026-02-28,2026-02-28,TXN00018,2026-03-01,2026-03-01,1,9999,1.0,9999.0,119.99,21.6,0.0,0.0,0.0,9857.41,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,9857.41,9999.0,119.99,21.6,0.0,0.0,0.0
TXN00019,ORD00019,299,1.0,299.0,2026-03-10,2026-03-10,TXN00019,,2026-03-11,1,299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EXCEPTION,MISSING_SETTLEMENT,No settlement record exists for the transaction.,299.0,295.47,299.0,2.99,0.54,0.0,0.0,0.0
TXN00020,ORD00020,4999,1.0,4999.0,2026-02-24,2026-02-24,TXN00020,2026-02-25,2026-02-25,1,4999,1.0,4999.0,89.98,16.2,0.0,0.0,0.0,4892.82,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,4892.82,4999.0,89.98,16.2,0.0,0.0,0.0
TXN00021,ORD00021,999,1.0,999.0,2026-02-06,2026-02-06,TXN00021,2026-02-07,2026-02-07,1,999,1.0,999.0,14.98,2.7,0.0,0.0,0.0,981.32,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,981.32,999.0,14.98,2.7,0.0,0.0,0.0
TXN00022,ORD00022,999,1.0,999.0,2026-05-19,2026-05-19,TXN00022,2026-05-19,2026-05-19,1,999,1.0,999.0,19.98,3.6,0.0,0.0,0.0,975.42,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,975.42,999.0,19.98,3.6,0.0,0.0,0.0
TXN00023,ORD00023,799,1.0,799.0,2026-04-04,2026-04-04,TXN00023,2026-04-04,2026-04-04,1,799,1.0,799.0,7.99,1.44,0.0,0.0,0.0,789.57,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,789.57,799.0,7.99,1.44,0.0,0.0,0.0
TXN00024,ORD00024,7999,1.0,7999.0,2026-01-24,2026-01-24,TXN00024,2026-01-27,2026-01-27,1,7999,1.0,7999.0,143.98,25.92,0.0,0.0,0.0,7829.1,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,7829.1,7999.0,143.98,25.92,0.0,0.0,0.0
TXN00025,ORD00025,499,1.0,499.0,2026-06-11,2026-06-11,TXN00025,2026-06-12,2026-06-12,1,499,2.0,998.0,9.98,1.8,0.0,0.0,0.0,986.22,EXCEPTION,DUPLICATE_SETTLEMENT,Duplicate settlement record detected.,-11.78,493.11,499.0,4.99,0.9,0.0,0.0,0.0
TXN00026,ORD00026,3999,1.0,3999.0,2026-04-08,2026-04-08,TXN00026,2026-04-10,2026-04-10,1,3999,1.0,3999.0,39.99,7.2,0.0,0.0,0.0,3951.81,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,3951.81,3999.0,39.99,7.2,0.0,0.0,0.0
TXN00027,ORD00027,9999,1.0,9999.0,2026-06-03,2026-05-24,TXN00027,2026-05-24,2026-05-24,1,9999,1.0,9999.0,149.98,27.0,0.0,0.0,0.0,9822.02,EXCEPTION,DATE_MISMATCH,Payment date differs from the clean reference date.,0.0,9822.02,9999.0,149.98,27.0,0.0,0.0,0.0
TXN00028,ORD00028,7999,1.0,7999.0,2026-03-12,2026-03-12,TXN00028,2026-03-13,2026-03-13,1,7999,1.0,7999.0,159.98,28.8,0.0,0.0,0.0,7810.22,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,7810.22,7999.0,159.98,28.8,0.0,0.0,0.0
TXN00029,ORD00029,499,1.0,499.0,2026-04-24,2026-04-24,TXN00029,2026-04-23,2026-04-23,1,499,1.0,499.0,9.98,1.8,0.0,0.0,0.0,399.2,EXCEPTION,PARTIAL_SETTLEMENT,Settlement net amount is 80% of gross amount.,99.8,487.22,499.0,9.98,1.8,0.0,0.0,0.0
TXN00030,ORD00030,7999,1.0,7999.0,2026-05-10,2026-05-10,TXN00030,2026-05-10,2026-05-10,1,7999,1.0,7999.0,79.99,14.4,0.0,0.0,0.0,7904.61,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,7904.61,7999.0,79.99,14.4,0.0,0.0,0.0
TXN00031,ORD00031,999,1.0,999.0,2026-06-11,2026-06-11,TXN00031,2026-06-11,2026-06-11,1,999,1.0,999.0,11.99,2.16,0.0,0.0,0.0,984.85,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,984.85,999.0,11.99,2.16,0.0,0.0,0.0
TXN00032,ORD00032,2999,1.0,2999.0,2026-02-11,2026-02-11,TXN00032,2026-02-12,2026-02-12,1,2999,1.0,2999.0,29.99,5.4,0.0,0.0,0.0,2963.61,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,2963.61,2999.0,29.99,5.4,0.0,0.0,0.0
TXN00033,ORD00033,299,1.0,299.0,2026-01-06,2026-01-06,TXN00033,2026-01-06,2026-01-06,1,299,1.0,299.0,2.99,0.54,0.0,0.0,0.0,295.47,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,295.47,299.0,2.99,0.54,0.0,0.0,0.0
TXN00034,ORD00034,799,1.0,799.0,2026-01-16,2026-01-16,TXN00034,2026-01-17,2026-01-17,1,799,1.0,799.0,11.98,2.16,0.0,0.0,0.0,284.86,EXCEPTION,AMOUNT_MISMATCH,Settlement net amount differs from the clean reference amount.,500.0,784.86,799.0,11.98,2.16,0.0,0.0,0.0
TXN00035,ORD00035,7999,1.0,7999.0,2026-01-18,2026-01-18,TXN00035,2026-01-20,2026-01-20,1,7999,2.0,15998.0,239.96,43.2,0.0,0.0,0.0,15714.84,EXCEPTION,DUPLICATE_SETTLEMENT,Duplicate settlement record detected.,-283.16,7857.42,7999.0,119.98,21.6,0.0,0.0,0.0
TXN00036,ORD00036,499,1.0,499.0,2026-05-21,2026-05-21,TXN00036,2026-05-22,2026-05-22,1,499,1.0,499.0,7.48,1.35,0.0,0.0,0.0,490.17,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,490.17,499.0,7.48,1.35,0.0,0.0,0.0
TXN00037,ORD00037,799,1.0,799.0,2026-04-19,2026-04-19,TXN00037,2026-04-20,2026-04-20,1,799,1.0,799.0,9.59,1.73,0.0,0.0,0.0,787.68,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,787.68,799.0,9.59,1.73,0.0,0.0,0.0
TXN00038,ORD00038,4999,1.0,4999.0,2026-06-23,2026-06-23,TXN00038,2026-06-24,2026-06-24,1,4999,1.0,4999.0,74.98,13.5,0.0,0.0,0.0,4910.52,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,4910.52,4999.0,74.98,13.5,0.0,0.0,0.0
TXN00039,ORD00039,299,2.0,598.0,2026-04-27,2026-04-27,TXN00039,2026-04-29,2026-04-29,1,299,1.0,299.0,2.99,0.54,0.0,0.0,0.0,295.47,EXCEPTION,DUPLICATE_PAYMENT,Duplicate payment record detected.,299.0,295.47,299.0,2.99,0.54,0.0,0.0,0.0
TXN00040,ORD00040,199,1.0,199.0,2026-03-28,2026-03-28,TXN00040,2026-03-30,2026-03-30,1,199,1.0,199.0,2.39,0.43,0.0,0.0,0.0,196.18,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,196.18,199.0,2.39,0.43,0.0,0.0,0.0
TXN00041,ORD00041,5999,1.0,5999.0,2026-01-19,2026-01-19,TXN00041,2026-01-21,2026-01-21,1,5999,1.0,5999.0,71.99,12.96,0.0,0.0,0.0,5914.05,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,5914.05,5999.0,71.99,12.96,0.0,0.0,0.0
TXN00042,ORD00042,9999,1.0,9999.0,2026-01-09,2026-01-09,TXN00042,2026-01-10,2026-01-10,1,9999,1.0,9999.0,179.98,32.4,0.0,0.0,0.0,9786.62,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,9786.62,9999.0,179.98,32.4,0.0,0.0,0.0
TXN00043,ORD00043,999,1.0,999.0,2026-03-02,2026-03-02,TXN00043,2026-03-04,2026-03-04,1,999,1.0,999.0,14.98,2.7,0.0,0.0,0.0,981.32,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,981.32,999.0,14.98,2.7,0.0,0.0,0.0
TXN00044,ORD00044,5999,1.0,5999.0,2026-02-03,2026-02-03,TXN00044,2026-02-06,2026-02-06,1,5999,1.0,5999.0,119.98,21.6,0.0,0.0,0.0,5857.42,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,5857.42,5999.0,119.98,21.6,0.0,0.0,0.0
TXN00045,ORD00045,799,1.0,799.0,2026-04-15,2026-04-15,TXN00045,2026-04-16,2026-04-16,1,799,1.0,799.0,11.98,2.16,0.0,0.0,0.0,784.86,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,784.86,799.0,11.98,2.16,0.0,0.0,0.0
TXN00046,ORD00046,1999,1.0,1999.0,2026-04-01,2026-04-01,TXN00046,2026-04-02,2026-04-02,1,1999,1.0,1999.0,23.99,4.32,0.0,0.0,0.0,1970.69,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,1970.69,1999.0,23.99,4.32,0.0,0.0,0.0
TXN00047,ORD00047,4999,1.0,4999.0,2026-06-23,2026-06-23,TXN00047,2026-06-23,2026-06-23,1,4999,1.0,4999.0,74.98,13.5,0.0,0.0,0.0,4910.52,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,4910.52,4999.0,74.98,13.5,0.0,0.0,0.0
TXN00048,ORD00048,7999,1.0,7999.0,2026-03-28,2026-03-28,TXN00048,2026-03-30,2026-03-30,1,7999,1.0,7999.0,119.98,21.6,0.0,0.0,0.0,7857.42,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,7857.42,7999.0,119.98,21.6,0.0,0.0,0.0
TXN00049,ORD00049,2999,1.0,2999.0,2026-02-18,2026-02-18,TXN00049,2026-02-19,2026-02-19,1,2999,1.0,2999.0,35.99,6.48,0.0,0.0,0.0,2956.53,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,2956.53,2999.0,35.99,6.48,0.0,0.0,0.0
TXN00050,ORD00050,999,1.0,999.0,2026-02-16,2026-02-16,TXN00050,2026-02-18,2026-02-18,1,999,1.0,999.0,14.98,2.7,0.0,0.0,0.0,0.0,EXCEPTION,AMOUNT_MISMATCH,Settlement net amount differs from the clean reference amount.,981.32,981.32,999.0,14.98,2.7,0.0,0.0,0.0
TXN00051,ORD00051,7999,2.0,10398.7,2026-04-25,2026-04-25,TXN00051,2026-04-25,2026-04-25,1,7999,1.0,7999.0,143.98,25.92,0.0,0.0,0.0,7829.1,EXCEPTION,MULTIPLE_PAYMENTS,Multiple payment records exist for the same transaction.,2399.7,7829.1,7999.0,143.98,25.92,0.0,0.0,0.0
TXN00052,ORD00052,299,1.0,299.0,2026-01-04,2026-01-04,TXN00052,2026-01-06,2026-01-06,1,299,1.0,299.0,5.38,0.97,0.0,0.0,0.0,292.65,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,292.65,299.0,5.38,0.97,0.0,0.0,0.0
TXN00053,ORD00053,2499,1.0,2499.0,2026-05-05,2026-05-05,TXN00053,2026-05-06,2026-05-06,1,2499,1.0,2499.0,37.48,6.75,0.0,0.0,0.0,2454.77,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,2454.77,2499.0,37.48,6.75,0.0,0.0,0.0
TXN00054,ORD00054,1999,0.0,0.0,,2026-02-14,TXN00054,2026-02-13,2026-02-13,1,1999,1.0,1999.0,23.99,4.32,0.0,0.0,0.0,1970.69,EXCEPTION,MISSING_PAYMENT,No payment record exists for the transaction.,1999.0,1970.69,1999.0,23.99,4.32,0.0,0.0,0.0
TXN00055,ORD00055,999,1.0,999.0,2026-04-28,2026-04-28,TXN00055,2026-04-30,2026-04-30,1,999,1.0,999.0,19.98,3.6,0.0,0.0,0.0,975.42,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,975.42,999.0,19.98,3.6,0.0,0.0,0.0
TXN00056,ORD00056,799,1.0,799.0,2026-02-10,2026-02-10,TXN00056,2026-02-11,2026-02-11,1,799,1.0,799.0,11.98,2.16,0.0,0.0,0.0,784.86,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,784.86,799.0,11.98,2.16,0.0,0.0,0.0
TXN00057,ORD00057,5999,0.0,0.0,,2026-05-29,TXN00057,2026-06-01,2026-06-01,1,5999,1.0,5999.0,119.98,21.6,0.0,0.0,0.0,5857.42,EXCEPTION,MISSING_PAYMENT,No payment record exists for the transaction.,5999.0,5857.42,5999.0,119.98,21.6,0.0,0.0,0.0
TXN00058,ORD00058,3999,1.0,3999.0,2026-01-14,2026-01-14,TXN00058,2026-01-15,2026-01-15,1,3999,1.0,3999.0,79.98,14.4,0.0,0.0,0.0,3904.62,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,3904.62,3999.0,79.98,14.4,0.0,0.0,0.0
TXN00059,ORD00059,199,1.0,199.0,2026-02-10,2026-02-10,TXN00059,2026-02-12,2026-02-12,1,199,1.0,199.0,2.98,0.54,0.0,0.0,0.0,195.48,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,195.48,199.0,2.98,0.54,0.0,0.0,0.0
TXN00060,ORD00060,299,1.0,299.0,2026-06-03,2026-06-03,TXN00060,2026-06-03,2026-06-03,1,299,1.0,299.0,3.59,0.65,0.0,0.0,0.0,294.76,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,294.76,299.0,3.59,0.65,0.0,0.0,0.0
TXN00061,ORD00061,799,1.0,799.0,2026-05-26,2026-05-26,TXN00061,2026-05-28,2026-05-28,1,799,1.0,799.0,14.38,2.59,0.0,0.0,0.0,782.03,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,782.03,799.0,14.38,2.59,0.0,0.0,0.0
TXN00062,ORD00062,3999,1.0,3999.0,2026-06-20,2026-06-20,TXN00062,2026-06-19,2026-06-19,1,3999,1.0,3999.0,39.99,7.2,0.0,0.0,0.0,3951.81,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,3951.81,3999.0,39.99,7.2,0.0,0.0,0.0
TXN00063,ORD00063,5999,1.0,5999.0,2026-06-22,2026-06-22,TXN00063,2026-06-22,2026-06-22,1,5999,1.0,5999.0,71.99,12.96,0.0,0.0,0.0,5914.05,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,5914.05,5999.0,71.99,12.96,0.0,0.0,0.0
TXN00064,ORD00064,499,1.0,499.0,2026-04-12,2026-04-12,TXN00064,2026-04-15,2026-04-15,1,499,1.0,499.0,5.99,1.08,0.0,0.0,0.0,491.93,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,491.93,499.0,5.99,1.08,0.0,0.0,0.0
TXN00065,ORD00065,199,1.0,199.0,2026-01-20,2026-01-20,TXN00065,2026-01-22,2026-01-22,1,199,1.0,199.0,3.58,0.64,0.0,0.0,0.0,194.78,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,194.78,199.0,3.58,0.64,0.0,0.0,0.0
TXN00066,ORD00066,2999,1.0,2999.0,2026-01-19,2026-01-19,TXN00066,2026-01-21,2026-01-21,1,2999,1.0,2999.0,29.99,5.4,0.0,0.0,0.0,2963.61,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,2963.61,2999.0,29.99,5.4,0.0,0.0,0.0
TXN00067,ORD00067,1499,1.0,1499.0,2026-02-05,2026-02-05,TXN00067,2026-02-05,2026-02-05,1,1499,1.0,1499.0,26.98,4.86,0.0,374.75,0.0,1092.41,EXCEPTION,REFUND,Settlement contains a refund.,374.75,1467.16,1499.0,26.98,4.86,0.0,0.0,0.0
TXN00068,ORD00068,499,1.0,499.0,2026-03-14,2026-03-14,TXN00068,2026-03-16,2026-03-16,1,499,1.0,499.0,8.98,1.62,0.0,0.0,0.0,488.4,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,488.4,499.0,8.98,1.62,0.0,0.0,0.0
TXN00069,ORD00069,7999,1.0,7999.0,2026-06-06,2026-06-06,TXN00069,2026-06-08,2026-06-08,1,7999,1.0,7999.0,119.98,21.6,0.0,0.0,0.0,7857.42,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,7857.42,7999.0,119.98,21.6,0.0,0.0,0.0
TXN00070,ORD00070,299,1.0,299.0,2026-06-21,2026-06-21,TXN00070,2026-06-21,2026-06-21,1,299,1.0,299.0,2.99,0.54,0.0,0.0,0.0,295.47,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,295.47,299.0,2.99,0.54,0.0,0.0,0.0
TXN00071,ORD00071,5999,1.0,5999.0,2026-01-28,2026-01-28,TXN00071,2026-01-31,2026-01-31,1,5999,1.0,5999.0,59.99,10.8,0.0,0.0,0.0,5928.21,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,5928.21,5999.0,59.99,10.8,0.0,0.0,0.0
TXN00072,ORD00072,799,1.0,799.0,2026-06-04,2026-06-04,TXN00072,2026-06-07,2026-06-07,1,799,1.0,799.0,15.98,2.88,0.0,0.0,0.0,780.14,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,780.14,799.0,15.98,2.88,0.0,0.0,0.0
TXN00073,ORD00073,2499,1.0,2499.0,2026-05-10,2026-05-10,TXN00073,2026-05-11,2026-05-11,1,2499,1.0,2499.0,37.48,6.75,0.0,0.0,0.0,2454.77,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,2454.77,2499.0,37.48,6.75,0.0,0.0,0.0
TXN00074,ORD00074,1999,1.0,1999.0,2026-06-12,2026-06-12,TXN00074,2026-06-13,2026-06-13,1,1999,1.0,1999.0,29.98,5.4,0.0,0.0,0.0,1963.62,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,1963.62,1999.0,29.98,5.4,0.0,0.0,0.0
TXN00075,ORD00075,7999,1.0,7999.0,2026-03-27,2026-03-27,TXN00075,2026-03-29,2026-03-29,1,7999,1.0,7999.0,95.99,17.28,0.0,0.0,0.0,7885.73,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,7885.73,7999.0,95.99,17.28,0.0,0.0,0.0
TXN00076,ORD00076,2999,1.0,2999.0,2026-04-25,2026-04-25,TXN00076,2026-04-26,2026-04-26,1,2999,1.0,2999.0,29.99,5.4,0.0,0.0,0.0,2963.61,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,2963.61,2999.0,29.99,5.4,0.0,0.0,0.0
TXN00077,ORD00077,299,2.0,598.0,2026-01-29,2026-01-29,TXN00077,2026-02-01,2026-02-01,1,299,1.0,299.0,4.48,0.81,0.0,0.0,0.0,293.71,EXCEPTION,DUPLICATE_PAYMENT,Duplicate payment record detected.,299.0,293.71,299.0,4.48,0.81,0.0,0.0,0.0
TXN00078,ORD00078,3999,1.0,3999.0,2026-04-06,2026-04-06,TXN00078,2026-04-07,2026-04-07,1,3999,1.0,3999.0,47.99,8.64,0.0,0.0,0.0,3942.37,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,3942.37,3999.0,47.99,8.64,0.0,0.0,0.0
TXN00079,ORD00079,999,1.0,999.0,2026-01-13,2026-01-13,TXN00079,2026-01-13,2026-01-13,1,999,1.0,999.0,9.99,1.8,0.0,0.0,0.0,987.21,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,987.21,999.0,9.99,1.8,0.0,0.0,0.0
TXN00080,ORD00080,4999,1.0,4999.0,2026-02-23,2026-02-23,TXN00080,2026-02-26,2026-02-26,1,4999,1.0,4999.0,74.98,13.5,0.0,0.0,0.0,4910.52,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,4910.52,4999.0,74.98,13.5,0.0,0.0,0.0
TXN00081,ORD00081,9999,1.0,9999.0,2026-05-24,2026-05-24,TXN00081,2026-05-27,2026-05-27,1,9999,1.0,9999.0,199.98,36.0,0.0,0.0,0.0,9763.02,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,9763.02,9999.0,199.98,36.0,0.0,0.0,0.0
TXN00082,ORD00082,7999,1.0,7999.0,2026-02-11,2026-02-11,TXN00082,2026-02-13,2026-02-13,1,7999,1.0,7999.0,95.99,17.28,0.0,0.0,0.0,7885.73,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,7885.73,7999.0,95.99,17.28,0.0,0.0,0.0
TXN00083,ORD00083,5999,1.0,5999.0,2026-02-15,2026-02-15,TXN00083,2026-02-16,2026-02-16,1,5999,1.0,5999.0,89.98,16.2,0.0,0.0,0.0,5892.82,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,5892.82,5999.0,89.98,16.2,0.0,0.0,0.0
TXN00084,ORD00084,499,1.0,499.0,2026-03-10,2026-03-10,TXN00084,2026-03-11,2026-03-11,1,499,1.0,499.0,9.98,1.8,0.0,0.0,0.0,487.22,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,487.22,499.0,9.98,1.8,0.0,0.0,0.0
TXN00085,ORD00085,799,1.0,799.0,2026-05-03,2026-05-03,TXN00085,2026-05-03,2026-05-03,1,799,1.0,799.0,7.99,1.44,0.0,0.0,0.0,789.57,MATCHED,MATCHED,Transaction passed all reconciliation rules.,0.0,789.57,799.0,7.99,1.44,0.0,0.0,0.0
TXN00086,ORD00086,9999,1.0,9999.0,2026-03-20,2026-03-20,TXN00086,2026-03-22,2026-03-22,1,9999,1.0,9999.0,149.98,27.0,0.0,0.0,0.0,9572.02,EXCEPTION,AMOUNT_MISMATCH,Settlement net amount differs from the clean reference amount.,250.0,9822.02,9999.0,149.98,27.0,0.0,0.0,0.0
