transaction_id,status,exception_type,true_status,true_exception_type
TXN00127,MATCHED,MATCHED,MATCHED,NONE
TXN00128,MATCHED,MATCHED,MATCHED,NONE
TXN00129,MATCHED,MATCHED,MATCHED,NONE
TXN00130,EXCEPTION,WRONG_TRANSACTION_REFERENCE,EXCEPTION,WRONG_TRANSACTION_REFERENCE
TXN00131,MATCHED,MATCHED,MATCHED,NONE
TXN00132,MATCHED,MATCHED,MATCHED,NONE
TXN00133,MATCHED,MATCHED,MATCHED,NONE
TXN00134,MATCHED,MATCHED,MATCHED,NONE
TXN00135,MATCHED,MATCHED,MATCHED,NONE
TXN00136,MATCHED,MATCHED,MATCHED,NONE
TXN00137,EXCEPTION,WRONG_TRANSACTION_REFERENCE,EXCEPTION,WRONG_TRANSACTION_REFERENCE
TXN00138,MATCHED,MATCHED,MATCHED,NONE
TXN00139,MATCHED,MATCHED,MATCHED,NONE
TXN00140,MATCHED,MATCHED,MATCHED,NONE
TXN00141,MATCHED,MATCHED,MATCHED,NONE
TXN00142,MATCHED,MATCHED,MATCHED,NONE
TXN00143,MATCHED,MATCHED,MATCHED,NONE
TXN00144,MATCHED,MATCHED,MATCHED,NONE
TXN00145,MATCHED,MATCHED,MATCHED,NONE
TXN00146,MATCHED,MATCHED,MATCHED,NONE
TXN00147,MATCHED,MATCHED,MATCHED,NONE
TXN00148,MATCHED,MATCHED,MATCHED,NONE
TXN00149,MATCHED,MATCHED,MATCHED,NONE
TXN00150,EXCEPTION,PARTIAL_SETTLEMENT,EXCEPTION,PARTIAL_SETTLEMENT
TXN00151,EXCEPTION,MISSING_PAYMENT,EXCEPTION,MISSING_PAYMENT
TXN00152,MATCHED,MATCHED,MATCHED,NONE
TXN00153,MATCHED,MATCHED,MATCHED,NONE
TXN00154,MATCHED,MATCHED,MATCHED,NONE
TXN00155,MATCHED,MATCHED,MATCHED,NONE
TXN00156,MATCHED,MATCHED,MATCHED,NONE
TXN00157,MATCHED,MATCHED,MATCHED,NONE
TXN00158,EXCEPTION,INCORRECT_FEE,EXCEPTION,INCORRECT_FEE
TXN00159,MATCHED,MATCHED,MATCHED,NONE
TXN00160,MATCHED,MATCHED,MATCHED,NONE
TXN00161,MATCHED,MATCHED,MATCHED,NONE
TXN00162,MATCHED,MATCHED,MATCHED,NONE
TXN00163,MATCHED,MATCHED,MATCHED,NONE
TXN00164,MATCHED,MATCHED,MATCHED,NONE
TXN00165,MATCHED,MATCHED,MATCHED,NONE
TXN00166,MATCHED,MATCHED,MATCHED,NONE
TXN00167,MATCHED,MATCHED,MATCHED,NONE
TXN00168,MATCHED,MATCHED,MATCHED,NONE
TXN00169,MATCHED,MATCHED,MATCHED,NONE
TXN00170,MATCHED,MATCHED,MATCHED,NONE
TXN00171,MATCHED,MATCHED,MATCHED,NONE
TXN00172,MATCHED,MATCHED,MATCHED,NONE
TXN00173,MATCHED,MATCHED,MATCHED,NONE
TXN00174,MATCHED,MATCHED,MATCHED,NONE
TXN00175,EXCEPTION,MISSING_PAYMENT,EXCEPTION,MISSING_PAYMENT
TXN00176,MATCHED,MATCHED,MATCHED,NONE
TXN00177,MATCHED,MATCHED,MATCHED,NONE
TXN00178,EXCEPTION,DUPLICATE_PAYMENT,EXCEPTION,DUPLICATE_PAYMENT
TXN00179,EXCEPTION,DATE_MISMATCH,EXCEPTION,DATE_MISMATCH
TXN00180,MATCHED,MATCHED,MATCHED,NONE
TXN00181,MATCHED,MATCHED,MATCHED,NONE
TXN00182,MATCHED,MATCHED,MATCHED,NONE
TXN00183,MATCHED,MATCHED,MATCHED,NONE
TXN00184,MATCHED,MATCHED,MATCHED,NONE
TXN00185,EXCEPTION,AMOUNT_MISMATCH,EXCEPTION,AMOUNT_MISMATCH
TXN00186,EXCEPTION,MISSING_PAYMENT,EXCEPTION,MISSING_PAYMENT
TXN00187,MATCHED,MATCHED,MATCHED,NONE
TXN00188,MATCHED,MATCHED,MATCHED,NONE
TXN00189,EXCEPTION,REFUND,EXCEPTION,REFUND
TXN00190,EXCEPTION,MISSING_SETTLEMENT,EXCEPTION,MISSING_SETTLEMENT
TXN00191,MATCHED,MATCHED,MATCHED,NONE
TXN00192,MATCHED,MATCHED,MATCHED,NONE
TXN00193,MATCHED,MATCHED,MATCHED,NONE
TXN00194,MATCHED,MATCHED,MATCHED,NONE
TXN00195,MATCHED,MATCHED,MATCHED,NONE
TXN00196,EXCEPTION,SETTLEMENT_DELAY,EXCEPTION,SETTLEMENT_DELAY
TXN00197,MATCHED,MATCHED,MATCHED,NONE
TXN00198,MATCHED,MATCHED,MATCHED,NONE
TXN00199,EXCEPTION,PARTIAL_SETTLEMENT,EXCEPTION,PARTIAL_SETTLEMENT
TXN00200,MATCHED,MATCHED,MATCHED,NONE
TXN00201,EXCEPTION,DUPLICATE_PAYMENT,EXCEPTION,DUPLICATE_PAYMENT
TXN00202,MATCHED,MATCHED,MATCHED,NONE
TXN00203,EXCEPTION,MISSING_SETTLEMENT,EXCEPTION,MISSING_SETTLEMENT
TXN00204,MATCHED,MATCHED,MATCHED,NONE
TXN00205,MATCHED,MATCHED,MATCHED,NONE
TXN00206,MATCHED,MATCHED,MATCHED,NONE
TXN00207,MATCHED,MATCHED,MATCHED,NONE
TXN00208,MATCHED,MATCHED,MATCHED,NONE
TXN00209,MATCHED,MATCHED,MATCHED,NONE
TXN00210,MATCHED,MATCHED,MATCHED,NONE
TXN00211,EXCEPTION,DUPLICATE_SETTLEMENT,EXCEPTION,DUPLICATE_SETTLEMENT
TXN00212,EXCEPTION,MULTIPLE_PAYMENTS,EXCEPTION,MULTIPLE_PAYMENTS
TXN00213,MATCHED,MATCHED,MATCHED,NONE
TXN00214,MATCHED,MATCHED,MATCHED,NONE
TXN00215,MATCHED,MATCHED,MATCHED,NONE
TXN00216,MATCHED,MATCHED,MATCHED,NONE
TXN00217,MATCHED,MATCHED,MATCHED,NONE
TXN00218,MATCHED,MATCHED,MATCHED,NONE
TXN00219,MATCHED,MATCHED,MATCHED,NONE
TXN00220,MATCHED,MATCHED,MATCHED,NONE
TXN00221,MATCHED,MATCHED,MATCHED,NONE
TXN00222,EXCEPTION,MISSING_SETTLEMENT,EXCEPTION,MISSING_SETTLEMENT
TXN00223,MATCHED,MATCHED,MATCHED,NONE
TXN00224,MATCHED,MATCHED,MATCHED,NONE
TXN00225,MATCHED,MATCHED,MATCHED,NONE
TXN00226,MATCHED,MATCHED,MATCHED,NONE
TXN00227,MATCHED,MATCHED,MATCHED,NONE
TXN00228,MATCHED,MATCHED,MATCHED,NONE
TXN00229,MATCHED,MATCHED,MATCHED,NONE
TXN00230,EXCEPTION,PARTIAL_SETTLEMENT,EXCEPTION,PARTIAL_SETTLEMENT
TXN00231,MATCHED,MATCHED,MATCHED,NONE
TXN00232,MATCHED,MATCHED,MATCHED,NONE
TXN00233,MATCHED,MATCHED,MATCHED,NONE
TXN00234,MATCHED,MATCHED,MATCHED,NONE
TXN00235,MATCHED,MATCHED,MATCHED,NONE
TXN00236,MATCHED,MATCHED,MATCHED,NONE
TXN00237,MATCHED,MATCHED,MATCHED,NONE
TXN00238,MATCHED,MATCHED,MATCHED,NONE
TXN00239,MATCHED,MATCHED,MATCHED,NONE
TXN00240,MATCHED,MATCHED,MATCHED,NONE
TXN00241,MATCHED,MATCHED,MATCHED,NONE
TXN00242,EXCEPTION,PARTIAL_SETTLEMENT,EXCEPTION,PARTIAL_SETTLEMENT
TXN00243,MATCHED,MATCHED,MATCHED,NONE
TXN00244,MATCHED,MATCHED,MATCHED,NONE
TXN00245,MATCHED,MATCHED,MATCHED,NONE
TXN00246,MATCHED,MATCHED,MATCHED,NONE
TXN00247,MATCHED,MATCHED,MATCHED,NONE
TXN00248,EXCEPTION,DUPLICATE_PAYMENT,EXCEPTION,DUPLICATE_PAYMENT
TXN00249,MATCHED,MATCHED,MATCHED,NONE
TXN00250,MATCHED,MATCHED,MATCHED,NONE
TXN00251,MATCHED,MATCHED,MATCHED,NONE
TXN00252,EXCEPTION,UNKNOWN_ADJUSTMENT,EXCEPTION,UNKNOWN_ADJUSTMENT
TXN00253,MATCHED,MATCHED,MATCHED,NONE
TXN00254,MATCHED,MATCHED,MATCHED,NONE
TXN00255,MATCHED,MATCHED,MATCHED,NONE
TXN00256,MATCHED,MATCHED,MATCHED,NONE
TXN00257,EXCEPTION,SETTLEMENT_DELAY,EXCEPTION,SETTLEMENT_DELAY
TXN00258,MATCHED,MATCHED,MATCHED,NONE
TXN00259,MATCHED,MATCHED,MATCHED,NONE
TXN00260,MATCHED,MATCHED,MATCHED,NONE
TXN00261,MATCHED,MATCHED,MATCHED,NONE
TXN00262,MATCHED,MATCHED,MATCHED,NONE
TXN00263,MATCHED,MATCHED,MATCHED,NONE
TXN00264,MATCHED,MATCHED,MATCHED,NONE
TXN00265,EXCEPTION,MISSING_PAYMENT,EXCEPTION,MISSING_PAYMENT
TXN00266,MATCHED,MATCHED,MATCHED,NONE
TXN00267,MATCHED,MATCHED,MATCHED,NONE
TXN00268,MATCHED,MATCHED,MATCHED,NONE
TXN00269,MATCHED,MATCHED,MATCHED,NONE
TXN00270,MATCHED,MATCHED,MATCHED,NONE
TXN00271,MATCHED,MATCHED,MATCHED,NONE
TXN00272,MATCHED,MATCHED,MATCHED,NONE
TXN00273,MATCHED,MATCHED,MATCHED,NONE
TXN00274,MATCHED,MATCHED,MATCHED,NONE
TXN00275,MATCHED,MATCHED,MATCHED,NONE
TXN00276,MATCHED,MATCHED,MATCHED,NONE
TXN00277,MATCHED,MATCHED,MATCHED,NONE
TXN00278,MATCHED,MATCHED,MATCHED,NONE
TXN00279,MATCHED,MATCHED,MATCHED,NONE
TXN00280,MATCHED,MATCHED,MATCHED,NONE
TXN00281,MATCHED,MATCHED,MATCHED,NONE
TXN00282,MATCHED,MATCHED,MATCHED,NONE
TXN00283,EXCEPTION,FAILED_PAYMENT,EXCEPTION,FAILED_PAYMENT
TXN00284,MATCHED,MATCHED,MATCHED,NONE
TXN00285,MATCHED,MATCHED,MATCHED,NONE
TXN00286,MATCHED,MATCHED,MATCHED,NONE
TXN00287,MATCHED,MATCHED,MATCHED,NONE
TXN00288,EXCEPTION,FAILED_PAYMENT,EXCEPTION,FAILED_PAYMENT
TXN00289,MATCHED,MATCHED,MATCHED,NONE
TXN00290,MATCHED,MATCHED,MATCHED,NONE
TXN00291,EXCEPTION,DUPLICATE_PAYMENT,EXCEPTION,DUPLICATE_PAYMENT
TXN00292,MATCHED,MATCHED,MATCHED,NONE
TXN00293,MATCHED,MATCHED,MATCHED,NONE
TXN00294,EXCEPTION,DUPLICATE_SETTLEMENT,EXCEPTION,DUPLICATE_SETTLEMENT
TXN00295,MATCHED,MATCHED,MATCHED,NONE
TXN00296,MATCHED,MATCHED,MATCHED,NONE
TXN00297,MATCHED,MATCHED,MATCHED,NONE
TXN00298,MATCHED,MATCHED,MATCHED,NONE
TXN00299,EXCEPTION,FAILED_PAYMENT,EXCEPTION,FAILED_PAYMENT
TXN00300,EXCEPTION,MISSING_SETTLEMENT,EXCEPTION,MISSING_SETTLEMENT
TXN00301,MATCHED,MATCHED,MATCHED,NONE
TXN00302,MATCHED,MATCHED,MATCHED,NONE
TXN00303,MATCHED,MATCHED,MATCHED,NONE
TXN00304,MATCHED,MATCHED,MATCHED,NONE
TXN00305,MATCHED,MATCHED,MATCHED,NONE
TXN00306,MATCHED,MATCHED,MATCHED,NONE
TXN00307,MATCHED,MATCHED,MATCHED,NONE
TXN00308,MATCHED,MATCHED,MATCHED,NONE
TXN00309,EXCEPTION,WRONG_TRANSACTION_REFERENCE,EXCEPTION,WRONG_TRANSACTION_REFERENCE
TXN00310,MATCHED,MATCHED,MATCHED,NONE
TXN00311,MATCHED,MATCHED,MATCHED,NONE
TXN00312,EXCEPTION,CHARGEBACK,EXCEPTION,CHARGEBACK
TXN00313,MATCHED,MATCHED,MATCHED,NONE
TXN00314,MATCHED,MATCHED,MATCHED,NONE
TXN00315,MATCHED,MATCHED,MATCHED,NONE
TXN00316,MATCHED,MATCHED,MATCHED,NONE
TXN00317,EXCEPTION,PARTIAL_SETTLEMENT,EXCEPTION,PARTIAL_SETTLEMENT
TXN00318,MATCHED,MATCHED,MATCHED,NONE
TXN00319,MATCHED,MATCHED,MATCHED,NONE
TXN00320,MATCHED,MATCHED,MATCHED,NONE
TXN00321,MATCHED,MATCHED,MATCHED,NONE
TXN00322,MATCHED,MATCHED,MATCHED,NONE
TXN00323,MATCHED,MATCHED,MATCHED,NONE
TXN00324,MATCHED,MATCHED,MATCHED,NONE
TXN00325,MATCHED,MATCHED,MATCHED,NONE
TXN00326,EXCEPTION,REFUND,EXCEPTION,REFUND
TXN00327,MATCHED,MATCHED,MATCHED,NONE
TXN00328,EXCEPTION,WRONG_TRANSACTION_REFERENCE,EXCEPTION,WRONG_TRANSACTION_REFERENCE
TXN00329,MATCHED,MATCHED,MATCHED,NONE
TXN00330,MATCHED,MATCHED,MATCHED,NONE
TXN00331,EXCEPTION,CHARGEBACK,EXCEPTION,CHARGEBACK
TXN00332,MATCHED,MATCHED,MATCHED,NONE
TXN00333,MATCHED,MATCHED,MATCHED,NONE
TXN00334,MATCHED,MATCHED,MATCHED,NONE
TXN00335,EXCEPTION,MISSING_SETTLEMENT,EXCEPTION,MISSING_SETTLEMENT
TXN00336,MATCHED,MATCHED,MATCHED,NONE
TXN00337,EXCEPTION,AMOUNT_MISMATCH,EXCEPTION,AMOUNT_MISMATCH
TXN00338,MATCHED,MATCHED,MATCHED,NONE
TXN00339,MATCHED,MATCHED,MATCHED,NONE
TXN00340,MATCHED,MATCHED,MATCHED,NONE
TXN00341,MATCHED,MATCHED,MATCHED,NONE
TXN00342,MATCHED,MATCHED,MATCHED,NONE
TXN00343,EXCEPTION,WRONG_TRANSACTION_REFERENCE,EXCEPTION,WRONG_TRANSACTION_REFERENCE
TXN00344,MATCHED,MATCHED,MATCHED,NONE
TXN00345,MATCHED,MATCHED,MATCHED,NONE
TXN00346,MATCHED,MATCHED,MATCHED,NONE
TXN00347,MATCHED,MATCHED,MATCHED,NONE
TXN00348,MATCHED,MATCHED,MATCHED,NONE
TXN00349,MATCHED,MATCHED,MATCHED,NONE
TXN00350,EXCEPTION,DATE_MISMATCH,EXCEPTION,DATE_MISMATCH
TXN00351,EXCEPTION,AMOUNT_MISMATCH,EXCEPTION,AMOUNT_MISMATCH
TXN00352,MATCHED,MATCHED,MATCHED,NONE
TXN00353,MATCHED,MATCHED,MATCHED,NONE
TXN00354,MATCHED,MATCHED,MATCHED,NONE
TXN00355,EXCEPTION,AMOUNT_MISMATCH,EXCEPTION,AMOUNT_MISMATCH
TXN00356,EXCEPTION,REFUND,EXCEPTION,REFUND
TXN00357,MATCHED,MATCHED,MATCHED,NONE
TXN00358,MATCHED,MATCHED,MATCHED,NONE
TXN00359,MATCHED,MATCHED,MATCHED,NONE
TXN00360,EXCEPTION,REFUND,EXCEPTION,REFUND
TXN00361,MATCHED,MATCHED,MATCHED,NONE
TXN00362,EXCEPTION,INCORRECT_FEE,EXCEPTION,INCORRECT_FEE
TXN00363,MATCHED,MATCHED,MATCHED,NONE
TXN00364,MATCHED,MATCHED,MATCHED,NONE
TXN00365,EXCEPTION,MISSING_SETTLEMENT,EXCEPTION,MISSING_SETTLEMENT
TXN00366,EXCEPTION,AMOUNT_MISMATCH,EXCEPTION,AMOUNT_MISMATCH
TXN00367,MATCHED,MATCHED,MATCHED,NONE
TXN00368,MATCHED,MATCHED,MATCHED,NONE
TXN00369,MATCHED,MATCHED,MATCHED,NONE
TXN00370,EXCEPTION,MISSING_PAYMENT,EXCEPTION,MISSING_PAYMENT
TXN00371,MATCHED,MATCHED,MATCHED,NONE
TXN00372,MATCHED,MATCHED,MATCHED,NONE
TXN00373,MATCHED,MATCHED,MATCHED,NONE
TXN00374,MATCHED,MATCHED,MATCHED,NONE
TXN00375,EXCEPTION,PARTIAL_SETTLEMENT,EXCEPTION,PARTIAL_SETTLEMENT
TXN00376,EXCEPTION,DATE_MISMATCH,EXCEPTION,DATE_MISMATCH
TXN00377,MATCHED,MATCHED,MATCHED,NONE
TXN00378,MATCHED,MATCHED,MATCHED,NONE
TXN00379,MATCHED,MATCHED,MATCHED,NONE
TXN00380,MATCHED,MATCHED,MATCHED,NONE
TXN00381,MATCHED,MATCHED,MATCHED,NONE
TXN00382,EXCEPTION,MULTIPLE_PAYMENTS,EXCEPTION,MULTIPLE_PAYMENTS
TXN00383,MATCHED,MATCHED,MATCHED,NONE
TXN00384,MATCHED,MATCHED,MATCHED,NONE
TXN00385,MATCHED,MATCHED,MATCHED,NONE
TXN00386,MATCHED,MATCHED,MATCHED,NONE
TXN00387,EXCEPTION,MISSING_SETTLEMENT,EXCEPTION,MISSING_SETTLEMENT
TXN00388,MATCHED,MATCHED,MATCHED,NONE
TXN00389,MATCHED,MATCHED,MATCHED,NONE
TXN00390,MATCHED,MATCHED,MATCHED,NONE
TXN00391,MATCHED,MATCHED,MATCHED,NONE
TXN00392,MATCHED,MATCHED,MATCHED,NONE
TXN00393,EXCEPTION,INCORRECT_FEE,EXCEPTION,INCORRECT_FEE
TXN00394,EXCEPTION,CHARGEBACK,EXCEPTION,CHARGEBACK
TXN00395,MATCHED,MATCHED,MATCHED,NONE
TXN00396,MATCHED,MATCHED,MATCHED,NONE
TXN00397,EXCEPTION,CHARGEBACK,EXCEPTION,CHARGEBACK
TXN00398,MATCHED,MATCHED,MATCHED,NONE
TXN00399,EXCEPTION,FAILED_PAYMENT,EXCEPTION,FAILED_PAYMENT
TXN00400,MATCHED,MATCHED,MATCHED,NONE
TXN00401,MATCHED,MATCHED,MATCHED,NONE
TXN00402,EXCEPTION,INCORRECT_FEE,EXCEPTION,INCORRECT_FEE
TXN00403,MATCHED,MATCHED,MATCHED,NONE
TXN00404,MATCHED,MATCHED,MATCHED,NONE
TXN00405,MATCHED,MATCHED,MATCHED,NONE
TXN00406,MATCHED,MATCHED,MATCHED,NONE
TXN00407,MATCHED,MATCHED,MATCHED,NONE
TXN00408,MATCHED,MATCHED,MATCHED,NONE
TXN00409,MATCHED,MATCHED,MATCHED,NONE
TXN00410,MATCHED,MATCHED,MATCHED,NONE
TXN00411,MATCHED,MATCHED,MATCHED,NONE
TXN00412,MATCHED,MATCHED,MATCHED,NONE
TXN00413,MATCHED,MATCHED,MATCHED,NONE
TXN00414,MATCHED,MATCHED,MATCHED,NONE
TXN00415,EXCEPTION,MISSING_SETTLEMENT,EXCEPTION,MISSING_SETTLEMENT
TXN00416,MATCHED,MATCHED,MATCHED,NONE
TXN00417,MATCHED,MATCHED,MATCHED,NONE
TXN00418,EXCEPTION,PARTIAL_SETTLEMENT,EXCEPTION,PARTIAL_SETTLEMENT
TXN00419,EXCEPTION,AMOUNT_MISMATCH,EXCEPTION,AMOUNT_MISMATCH
TXN00420,MATCHED,MATCHED,MATCHED,NONE
TXN00421,MATCHED,MATCHED,MATCHED,NONE
TXN00422,MATCHED,MATCHED,MATCHED,NONE
TXN00423,MATCHED,MATCHED,MATCHED,NONE
TXN00424,MATCHED,MATCHED,MATCHED,NONE
TXN00425,EXCEPTION,DUPLICATE_SETTLEMENT,EXCEPTION,DUPLICATE_SETTLEMENT
TXN00426,MATCHED,MATCHED,MATCHED,NONE
TXN00427,EXCEPTION,MISSING_PAYMENT,EXCEPTION,MISSING_PAYMENT
TXN00428,MATCHED,MATCHED,MATCHED,NONE
TXN00429,EXCEPTION,MISSING_SETTLEMENT,EXCEPTION,MISSING_SETTLEMENT
TXN00430,MATCHED,MATCHED,MATCHED,NONE
TXN00431,MATCHED,MATCHED,MATCHED,NONE
TXN00432,MATCHED,MATCHED,MATCHED,NONE
TXN00433,MATCHED,MATCHED,MATCHED,NONE
TXN00434,MATCHED,MATCHED,MATCHED,NONE
TXN00435,MATCHED,MATCHED,MATCHED,NONE
