transaction_id,target_exception,target_exception_type,predicted_exception,exception_probability,correct
TXN00459,0,NONE,0,0.0,True
TXN00106,0,NONE,0,0.01,True
TXN00415,1,MISSING_SETTLEMENT,1,1.0,True
TXN00152,0,NONE,0,0.055,True
TXN00425,1,DUPLICATE_SETTLEMENT,1,0.94,True
TXN00294,1,DUPLICATE_SETTLEMENT,1,0.965,True
TXN00150,1,PARTIAL_SETTLEMENT,1,0.965,True
TXN00641,0,NONE,0,0.01,True
TXN00240,0,NONE,0,0.125,True
TXN00002,1,MISSING_SETTLEMENT,1,1.0,True
TXN00291,1,DUPLICATE_PAYMENT,1,0.98,True
TXN00707,0,NONE,0,0.035,True
TXN00228,0,NONE,0,0.005,True
TXN00833,0,NONE,0,0.06,True
TXN00054,1,MISSING_PAYMENT,1,1.0,True
TXN00479,0,NONE,0,0.005,True
TXN00080,0,NONE,0,0.009000000000000001,True
TXN00163,0,NONE,0,0.018,True
TXN00752,0,NONE,0,0.065,True
TXN00200,0,NONE,0,0.01,True
TXN00042,0,NONE,0,0.205,True
TXN00393,1,INCORRECT_FEE,1,1.0,True
TXN00770,1,WRONG_TRANSACTION_REFERENCE,0,0.04,False
TXN00303,0,NONE,0,0.07,True
TXN00988,0,NONE,0,0.07033333333333333,True
TXN00608,1,FAILED_PAYMENT,1,0.85,True
TXN00667,1,MISSING_SETTLEMENT,1,0.99,True
TXN00424,0,NONE,0,0.05,True
TXN00484,1,AMOUNT_MISMATCH,1,0.8,True
TXN00837,1,REFUND,1,0.995,True
TXN00359,0,NONE,0,0.005,True
TXN00323,0,NONE,0,0.0,True
TXN00519,0,NONE,0,0.02,True
TXN00052,0,NONE,0,0.0,True
TXN00104,0,NONE,0,0.035,True
TXN00289,0,NONE,0,0.005,True
TXN00854,0,NONE,0,0.02,True
TXN00883,0,NONE,0,0.005,True
TXN00286,0,NONE,0,0.04,True
TXN00159,0,NONE,0,0.04,True
TXN00767,0,NONE,0,0.01,True
TXN00351,1,AMOUNT_MISMATCH,1,0.78,True
TXN00376,1,DATE_MISMATCH,0,0.045,False
TXN00126,0,NONE,0,0.005,True
TXN00016,0,NONE,0,0.055,True
TXN00702,0,NONE,0,0.055,True
TXN00859,0,NONE,0,0.15,True
TXN00356,1,REFUND,1,1.0,True
TXN00247,0,NONE,0,0.025,True
TXN00483,0,NONE,0,0.08,True
TXN00855,0,NONE,0,0.01,True
TXN00226,0,NONE,0,0.05,True
TXN00026,0,NONE,0,0.015,True
TXN00501,0,NONE,0,0.065,True
TXN00288,1,FAILED_PAYMENT,1,0.845,True
TXN00994,0,NONE,0,0.0,True
TXN00035,1,DUPLICATE_SETTLEMENT,1,0.91,True
TXN00814,0,NONE,0,0.01,True
TXN00977,0,NONE,0,0.005,True
TXN00629,0,NONE,0,0.054523809523809516,True
TXN00470,0,NONE,0,0.07,True
TXN00201,1,DUPLICATE_PAYMENT,1,0.98,True
TXN00860,0,NONE,0,0.0,True
TXN00930,0,NONE,0,0.0,True
TXN00568,0,NONE,0,0.005,True
TXN00045,0,NONE,0,0.0,True
TXN00061,0,NONE,0,0.0,True
TXN00125,0,NONE,0,0.0,True
TXN00110,0,NONE,0,0.17,True
TXN00697,0,NONE,0,0.04,True
TXN00692,0,NONE,0,0.01,True
TXN00453,0,NONE,0,0.085,True
TXN00154,0,NONE,0,0.01,True
TXN00115,0,NONE,0,0.005,True
TXN00510,0,NONE,0,0.03,True
TXN00861,0,NONE,0,0.0,True
TXN00733,1,AMOUNT_MISMATCH,1,0.99,True
TXN00191,0,NONE,0,0.025,True
TXN00073,0,NONE,0,0.08,True
TXN00633,0,NONE,0,0.175,True
TXN00717,0,NONE,0,0.01,True
TXN00812,0,NONE,0,0.045,True
TXN00331,1,CHARGEBACK,1,0.93,True
TXN00921,1,CHARGEBACK,1,0.995,True
TXN00998,0,NONE,0,0.165,True
TXN00184,0,NONE,0,0.025,True
TXN00567,0,NONE,0,0.04,True
TXN00709,0,NONE,0,0.06,True
TXN00865,1,REFUND,1,1.0,True
TXN00613,1,INCORRECT_FEE,1,0.82,True
TXN00893,1,DATE_MISMATCH,0,0.025,False
TXN00469,0,NONE,0,0.19,True
TXN00143,0,NONE,0,0.0,True
TXN00947,0,NONE,0,0.0036363636363636364,True
TXN00592,0,NONE,0,0.0,True
TXN00481,0,NONE,0,0.0,True
TXN00778,0,NONE,0,0.015,True
TXN00790,1,MISSING_PAYMENT,1,1.0,True
TXN00571,0,NONE,0,0.08,True
TXN00718,0,NONE,0,0.035,True
TXN00546,0,NONE,0,0.03,True
TXN00246,0,NONE,0,0.04,True
TXN00611,0,NONE,0,0.215,True
TXN00302,0,NONE,0,0.215,True
TXN00231,0,NONE,0,0.04333333333333333,True
TXN00537,0,NONE,0,0.03,True
TXN00468,1,AMOUNT_MISMATCH,0,0.085,False
TXN00099,0,NONE,0,0.01,True
TXN00966,1,MISSING_SETTLEMENT,1,1.0,True
TXN00895,0,NONE,0,0.1,True
TXN00088,0,NONE,0,0.01,True
TXN00385,0,NONE,0,0.02,True
TXN00588,0,NONE,0,0.0,True
TXN00015,0,NONE,0,0.06,True
TXN00625,0,NONE,0,0.005,True
TXN00637,0,NONE,0,0.105,True
TXN00684,0,NONE,0,0.0,True
TXN00258,0,NONE,0,0.075,True
