settlement_id,transaction_id,merchant_id,settlement_date,gross_amount,fee,tax,adjustment,refund,chargeback,net_amount,settlement_status,settlement_reference,currency
SET00053,TXN00053,MERCHANT_004,2026-05-06,2499.0,37.48,6.75,0.0,0.0,0.0,2454.77,SETTLED,SET00053,INR
SET00054,TXN00054,MERCHANT_001,2026-02-13,1999.0,23.99,4.32,0.0,0.0,0.0,1970.69,SETTLED,SET00054,INR
SET00055,TXN00055,MERCHANT_003,2026-04-30,999.0,19.98,3.6,0.0,0.0,0.0,975.42,SETTLED,SET00055,INR
SET00056,TXN00056,MERCHANT_004,2026-02-11,799.0,11.98,2.16,0.0,0.0,0.0,784.86,SETTLED,SET00056,INR
SET00057,TXN00057,MERCHANT_001,2026-06-01,5999.0,119.98,21.6,0.0,0.0,0.0,5857.42,SETTLED,SET00057,INR
SET00058,TXN00058,MERCHANT_001,2026-01-15,3999.0,79.98,14.4,0.0,0.0,0.0,3904.62,SETTLED,SET00058,INR
SET00059,TXN00059,MERCHANT_005,2026-02-12,199.0,2.98,0.54,0.0,0.0,0.0,195.48,SETTLED,SET00059,INR
SET00060,TXN00060,MERCHANT_001,2026-06-03,299.0,3.59,0.65,0.0,0.0,0.0,294.76,SETTLED,SET00060,INR
SET00061,TXN00061,MERCHANT_001,2026-05-28,799.0,14.38,2.59,0.0,0.0,0.0,782.03,SETTLED,SET00061,INR
SET00062,TXN00062,MERCHANT_004,2026-06-19,3999.0,39.99,7.2,0.0,0.0,0.0,3951.81,SETTLED,SET00062,INR
SET00063,TXN00063,MERCHANT_002,2026-06-22,5999.0,71.99,12.96,0.0,0.0,0.0,5914.05,SETTLED,SET00063,INR
SET00064,TXN00064,MERCHANT_003,2026-04-15,499.0,5.99,1.08,0.0,0.0,0.0,491.93,SETTLED,SET00064,INR
SET00065,TXN00065,MERCHANT_003,2026-01-22,199.0,3.58,0.64,0.0,0.0,0.0,194.78,SETTLED,SET00065,INR
SET00066,TXN00066,MERCHANT_001,2026-01-21,2999.0,29.99,5.4,0.0,0.0,0.0,2963.61,SETTLED,SET00066,INR
SET00067,TXN00067,MERCHANT_003,2026-02-05,1499.0,26.98,4.86,0.0,374.75,0.0,1092.41,SETTLED,SET00067,INR
SET00068,TXN00068,MERCHANT_003,2026-03-16,499.0,8.98,1.62,0.0,0.0,0.0,488.4,SETTLED,SET00068,INR
SET00069,TXN00069,MERCHANT_003,2026-06-08,7999.0,119.98,21.6,0.0,0.0,0.0,7857.42,SETTLED,SET00069,INR
SET00070,TXN00070,MERCHANT_003,2026-06-21,299.0,2.99,0.54,0.0,0.0,0.0,295.47,SETTLED,SET00070,INR
SET00071,TXN00071,MERCHANT_001,2026-01-31,5999.0,59.99,10.8,0.0,0.0,0.0,5928.21,SETTLED,SET00071,INR
SET00072,TXN00072,MERCHANT_003,2026-06-07,799.0,15.98,2.88,0.0,0.0,0.0,780.14,SETTLED,SET00072,INR
SET00073,TXN00073,MERCHANT_003,2026-05-11,2499.0,37.48,6.75,0.0,0.0,0.0,2454.77,SETTLED,SET00073,INR
SET00074,TXN00074,MERCHANT_001,2026-06-13,1999.0,29.98,5.4,0.0,0.0,0.0,1963.62,SETTLED,SET00074,INR
SET00075,TXN00075,MERCHANT_001,2026-03-29,7999.0,95.99,17.28,0.0,0.0,0.0,7885.73,SETTLED,SET00075,INR
SET00076,TXN00076,MERCHANT_002,2026-04-26,2999.0,29.99,5.4,0.0,0.0,0.0,2963.61,SETTLED,SET00076,INR
SET00077,TXN00077,MERCHANT_001,2026-02-01,299.0,4.48,0.81,0.0,0.0,0.0,293.71,SETTLED,SET00077,INR
SET00078,TXN00078,MERCHANT_001,2026-04-07,3999.0,47.99,8.64,0.0,0.0,0.0,3942.37,SETTLED,SET00078,INR
SET00079,TXN00079,MERCHANT_002,2026-01-13,999.0,9.99,1.8,0.0,0.0,0.0,987.21,SETTLED,SET00079,INR
SET00080,TXN00080,MERCHANT_003,2026-02-26,4999.0,74.98,13.5,0.0,0.0,0.0,4910.52,SETTLED,SET00080,INR
SET00081,TXN00081,MERCHANT_003,2026-05-27,9999.0,199.98,36.0,0.0,0.0,0.0,9763.02,SETTLED,SET00081,INR
SET00082,TXN00082,MERCHANT_002,2026-02-13,7999.0,95.99,17.28,0.0,0.0,0.0,7885.73,SETTLED,SET00082,INR
SET00083,TXN00083,MERCHANT_001,2026-02-16,5999.0,89.98,16.2,0.0,0.0,0.0,5892.82,SETTLED,SET00083,INR
SET00084,TXN00084,MERCHANT_002,2026-03-11,499.0,9.98,1.8,0.0,0.0,0.0,487.22,SETTLED,SET00084,INR
SET00085,TXN00085,MERCHANT_001,2026-05-03,799.0,7.99,1.44,0.0,0.0,0.0,789.57,SETTLED,SET00085,INR
SET00086,TXN00086,MERCHANT_003,2026-03-22,9999.0,149.98,27.0,0.0,0.0,0.0,9572.02,SETTLED,SET00086,INR
SET00087,TXN00087,MERCHANT_001,2026-06-20,799.0,7.99,1.44,0.0,0.0,0.0,789.57,SETTLED,SET00087,INR
SET00088,TXN00088,MERCHANT_003,2026-01-19,7999.0,119.98,21.6,0.0,0.0,0.0,7857.42,SETTLED,SET00088,INR
SET00089,TXN00089,MERCHANT_005,2026-04-14,4999.0,59.99,10.8,0.0,0.0,0.0,4928.21,SETTLED,SET00089,INR
SET00090,TXN00090,MERCHANT_001,2026-03-09,499.0,5.99,1.08,0.0,0.0,0.0,491.93,SETTLED,SET00090,INR
SET00091,TXN00091,MERCHANT_001,2026-06-04,1999.0,19.99,3.6,0.0,0.0,0.0,1975.41,SETTLED,SET00091,INR
SET00092,TXN00092,MERCHANT_004,2026-06-06,2999.0,53.98,9.72,0.0,0.0,0.0,2935.3,SETTLED,SET00092,INR
SET00093,TXN00093,MERCHANT_005,2026-02-19,999.0,69.93,3.6,0.0,0.0,0.0,925.47,SETTLED,SET00093,INR
SET00094,TXN00094,MERCHANT_001,2026-05-15,7999.0,95.99,17.28,0.0,0.0,0.0,7885.73,SETTLED,SET00094,INR
SET00095,TXN00095,MERCHANT_004,2026-01-21,4999.0,89.98,16.2,0.0,0.0,0.0,4892.82,SETTLED,SET00095,INR
SET00096,TXN00096,MERCHANT_001,2026-03-20,2999.0,35.99,6.48,0.0,0.0,0.0,2956.53,SETTLED,SET00096,INR
SET00097,TXN00097,MERCHANT_003,2026-04-15,5999.0,119.98,21.6,0.0,0.0,0.0,5857.42,SETTLED,SET00097,INR
SET00098,TXN00098,MERCHANT_002,2026-02-21,1999.0,35.98,6.48,0.0,0.0,0.0,1956.54,SETTLED,SET00098,INR
SET00099,TXN00099,MERCHANT_005,2026-05-27,999.0,19.98,3.6,0.0,0.0,0.0,975.42,SETTLED,SET00099,INR
SET00100,TXN00100,MERCHANT_001,2026-03-22,999.0,11.99,2.16,0.0,0.0,0.0,984.85,SETTLED,SET00100,INR
SET00101,TXN00101,MERCHANT_005,2026-06-08,4999.0,74.98,13.5,0.0,0.0,0.0,4910.52,SETTLED,SET00101,INR
SET00102,TXN00102,MERCHANT_004,2026-04-26,4999.0,74.98,13.5,0.0,0.0,0.0,4910.52,SETTLED,SET00102,INR
SET00103,TXN00103,MERCHANT_004,2026-02-15,4999.0,99.98,18.0,0.0,0.0,0.0,4881.02,SETTLED,SET00103,INR
SET00104,TXN00104,MERCHANT_005,2026-06-21,4999.0,49.99,9.0,0.0,0.0,0.0,4940.01,SETTLED,SET00104,INR
SET00105,TXN00105,MERCHANT_002,2026-06-23,999.0,11.99,2.16,0.0,0.0,0.0,984.85,SETTLED,SET00105,INR
SET00106,TXN00106,MERCHANT_002,2026-01-08,199.0,2.98,0.54,0.0,0.0,0.0,195.48,SETTLED,SET00106,INR
SET00107,TXN00107,MERCHANT_005,2026-01-20,2499.0,49.98,9.0,0.0,0.0,0.0,2440.02,SETTLED,SET00107,INR
SET00108,TXN00108,MERCHANT_002,2026-06-30,1999.0,23.99,4.32,0.0,0.0,0.0,1970.69,SETTLED,SET00108,INR
SET00109,TXN00109,MERCHANT_002,2026-02-09,4999.0,59.99,10.8,0.0,0.0,0.0,4928.21,SETTLED,SET00109,INR
SET00110,TXN00110,MERCHANT_004,2026-02-27,499.0,4.99,0.9,0.0,0.0,0.0,493.11,SETTLED,SET00110,INR
SET00111,TXN00111,MERCHANT_005,2026-03-08,9999.0,99.99,18.0,0.0,0.0,0.0,9881.01,SETTLED,SET00111,INR
SET00112,TXN00112,MERCHANT_002,2026-04-30,4999.0,49.99,9.0,0.0,0.0,0.0,4940.01,SETTLED,SET00112,INR
SET00113,TXN00113,MERCHANT_005,2026-05-11,1999.0,29.98,5.4,0.0,0.0,0.0,1963.62,SETTLED,SET00113,INR
SET00114,TXN00114,MERCHANT_004,2026-04-27,999.0,19.98,3.6,0.0,0.0,0.0,975.42,SETTLED,SET00114,INR
SET00115,TXN00115,MERCHANT_005,2026-05-06,4999.0,74.98,13.5,0.0,0.0,0.0,4910.52,SETTLED,SET00115,INR
SET00116,TXN00116,MERCHANT_004,2026-01-23,5999.0,107.98,19.44,0.0,0.0,0.0,5871.58,SETTLED,SET00116,INR
SET00117,TXN00117,MERCHANT_003,2026-03-28,1499.0,29.98,5.4,0.0,0.0,0.0,1463.62,SETTLED,SET00117,INR
SET00118,TXN00118,MERCHANT_002,2026-03-02,1999.0,39.98,7.2,0.0,0.0,0.0,1951.82,SETTLED,SET00118,INR
SET00119,TXN00119,MERCHANT_001,2026-04-19,1999.0,35.98,6.48,0.0,0.0,0.0,1956.54,SETTLED,SET00119,INR
SET00120,TXN00120,MERCHANT_004,2026-04-18,199.0,3.58,0.64,0.0,0.0,0.0,194.78,SETTLED,SET00120,INR
SET00121,TXN00121,MERCHANT_004,2026-06-01,5999.0,71.99,12.96,0.0,0.0,0.0,5914.05,SETTLED,SET00121,INR
SET00122,TXN00122,MERCHANT_004,2026-05-04,199.0,1.99,0.36,0.0,0.0,0.0,196.65,SETTLED,SET00122,INR
SET00123,TXN00123,MERCHANT_004,2026-04-21,2999.0,53.98,9.72,0.0,0.0,0.0,2935.3,SETTLED,SET00123,INR
SET00124,TXN00124,MERCHANT_002,2026-03-12,1999.0,35.98,6.48,0.0,0.0,0.0,1956.54,SETTLED,SET00124,INR
SET00125,TXN00125,MERCHANT_004,2026-03-30,4999.0,89.98,16.2,0.0,0.0,0.0,4892.82,SETTLED,SET00125,INR
SET00126,TXN00126,MERCHANT_004,2026-02-05,3999.0,39.99,7.2,0.0,0.0,0.0,3951.81,SETTLED,SET00126,INR
SET00127,TXN00127,MERCHANT_005,2026-05-28,4999.0,49.99,9.0,0.0,0.0,0.0,4940.01,SETTLED,SET00127,INR
SET00128,TXN00128,MERCHANT_004,2026-02-05,9999.0,179.98,32.4,0.0,0.0,0.0,9786.62,SETTLED,SET00128,INR
SET00129,TXN00129,MERCHANT_001,2026-03-11,1999.0,29.98,5.4,0.0,0.0,0.0,1963.62,SETTLED,SET00129,INR
SET00130,TXN00130,MERCHANT_004,2026-03-26,1499.0,17.99,3.24,0.0,0.0,0.0,1477.77,SETTLED,SET00130,INR
SET00131,TXN00131,MERCHANT_004,2026-03-07,9999.0,119.99,21.6,0.0,0.0,0.0,9857.41,SETTLED,SET00131,INR
SET00132,TXN00132,MERCHANT_001,2026-05-21,199.0,3.58,0.64,0.0,0.0,0.0,194.78,SETTLED,SET00132,INR
SET00133,TXN00133,MERCHANT_001,2026-06-17,199.0,3.58,0.64,0.0,0.0,0.0,194.78,SETTLED,SET00133,INR
SET00134,TXN00134,MERCHANT_002,2026-01-07,3999.0,59.98,10.8,0.0,0.0,0.0,3928.22,SETTLED,SET00134,INR
SET00135,TXN00135,MERCHANT_002,2026-05-04,4999.0,59.99,10.8,0.0,0.0,0.0,4928.21,SETTLED,SET00135,INR
SET00136,TXN00136,MERCHANT_002,2026-05-01,5999.0,107.98,19.44,0.0,0.0,0.0,5871.58,SETTLED,SET00136,INR
SET00137,TXN00137,MERCHANT_002,2026-06-07,3999.0,39.99,7.2,0.0,0.0,0.0,3951.81,SETTLED,SET00137,INR
SET00138,TXN00138,MERCHANT_003,2026-01-29,3999.0,79.98,14.4,0.0,0.0,0.0,3904.62,SETTLED,SET00138,INR
SET00139,TXN00139,MERCHANT_005,2026-06-24,1999.0,19.99,3.6,0.0,0.0,0.0,1975.41,SETTLED,SET00139,INR
SET00140,TXN00140,MERCHANT_001,2026-06-02,5999.0,71.99,12.96,0.0,0.0,0.0,5914.05,SETTLED,SET00140,INR
SET00141,TXN00141,MERCHANT_003,2026-06-27,3999.0,71.98,12.96,0.0,0.0,0.0,3914.06,SETTLED,SET00141,INR
SET00142,TXN00142,MERCHANT_001,2026-04-01,2999.0,35.99,6.48,0.0,0.0,0.0,2956.53,SETTLED,SET00142,INR
SET00143,TXN00143,MERCHANT_001,2026-05-12,4999.0,49.99,9.0,0.0,0.0,0.0,4940.01,SETTLED,SET00143,INR
SET00144,TXN00144,MERCHANT_004,2026-05-07,299.0,5.38,0.97,0.0,0.0,0.0,292.65,SETTLED,SET00144,INR
SET00145,TXN00145,MERCHANT_004,2026-02-10,1999.0,35.98,6.48,0.0,0.0,0.0,1956.54,SETTLED,SET00145,INR
SET00146,TXN00146,MERCHANT_003,2026-06-08,7999.0,143.98,25.92,0.0,0.0,0.0,7829.1,SETTLED,SET00146,INR
SET00147,TXN00147,MERCHANT_004,2026-06-02,999.0,17.98,3.24,0.0,0.0,0.0,977.78,SETTLED,SET00147,INR
SET00148,TXN00148,MERCHANT_001,2026-03-16,2499.0,49.98,9.0,0.0,0.0,0.0,2440.02,SETTLED,SET00148,INR
SET00149,TXN00149,MERCHANT_005,2026-06-09,4999.0,89.98,16.2,0.0,0.0,0.0,4892.82,SETTLED,SET00149,INR
SET00150,TXN00150,MERCHANT_001,2026-05-08,9999.0,119.99,21.6,0.0,0.0,0.0,7999.2,SETTLED,SET00150,INR
SET00151,TXN00151,MERCHANT_004,2026-02-25,1499.0,17.99,3.24,0.0,0.0,0.0,1477.77,SETTLED,SET00151,INR
SET00152,TXN00152,MERCHANT_003,2026-06-03,5999.0,119.98,21.6,0.0,0.0,0.0,5857.42,SETTLED,SET00152,INR
SET00153,TXN00153,MERCHANT_001,2026-05-16,799.0,15.98,2.88,0.0,0.0,0.0,780.14,SETTLED,SET00153,INR
SET00154,TXN00154,MERCHANT_004,2026-05-07,2999.0,44.98,8.1,0.0,0.0,0.0,2945.92,SETTLED,SET00154,INR
SET00155,TXN00155,MERCHANT_004,2026-04-26,7999.0,79.99,14.4,0.0,0.0,0.0,7904.61,SETTLED,SET00155,INR
SET00156,TXN00156,MERCHANT_003,2026-02-28,1999.0,35.98,6.48,0.0,0.0,0.0,1956.54,SETTLED,SET00156,INR
SET00157,TXN00157,MERCHANT_005,2026-04-07,2499.0,49.98,9.0,0.0,0.0,0.0,2440.02,SETTLED,SET00157,INR
SET00158,TXN00158,MERCHANT_005,2026-03-27,1499.0,149.9,2.7,0.0,0.0,0.0,1346.4,SETTLED,SET00158,INR
SET00159,TXN00159,MERCHANT_003,2026-03-08,799.0,7.99,1.44,0.0,0.0,0.0,789.57,SETTLED,SET00159,INR
SET00160,TXN00160,MERCHANT_003,2026-02-01,5999.0,59.99,10.8,0.0,0.0,0.0,5928.21,SETTLED,SET00160,INR
SET00161,TXN00161,MERCHANT_002,2026-05-06,999.0,9.99,1.8,0.0,0.0,0.0,987.21,SETTLED,SET00161,INR
SET00162,TXN00162,MERCHANT_002,2026-03-20,799.0,9.59,1.73,0.0,0.0,0.0,787.68,SETTLED,SET00162,INR
SET00163,TXN00163,MERCHANT_003,2026-01-06,5999.0,59.99,10.8,0.0,0.0,0.0,5928.21,SETTLED,SET00163,INR
SET00164,TXN00164,MERCHANT_001,2026-01-16,2999.0,35.99,6.48,0.0,0.0,0.0,2956.53,SETTLED,SET00164,INR
SET00165,TXN00165,MERCHANT_004,2026-01-29,9999.0,199.98,36.0,0.0,0.0,0.0,9763.02,SETTLED,SET00165,INR
SET00166,TXN00166,MERCHANT_003,2026-05-02,2499.0,49.98,9.0,0.0,0.0,0.0,2440.02,SETTLED,SET00166,INR
SET00167,TXN00167,MERCHANT_002,2026-01-15,999.0,17.98,3.24,0.0,0.0,0.0,977.78,SETTLED,SET00167,INR
SET00168,TXN00168,MERCHANT_001,2026-04-16,2499.0,49.98,9.0,0.0,0.0,0.0,2440.02,SETTLED,SET00168,INR
SET00169,TXN00169,MERCHANT_001,2026-02-10,499.0,9.98,1.8,0.0,0.0,0.0,487.22,SETTLED,SET00169,INR
SET00170,TXN00170,MERCHANT_002,2026-02-01,2999.0,44.98,8.1,0.0,0.0,0.0,2945.92,SETTLED,SET00170,INR
SET00171,TXN00171,MERCHANT_005,2026-04-09,2499.0,37.48,6.75,0.0,0.0,0.0,2454.77,SETTLED,SET00171,INR
SET00172,TXN00172,MERCHANT_005,2026-04-21,999.0,14.98,2.7,0.0,0.0,0.0,981.32,SETTLED,SET00172,INR
SET00173,TXN00173,MERCHANT_002,2026-06-12,799.0,9.59,1.73,0.0,0.0,0.0,787.68,SETTLED,SET00173,INR
SET00174,TXN00174,MERCHANT_002,2026-03-06,499.0,7.48,1.35,0.0,0.0,0.0,490.17,SETTLED,SET00174,INR
SET00175,TXN00175,MERCHANT_001,2026-04-17,2499.0,37.48,6.75,0.0,0.0,0.0,2454.77,SETTLED,SET00175,INR
SET00176,TXN00176,MERCHANT_001,2026-03-02,999.0,9.99,1.8,0.0,0.0,0.0,987.21,SETTLED,SET00176,INR
SET00177,TXN00177,MERCHANT_001,2026-06-27,799.0,15.98,2.88,0.0,0.0,0.0,780.14,SETTLED,SET00177,INR
SET00178,TXN00178,MERCHANT_004,2026-02-01,2999.0,29.99,5.4,0.0,0.0,0.0,2963.61,SETTLED,SET00178,INR
SET00179,TXN00179,MERCHANT_003,2026-02-07,299.0,5.98,1.08,0.0,0.0,0.0,291.94,SETTLED,SET00179,INR
SET00180,TXN00180,MERCHANT_003,2026-06-03,5999.0,119.98,21.6,0.0,0.0,0.0,5857.42,SETTLED,SET00180,INR
SET00181,TXN00181,MERCHANT_001,2026-05-01,5999.0,71.99,12.96,0.0,0.0,0.0,5914.05,SETTLED,SET00181,INR
SET00182,TXN00182,MERCHANT_003,2026-05-10,2999.0,29.99,5.4,0.0,0.0,0.0,2963.61,SETTLED,SET00182,INR
SET00183,TXN00183,MERCHANT_001,2026-06-04,199.0,2.98,0.54,0.0,0.0,0.0,195.48,SETTLED,SET00183,INR
SET00184,TXN00184,MERCHANT_005,2026-03-07,199.0,2.39,0.43,0.0,0.0,0.0,196.18,SETTLED,SET00184,INR
SET00185,TXN00185,MERCHANT_005,2026-06-02,199.0,3.98,0.72,0.0,0.0,0.0,94.3,SETTLED,SET00185,INR
SET00186,TXN00186,MERCHANT_001,2026-02-17,2499.0,37.48,6.75,0.0,0.0,0.0,2454.77,SETTLED,SET00186,INR
SET00187,TXN00187,MERCHANT_002,2026-06-01,1999.0,39.98,7.2,0.0,0.0,0.0,1951.82,SETTLED,SET00187,INR
SET00188,TXN00188,MERCHANT_004,2026-04-01,1999.0,39.98,7.2,0.0,0.0,0.0,1951.82,SETTLED,SET00188,INR
SET00189,TXN00189,MERCHANT_001,2026-02-12,1499.0,14.99,2.7,0.0,449.7,0.0,1031.61,SETTLED,SET00189,INR
SET00191,TXN00191,MERCHANT_001,2026-03-23,999.0,9.99,1.8,0.0,0.0,0.0,987.21,SETTLED,SET00191,INR
SET00192,TXN00192,MERCHANT_004,2026-05-15,9999.0,199.98,36.0,0.0,0.0,0.0,9763.02,SETTLED,SET00192,INR
SET00193,TXN00193,MERCHANT_004,2026-04-17,199.0,2.98,0.54,0.0,0.0,0.0,195.48,SETTLED,SET00193,INR
SET00194,TXN00194,MERCHANT_003,2026-06-10,7999.0,159.98,28.8,0.0,0.0,0.0,7810.22,SETTLED,SET00194,INR
SET00195,TXN00195,MERCHANT_001,2026-02-23,999.0,14.98,2.7,0.0,0.0,0.0,981.32,SETTLED,SET00195,INR
SET00196,TXN00196,MERCHANT_004,2026-07-09,2499.0,37.48,6.75,0.0,0.0,0.0,2454.77,SETTLED,SET00196,INR
SET00197,TXN00197,MERCHANT_005,2026-03-05,5999.0,107.98,19.44,0.0,0.0,0.0,5871.58,SETTLED,SET00197,INR
SET00198,TXN00198,MERCHANT_005,2026-01-05,2999.0,29.99,5.4,0.0,0.0,0.0,2963.61,SETTLED,SET00198,INR
SET00199,TXN00199,MERCHANT_002,2026-01-31,2499.0,44.98,8.1,0.0,0.0,0.0,1249.5,SETTLED,SET00199,INR
SET00200,TXN00200,MERCHANT_004,2026-03-17,2999.0,29.99,5.4,0.0,0.0,0.0,2963.61,SETTLED,SET00200,INR
SET00201,TXN00201,MERCHANT_004,2026-05-02,799.0,11.98,2.16,0.0,0.0,0.0,784.86,SETTLED,SET00201,INR
