transaction_id,exception_type
TXN00935,FAILED_PAYMENT
TXN00732,FAILED_PAYMENT
TXN00288,FAILED_PAYMENT
TXN00528,FAILED_PAYMENT
TXN00808,PARTIAL_SETTLEMENT
TXN00230,PARTIAL_SETTLEMENT
TXN00437,PARTIAL_SETTLEMENT
TXN00029,PARTIAL_SETTLEMENT
TXN00375,PARTIAL_SETTLEMENT
TXN00820,PARTIAL_SETTLEMENT
TXN00317,PARTIAL_SETTLEMENT
TXN00561,PARTIAL_SETTLEMENT
TXN00242,PARTIAL_SETTLEMENT
TXN00150,PARTIAL_SETTLEMENT
TXN00517,PARTIAL_SETTLEMENT
TXN00418,PARTIAL_SETTLEMENT
TXN00661,PARTIAL_SETTLEMENT
TXN00199,PARTIAL_SETTLEMENT
TXN00586,PARTIAL_SETTLEMENT
TXN00326,REFUND
TXN00824,REFUND
TXN00703,REFUND
TXN00950,REFUND
TXN00516,REFUND
TXN00865,REFUND
TXN00837,REFUND
TXN00878,REFUND
TXN00360,REFUND
TXN00595,REFUND
TXN00789,REFUND
TXN00189,REFUND
TXN00067,REFUND
TXN00356,REFUND
TXN00800,REFUND
TXN00903,CHARGEBACK
TXN00921,CHARGEBACK
TXN00943,CHARGEBACK
TXN00331,CHARGEBACK
TXN00728,CHARGEBACK
TXN00397,CHARGEBACK
TXN00464,CHARGEBACK
TXN00394,CHARGEBACK
TXN00312,CHARGEBACK
TXN00681,CHARGEBACK
TXN00745,SETTLEMENT_DELAY
TXN00922,SETTLEMENT_DELAY
TXN00462,SETTLEMENT_DELAY
TXN00523,SETTLEMENT_DELAY
TXN00632,SETTLEMENT_DELAY
TXN00491,SETTLEMENT_DELAY
TXN00196,SETTLEMENT_DELAY
TXN00257,SETTLEMENT_DELAY
TXN00694,SETTLEMENT_DELAY
TXN00741,SETTLEMENT_DELAY
TXN00578,INCORRECT_FEE
TXN00158,INCORRECT_FEE
TXN00613,INCORRECT_FEE
TXN00393,INCORRECT_FEE
TXN00970,INCORRECT_FEE
TXN00689,INCORRECT_FEE
TXN00362,INCORRECT_FEE
TXN00817,INCORRECT_FEE
TXN00402,INCORRECT_FEE
TXN00093,INCORRECT_FEE
TXN00918,UNKNOWN_ADJUSTMENT
TXN00490,UNKNOWN_ADJUSTMENT
TXN00452,UNKNOWN_ADJUSTMENT
TXN00252,UNKNOWN_ADJUSTMENT
TXN00654,UNKNOWN_ADJUSTMENT
TXN00770,WRONG_TRANSACTION_REFERENCE
TXN00671,WRONG_TRANSACTION_REFERENCE
TXN00130,WRONG_TRANSACTION_REFERENCE
TXN00638,WRONG_TRANSACTION_REFERENCE
TXN00992,WRONG_TRANSACTION_REFERENCE
TXN00343,WRONG_TRANSACTION_REFERENCE
TXN00309,WRONG_TRANSACTION_REFERENCE
TXN00137,WRONG_TRANSACTION_REFERENCE
TXN00089,WRONG_TRANSACTION_REFERENCE
TXN00328,WRONG_TRANSACTION_REFERENCE
TXN00476,DATE_MISMATCH
TXN00982,DATE_MISMATCH
TXN00851,DATE_MISMATCH
TXN00893,DATE_MISMATCH
TXN00376,DATE_MISMATCH
TXN00179,DATE_MISMATCH
TXN00027,DATE_MISMATCH
TXN00350,DATE_MISMATCH
TXN00500,DATE_MISMATCH
TXN00475,DATE_MISMATCH
TXN00618,MULTIPLE_PAYMENTS
TXN00698,MULTIPLE_PAYMENTS
TXN00051,MULTIPLE_PAYMENTS
TXN00212,MULTIPLE_PAYMENTS
TXN00382,MULTIPLE_PAYMENTS
