transaction_id,order_id,payment_id,settlement_id,true_status,true_exception_type,true_difference
TXN00080,ORD00080,PAY00080,SET00080,MATCHED,NONE,0.0
TXN00081,ORD00081,PAY00081,SET00081,MATCHED,NONE,0.0
TXN00082,ORD00082,PAY00082,SET00082,MATCHED,NONE,0.0
TXN00083,ORD00083,PAY00083,SET00083,MATCHED,NONE,0.0
TXN00084,ORD00084,PAY00084,SET00084,MATCHED,NONE,0.0
TXN00085,ORD00085,PAY00085,SET00085,MATCHED,NONE,0.0
TXN00086,ORD00086,PAY00086,SET00086,EXCEPTION,AMOUNT_MISMATCH,250.0
TXN00087,ORD00087,PAY00087,SET00087,MATCHED,NONE,0.0
TXN00088,ORD00088,PAY00088,SET00088,MATCHED,NONE,0.0
TXN00089,ORD00089,PAY00089,SET00089,EXCEPTION,WRONG_TRANSACTION_REFERENCE,
TXN00090,ORD00090,PAY00090,SET00090,MATCHED,NONE,0.0
TXN00091,ORD00091,PAY00091,SET00091,MATCHED,NONE,0.0
TXN00092,ORD00092,PAY00092,SET00092,MATCHED,NONE,0.0
TXN00093,ORD00093,PAY00093,SET00093,EXCEPTION,INCORRECT_FEE,49.95
TXN00094,ORD00094,PAY00094,SET00094,MATCHED,NONE,0.0
TXN00095,ORD00095,PAY00095,SET00095,MATCHED,NONE,0.0
TXN00096,ORD00096,PAY00096,SET00096,MATCHED,NONE,0.0
TXN00097,ORD00097,PAY00097,SET00097,MATCHED,NONE,0.0
TXN00098,ORD00098,PAY00098,SET00098,MATCHED,NONE,0.0
TXN00099,ORD00099,PAY00099,SET00099,MATCHED,NONE,0.0
TXN00100,ORD00100,PAY00100,SET00100,MATCHED,NONE,0.0
TXN00101,ORD00101,PAY00101,SET00101,MATCHED,NONE,0.0
TXN00102,ORD00102,PAY00102,SET00102,MATCHED,NONE,0.0
TXN00103,ORD00103,PAY00103,SET00103,MATCHED,NONE,0.0
TXN00104,ORD00104,PAY00104,SET00104,MATCHED,NONE,0.0
TXN00105,ORD00105,PAY00105,SET00105,MATCHED,NONE,0.0
TXN00106,ORD00106,PAY00106,SET00106,MATCHED,NONE,0.0
TXN00107,ORD00107,PAY00107,SET00107,MATCHED,NONE,0.0
TXN00108,ORD00108,PAY00108,SET00108,MATCHED,NONE,0.0
TXN00109,ORD00109,PAY00109,SET00109,MATCHED,NONE,0.0
TXN00110,ORD00110,PAY00110,SET00110,MATCHED,NONE,0.0
TXN00111,ORD00111,PAY00111,SET00111,MATCHED,NONE,0.0
TXN00112,ORD00112,PAY00112,SET00112,MATCHED,NONE,0.0
TXN00113,ORD00113,PAY00113,SET00113,MATCHED,NONE,0.0
TXN00114,ORD00114,,SET00114,EXCEPTION,MISSING_PAYMENT,999.0
TXN00115,ORD00115,PAY00115,SET00115,MATCHED,NONE,0.0
TXN00116,ORD00116,PAY00116,SET00116,MATCHED,NONE,0.0
TXN00117,ORD00117,PAY00117,SET00117,MATCHED,NONE,0.0
TXN00118,ORD00118,PAY00118,SET00118,MATCHED,NONE,0.0
TXN00119,ORD00119,PAY00119,SET00119,MATCHED,NONE,0.0
TXN00120,ORD00120,PAY00120,SET00120,MATCHED,NONE,0.0
TXN00121,ORD00121,PAY00121,SET00121,MATCHED,NONE,0.0
TXN00122,ORD00122,PAY00122,SET00122,MATCHED,NONE,0.0
TXN00123,ORD00123,PAY00123,SET00123,MATCHED,NONE,0.0
TXN00124,ORD00124,PAY00124,SET00124,MATCHED,NONE,0.0
TXN00125,ORD00125,PAY00125,SET00125,MATCHED,NONE,0.0
TXN00126,ORD00126,PAY00126,SET00126,MATCHED,NONE,0.0
TXN00127,ORD00127,PAY00127,SET00127,MATCHED,NONE,0.0
TXN00128,ORD00128,PAY00128,SET00128,MATCHED,NONE,0.0
TXN00129,ORD00129,PAY00129,SET00129,MATCHED,NONE,0.0
TXN00130,ORD00130,PAY00130,SET00130,EXCEPTION,WRONG_TRANSACTION_REFERENCE,
TXN00131,ORD00131,PAY00131,SET00131,MATCHED,NONE,0.0
TXN00132,ORD00132,PAY00132,SET00132,MATCHED,NONE,0.0
TXN00133,ORD00133,PAY00133,SET00133,MATCHED,NONE,0.0
TXN00134,ORD00134,PAY00134,SET00134,MATCHED,NONE,0.0
TXN00135,ORD00135,PAY00135,SET00135,MATCHED,NONE,0.0
TXN00136,ORD00136,PAY00136,SET00136,MATCHED,NONE,0.0
TXN00137,ORD00137,PAY00137,SET00137,EXCEPTION,WRONG_TRANSACTION_REFERENCE,
TXN00138,ORD00138,PAY00138,SET00138,MATCHED,NONE,0.0
TXN00139,ORD00139,PAY00139,SET00139,MATCHED,NONE,0.0
TXN00140,ORD00140,PAY00140,SET00140,MATCHED,NONE,0.0
TXN00141,ORD00141,PAY00141,SET00141,MATCHED,NONE,0.0
TXN00142,ORD00142,PAY00142,SET00142,MATCHED,NONE,0.0
TXN00143,ORD00143,PAY00143,SET00143,MATCHED,NONE,0.0
TXN00144,ORD00144,PAY00144,SET00144,MATCHED,NONE,0.0
TXN00145,ORD00145,PAY00145,SET00145,MATCHED,NONE,0.0
TXN00146,ORD00146,PAY00146,SET00146,MATCHED,NONE,0.0
TXN00147,ORD00147,PAY00147,SET00147,MATCHED,NONE,0.0
TXN00148,ORD00148,PAY00148,SET00148,MATCHED,NONE,0.0
TXN00149,ORD00149,PAY00149,SET00149,MATCHED,NONE,0.0
TXN00150,ORD00150,PAY00150,SET00150,EXCEPTION,PARTIAL_SETTLEMENT,1858.21
TXN00151,ORD00151,,SET00151,EXCEPTION,MISSING_PAYMENT,1499.0
TXN00152,ORD00152,PAY00152,SET00152,MATCHED,NONE,0.0
TXN00153,ORD00153,PAY00153,SET00153,MATCHED,NONE,0.0
TXN00154,ORD00154,PAY00154,SET00154,MATCHED,NONE,0.0
TXN00155,ORD00155,PAY00155,SET00155,MATCHED,NONE,0.0
TXN00156,ORD00156,PAY00156,SET00156,MATCHED,NONE,0.0
TXN00157,ORD00157,PAY00157,SET00157,MATCHED,NONE,0.0
TXN00158,ORD00158,PAY00158,SET00158,EXCEPTION,INCORRECT_FEE,134.91
TXN00159,ORD00159,PAY00159,SET00159,MATCHED,NONE,0.0
TXN00160,ORD00160,PAY00160,SET00160,MATCHED,NONE,0.0
TXN00161,ORD00161,PAY00161,SET00161,MATCHED,NONE,0.0
TXN00162,ORD00162,PAY00162,SET00162,MATCHED,NONE,0.0
TXN00163,ORD00163,PAY00163,SET00163,MATCHED,NONE,0.0
TXN00164,ORD00164,PAY00164,SET00164,MATCHED,NONE,0.0
TXN00165,ORD00165,PAY00165,SET00165,MATCHED,NONE,0.0
TXN00166,ORD00166,PAY00166,SET00166,MATCHED,NONE,0.0
TXN00167,ORD00167,PAY00167,SET00167,MATCHED,NONE,0.0
TXN00168,ORD00168,PAY00168,SET00168,MATCHED,NONE,0.0
TXN00169,ORD00169,PAY00169,SET00169,MATCHED,NONE,0.0
TXN00170,ORD00170,PAY00170,SET00170,MATCHED,NONE,0.0
TXN00171,ORD00171,PAY00171,SET00171,MATCHED,NONE,0.0
TXN00172,ORD00172,PAY00172,SET00172,MATCHED,NONE,0.0
TXN00173,ORD00173,PAY00173,SET00173,MATCHED,NONE,0.0
TXN00174,ORD00174,PAY00174,SET00174,MATCHED,NONE,0.0
TXN00175,ORD00175,,SET00175,EXCEPTION,MISSING_PAYMENT,2499.0
TXN00176,ORD00176,PAY00176,SET00176,MATCHED,NONE,0.0
TXN00177,ORD00177,PAY00177,SET00177,MATCHED,NONE,0.0
TXN00178,ORD00178,PAY00178|PAY00178_DUP,SET00178,EXCEPTION,DUPLICATE_PAYMENT,2999.0
TXN00179,ORD00179,PAY00179,SET00179,EXCEPTION,DATE_MISMATCH,10.0
TXN00180,ORD00180,PAY00180,SET00180,MATCHED,NONE,0.0
TXN00181,ORD00181,PAY00181,SET00181,MATCHED,NONE,0.0
TXN00182,ORD00182,PAY00182,SET00182,MATCHED,NONE,0.0
TXN00183,ORD00183,PAY00183,SET00183,MATCHED,NONE,0.0
TXN00184,ORD00184,PAY00184,SET00184,MATCHED,NONE,0.0
TXN00185,ORD00185,PAY00185,SET00185,EXCEPTION,AMOUNT_MISMATCH,100.0
TXN00186,ORD00186,,SET00186,EXCEPTION,MISSING_PAYMENT,2499.0
TXN00187,ORD00187,PAY00187,SET00187,MATCHED,NONE,0.0
TXN00188,ORD00188,PAY00188,SET00188,MATCHED,NONE,0.0
TXN00189,ORD00189,PAY00189,SET00189,EXCEPTION,REFUND,449.7
TXN00190,ORD00190,PAY00190,,EXCEPTION,MISSING_SETTLEMENT,1963.62
TXN00191,ORD00191,PAY00191,SET00191,MATCHED,NONE,0.0
TXN00192,ORD00192,PAY00192,SET00192,MATCHED,NONE,0.0
TXN00193,ORD00193,PAY00193,SET00193,MATCHED,NONE,0.0
TXN00194,ORD00194,PAY00194,SET00194,MATCHED,NONE,0.0
TXN00195,ORD00195,PAY00195,SET00195,MATCHED,NONE,0.0
TXN00196,ORD00196,PAY00196,SET00196,EXCEPTION,SETTLEMENT_DELAY,10.0
TXN00197,ORD00197,PAY00197,SET00197,MATCHED,NONE,0.0
TXN00198,ORD00198,PAY00198,SET00198,MATCHED,NONE,0.0
TXN00199,ORD00199,PAY00199,SET00199,EXCEPTION,PARTIAL_SETTLEMENT,1196.42
TXN00200,ORD00200,PAY00200,SET00200,MATCHED,NONE,0.0
TXN00201,ORD00201,PAY00201|PAY00201_DUP,SET00201,EXCEPTION,DUPLICATE_PAYMENT,799.0
TXN00202,ORD00202,PAY00202,SET00202,MATCHED,NONE,0.0
TXN00203,ORD00203,PAY00203,,EXCEPTION,MISSING_SETTLEMENT,1467.16
TXN00204,ORD00204,PAY00204,SET00204,MATCHED,NONE,0.0
TXN00205,ORD00205,PAY00205,SET00205,MATCHED,NONE,0.0
TXN00206,ORD00206,PAY00206,SET00206,MATCHED,NONE,0.0
TXN00207,ORD00207,PAY00207,SET00207,MATCHED,NONE,0.0
TXN00208,ORD00208,PAY00208,SET00208,MATCHED,NONE,0.0
TXN00209,ORD00209,PAY00209,SET00209,MATCHED,NONE,0.0
TXN00210,ORD00210,PAY00210,SET00210,MATCHED,NONE,0.0
TXN00211,ORD00211,PAY00211,SET00211|SET00211_DUP,EXCEPTION,DUPLICATE_SETTLEMENT,2956.53
TXN00212,ORD00212,PAY00212|PAY00212_PART2,SET00212,EXCEPTION,MULTIPLE_PAYMENTS,2999.7
TXN00213,ORD00213,PAY00213,SET00213,MATCHED,NONE,0.0
TXN00214,ORD00214,PAY00214,SET00214,MATCHED,NONE,0.0
TXN00215,ORD00215,PAY00215,SET00215,MATCHED,NONE,0.0
TXN00216,ORD00216,PAY00216,SET00216,MATCHED,NONE,0.0
TXN00217,ORD00217,PAY00217,SET00217,MATCHED,NONE,0.0
TXN00218,ORD00218,PAY00218,SET00218,MATCHED,NONE,0.0
TXN00219,ORD00219,PAY00219,SET00219,MATCHED,NONE,0.0
TXN00220,ORD00220,PAY00220,SET00220,MATCHED,NONE,0.0
TXN00221,ORD00221,PAY00221,SET00221,MATCHED,NONE,0.0
TXN00222,ORD00222,PAY00222,,EXCEPTION,MISSING_SETTLEMENT,787.68
TXN00223,ORD00223,PAY00223,SET00223,MATCHED,NONE,0.0
TXN00224,ORD00224,PAY00224,SET00224,MATCHED,NONE,0.0
TXN00225,ORD00225,PAY00225,SET00225,MATCHED,NONE,0.0
TXN00226,ORD00226,PAY00226,SET00226,MATCHED,NONE,0.0
TXN00227,ORD00227,PAY00227,SET00227,MATCHED,NONE,0.0
TXN00228,ORD00228,PAY00228,SET00228,MATCHED,NONE,0.0
TXN00229,ORD00229,PAY00229,SET00229,MATCHED,NONE,0.0
TXN00230,ORD00230,PAY00230,SET00230,EXCEPTION,PARTIAL_SETTLEMENT,729.02
TXN00231,ORD00231,PAY00231,SET00231,MATCHED,NONE,0.0
TXN00232,ORD00232,PAY00232,SET00232,MATCHED,NONE,0.0
TXN00233,ORD00233,PAY00233,SET00233,MATCHED,NONE,0.0
TXN00234,ORD00234,PAY00234,SET00234,MATCHED,NONE,0.0
TXN00235,ORD00235,PAY00235,SET00235,MATCHED,NONE,0.0
TXN00236,ORD00236,PAY00236,SET00236,MATCHED,NONE,0.0
TXN00237,ORD00237,PAY00237,SET00237,MATCHED,NONE,0.0
TXN00238,ORD00238,PAY00238,SET00238,MATCHED,NONE,0.0
TXN00239,ORD00239,PAY00239,SET00239,MATCHED,NONE,0.0
TXN00240,ORD00240,PAY00240,SET00240,MATCHED,NONE,0.0
TXN00241,ORD00241,PAY00241,SET00241,MATCHED,NONE,0.0
TXN00242,ORD00242,PAY00242,SET00242,EXCEPTION,PARTIAL_SETTLEMENT,952.32
TXN00243,ORD00243,PAY00243,SET00243,MATCHED,NONE,0.0
TXN00244,ORD00244,PAY00244,SET00244,MATCHED,NONE,0.0
TXN00245,ORD00245,PAY00245,SET00245,MATCHED,NONE,0.0
TXN00246,ORD00246,PAY00246,SET00246,MATCHED,NONE,0.0
TXN00247,ORD00247,PAY00247,SET00247,MATCHED,NONE,0.0
TXN00248,ORD00248,PAY00248|PAY00248_DUP,SET00248,EXCEPTION,DUPLICATE_PAYMENT,3999.0
TXN00249,ORD00249,PAY00249,SET00249,MATCHED,NONE,0.0
TXN00250,ORD00250,PAY00250,SET00250,MATCHED,NONE,0.0
TXN00251,ORD00251,PAY00251,SET00251,MATCHED,NONE,0.0
TXN00252,ORD00252,PAY00252,SET00252,EXCEPTION,UNKNOWN_ADJUSTMENT,-500.0
TXN00253,ORD00253,PAY00253,SET00253,MATCHED,NONE,0.0
TXN00254,ORD00254,PAY00254,SET00254,MATCHED,NONE,0.0
TXN00255,ORD00255,PAY00255,SET00255,MATCHED,NONE,0.0
TXN00256,ORD00256,PAY00256,SET00256,MATCHED,NONE,0.0
TXN00257,ORD00257,PAY00257,SET00257,EXCEPTION,SETTLEMENT_DELAY,5.0
TXN00258,ORD00258,PAY00258,SET00258,MATCHED,NONE,0.0
TXN00259,ORD00259,PAY00259,SET00259,MATCHED,NONE,0.0
TXN00260,ORD00260,PAY00260,SET00260,MATCHED,NONE,0.0
TXN00261,ORD00261,PAY00261,SET00261,MATCHED,NONE,0.0
TXN00262,ORD00262,PAY00262,SET00262,MATCHED,NONE,0.0
TXN00263,ORD00263,PAY00263,SET00263,MATCHED,NONE,0.0
TXN00264,ORD00264,PAY00264,SET00264,MATCHED,NONE,0.0
TXN00265,ORD00265,,SET00265,EXCEPTION,MISSING_PAYMENT,4999.0
TXN00266,ORD00266,PAY00266,SET00266,MATCHED,NONE,0.0
TXN00267,ORD00267,PAY00267,SET00267,MATCHED,NONE,0.0
TXN00268,ORD00268,PAY00268,SET00268,MATCHED,NONE,0.0
TXN00269,ORD00269,PAY00269,SET00269,MATCHED,NONE,0.0
TXN00270,ORD00270,PAY00270,SET00270,MATCHED,NONE,0.0
TXN00271,ORD00271,PAY00271,SET00271,MATCHED,NONE,0.0
TXN00272,ORD00272,PAY00272,SET00272,MATCHED,NONE,0.0
TXN00273,ORD00273,PAY00273,SET00273,MATCHED,NONE,0.0
TXN00274,ORD00274,PAY00274,SET00274,MATCHED,NONE,0.0
TXN00275,ORD00275,PAY00275,SET00275,MATCHED,NONE,0.0
TXN00276,ORD00276,PAY00276,SET00276,MATCHED,NONE,0.0
TXN00277,ORD00277,PAY00277,SET00277,MATCHED,NONE,0.0
TXN00278,ORD00278,PAY00278,SET00278,MATCHED,NONE,0.0
TXN00279,ORD00279,PAY00279,SET00279,MATCHED,NONE,0.0
TXN00280,ORD00280,PAY00280,SET00280,MATCHED,NONE,0.0
TXN00281,ORD00281,PAY00281,SET00281,MATCHED,NONE,0.0
TXN00282,ORD00282,PAY00282,SET00282,MATCHED,NONE,0.0
TXN00283,ORD00283,PAY00283,SET00283,EXCEPTION,FAILED_PAYMENT,999.0
TXN00284,ORD00284,PAY00284,SET00284,MATCHED,NONE,0.0
TXN00285,ORD00285,PAY00285,SET00285,MATCHED,NONE,0.0
TXN00286,ORD00286,PAY00286,SET00286,MATCHED,NONE,0.0
TXN00287,ORD00287,PAY00287,SET00287,MATCHED,NONE,0.0
TXN00288,ORD00288,PAY00288,SET00288,EXCEPTION,FAILED_PAYMENT,299.0
TXN00289,ORD00289,PAY00289,SET00289,MATCHED,NONE,0.0
TXN00290,ORD00290,PAY00290,SET00290,MATCHED,NONE,0.0
TXN00291,ORD00291,PAY00291|PAY00291_DUP,SET00291,EXCEPTION,DUPLICATE_PAYMENT,799.0
TXN00292,ORD00292,PAY00292,SET00292,MATCHED,NONE,0.0
TXN00293,ORD00293,PAY00293,SET00293,MATCHED,NONE,0.0
TXN00294,ORD00294,PAY00294,SET00294|SET00294_DUP,EXCEPTION,DUPLICATE_SETTLEMENT,987.21
TXN00295,ORD00295,PAY00295,SET00295,MATCHED,NONE,0.0
TXN00296,ORD00296,PAY00296,SET00296,MATCHED,NONE,0.0
TXN00297,ORD00297,PAY00297,SET00297,MATCHED,NONE,0.0
TXN00298,ORD00298,PAY00298,SET00298,MATCHED,NONE,0.0
TXN00299,ORD00299,PAY00299,SET00299,EXCEPTION,FAILED_PAYMENT,3999.0
TXN00300,ORD00300,PAY00300,,EXCEPTION,MISSING_SETTLEMENT,1956.54
TXN00301,ORD00301,PAY00301,SET00301,MATCHED,NONE,0.0
TXN00302,ORD00302,PAY00302,SET00302,MATCHED,NONE,0.0
TXN00303,ORD00303,PAY00303,SET00303,MATCHED,NONE,0.0
TXN00304,ORD00304,PAY00304,SET00304,MATCHED,NONE,0.0
TXN00305,ORD00305,PAY00305,SET00305,MATCHED,NONE,0.0
TXN00306,ORD00306,PAY00306,SET00306,MATCHED,NONE,0.0
TXN00307,ORD00307,PAY00307,SET00307,MATCHED,NONE,0.0
TXN00308,ORD00308,PAY00308,SET00308,MATCHED,NONE,0.0
TXN00309,ORD00309,PAY00309,SET00309,EXCEPTION,WRONG_TRANSACTION_REFERENCE,
TXN00310,ORD00310,PAY00310,SET00310,MATCHED,NONE,0.0
TXN00311,ORD00311,PAY00311,SET00311,MATCHED,NONE,0.0
TXN00312,ORD00312,PAY00312,SET00312,EXCEPTION,CHARGEBACK,2999.25
TXN00313,ORD00313,PAY00313,SET00313,MATCHED,NONE,0.0
TXN00314,ORD00314,PAY00314,SET00314,MATCHED,NONE,0.0
TXN00315,ORD00315,PAY00315,SET00315,MATCHED,NONE,0.0
TXN00316,ORD00316,PAY00316,SET00316,MATCHED,NONE,0.0
TXN00317,ORD00317,PAY00317,SET00317,EXCEPTION,PARTIAL_SETTLEMENT,148.48
TXN00318,ORD00318,PAY00318,SET00318,MATCHED,NONE,0.0
TXN00319,ORD00319,PAY00319,SET00319,MATCHED,NONE,0.0
TXN00320,ORD00320,PAY00320,SET00320,MATCHED,NONE,0.0
TXN00321,ORD00321,PAY00321,SET00321,MATCHED,NONE,0.0
TXN00322,ORD00322,PAY00322,SET00322,MATCHED,NONE,0.0
TXN00323,ORD00323,PAY00323,SET00323,MATCHED,NONE,0.0
TXN00324,ORD00324,PAY00324,SET00324,MATCHED,NONE,0.0
TXN00325,ORD00325,PAY00325,SET00325,MATCHED,NONE,0.0
TXN00326,ORD00326,PAY00326,SET00326,EXCEPTION,REFUND,599.9
TXN00327,ORD00327,PAY00327,SET00327,MATCHED,NONE,0.0
TXN00328,ORD00328,PAY00328,SET00328,EXCEPTION,WRONG_TRANSACTION_REFERENCE,
TXN00329,ORD00329,PAY00329,SET00329,MATCHED,NONE,0.0
TXN00330,ORD00330,PAY00330,SET00330,MATCHED,NONE,0.0
TXN00331,ORD00331,PAY00331,SET00331,EXCEPTION,CHARGEBACK,249.5
TXN00332,ORD00332,PAY00332,SET00332,MATCHED,NONE,0.0
TXN00333,ORD00333,PAY00333,SET00333,MATCHED,NONE,0.0
TXN00334,ORD00334,PAY00334,SET00334,MATCHED,NONE,0.0
TXN00335,ORD00335,PAY00335,,EXCEPTION,MISSING_SETTLEMENT,1467.16
TXN00336,ORD00336,PAY00336,SET00336,MATCHED,NONE,0.0
TXN00337,ORD00337,PAY00337,SET00337,EXCEPTION,AMOUNT_MISMATCH,250.0
TXN00338,ORD00338,PAY00338,SET00338,MATCHED,NONE,0.0
TXN00339,ORD00339,PAY00339,SET00339,MATCHED,NONE,0.0
TXN00340,ORD00340,PAY00340,SET00340,MATCHED,NONE,0.0
TXN00341,ORD00341,PAY00341,SET00341,MATCHED,NONE,0.0
TXN00342,ORD00342,PAY00342,SET00342,MATCHED,NONE,0.0
TXN00343,ORD00343,PAY00343,SET00343,EXCEPTION,WRONG_TRANSACTION_REFERENCE,
TXN00344,ORD00344,PAY00344,SET00344,MATCHED,NONE,0.0
TXN00345,ORD00345,PAY00345,SET00345,MATCHED,NONE,0.0
TXN00346,ORD00346,PAY00346,SET00346,MATCHED,NONE,0.0
TXN00347,ORD00347,PAY00347,SET00347,MATCHED,NONE,0.0
TXN00348,ORD00348,PAY00348,SET00348,MATCHED,NONE,0.0
TXN00349,ORD00349,PAY00349,SET00349,MATCHED,NONE,0.0
TXN00350,ORD00350,PAY00350,SET00350,EXCEPTION,DATE_MISMATCH,10.0
TXN00351,ORD00351,PAY00351,SET00351,EXCEPTION,AMOUNT_MISMATCH,100.0
TXN00352,ORD00352,PAY00352,SET00352,MATCHED,NONE,0.0
TXN00353,ORD00353,PAY00353,SET00353,MATCHED,NONE,0.0
TXN00354,ORD00354,PAY00354,SET00354,MATCHED,NONE,0.0
