bank_transaction_id,transaction_id,merchant_id,transaction_date,credit_amount,transaction_type,reference,currency
BANK00041,TXN00041,MERCHANT_001,2026-01-19,5999,CREDIT,TXN00041,INR
BANK00042,TXN00042,MERCHANT_001,2026-01-09,9999,CREDIT,TXN00042,INR
BANK00043,TXN00043,MERCHANT_005,2026-03-02,999,CREDIT,TXN00043,INR
BANK00044,TXN00044,MERCHANT_005,2026-02-03,5999,CREDIT,TXN00044,INR
BANK00045,TXN00045,MERCHANT_004,2026-04-15,799,CREDIT,TXN00045,INR
BANK00046,TXN00046,MERCHANT_004,2026-04-01,1999,CREDIT,TXN00046,INR
BANK00047,TXN00047,MERCHANT_001,2026-06-23,4999,CREDIT,TXN00047,INR
BANK00048,TXN00048,MERCHANT_004,2026-03-28,7999,CREDIT,TXN00048,INR
BANK00049,TXN00049,MERCHANT_002,2026-02-18,2999,CREDIT,TXN00049,INR
BANK00050,TXN00050,MERCHANT_004,2026-02-16,999,CREDIT,TXN00050,INR
BANK00051,TXN00051,MERCHANT_001,2026-04-25,7999,CREDIT,TXN00051,INR
BANK00052,TXN00052,MERCHANT_005,2026-01-04,299,CREDIT,TXN00052,INR
BANK00053,TXN00053,MERCHANT_004,2026-05-05,2499,CREDIT,TXN00053,INR
BANK00054,TXN00054,MERCHANT_001,2026-02-14,1999,CREDIT,TXN00054,INR
BANK00055,TXN00055,MERCHANT_003,2026-04-28,999,CREDIT,TXN00055,INR
BANK00056,TXN00056,MERCHANT_004,2026-02-10,799,CREDIT,TXN00056,INR
BANK00057,TXN00057,MERCHANT_001,2026-05-29,5999,CREDIT,TXN00057,INR
BANK00058,TXN00058,MERCHANT_001,2026-01-14,3999,CREDIT,TXN00058,INR
BANK00059,TXN00059,MERCHANT_005,2026-02-10,199,CREDIT,TXN00059,INR
BANK00060,TXN00060,MERCHANT_001,2026-06-03,299,CREDIT,TXN00060,INR
BANK00061,TXN00061,MERCHANT_001,2026-05-26,799,CREDIT,TXN00061,INR
BANK00062,TXN00062,MERCHANT_004,2026-06-20,3999,CREDIT,TXN00062,INR
BANK00063,TXN00063,MERCHANT_002,2026-06-22,5999,CREDIT,TXN00063,INR
BANK00064,TXN00064,MERCHANT_003,2026-04-12,499,CREDIT,TXN00064,INR
BANK00065,TXN00065,MERCHANT_003,2026-01-20,199,CREDIT,TXN00065,INR
BANK00066,TXN00066,MERCHANT_001,2026-01-19,2999,CREDIT,TXN00066,INR
BANK00067,TXN00067,MERCHANT_003,2026-02-05,1499,CREDIT,TXN00067,INR
BANK00068,TXN00068,MERCHANT_003,2026-03-14,499,CREDIT,TXN00068,INR
BANK00069,TXN00069,MERCHANT_003,2026-06-06,7999,CREDIT,TXN00069,INR
BANK00070,TXN00070,MERCHANT_003,2026-06-21,299,CREDIT,TXN00070,INR
BANK00071,TXN00071,MERCHANT_001,2026-01-28,5999,CREDIT,TXN00071,INR
BANK00072,TXN00072,MERCHANT_003,2026-06-04,799,CREDIT,TXN00072,INR
BANK00073,TXN00073,MERCHANT_003,2026-05-10,2499,CREDIT,TXN00073,INR
BANK00074,TXN00074,MERCHANT_001,2026-06-12,1999,CREDIT,TXN00074,INR
BANK00075,TXN00075,MERCHANT_001,2026-03-27,7999,CREDIT,TXN00075,INR
BANK00076,TXN00076,MERCHANT_002,2026-04-25,2999,CREDIT,TXN00076,INR
BANK00077,TXN00077,MERCHANT_001,2026-01-29,299,CREDIT,TXN00077,INR
BANK00078,TXN00078,MERCHANT_001,2026-04-06,3999,CREDIT,TXN00078,INR
BANK00079,TXN00079,MERCHANT_002,2026-01-13,999,CREDIT,TXN00079,INR
BANK00080,TXN00080,MERCHANT_003,2026-02-23,4999,CREDIT,TXN00080,INR
BANK00081,TXN00081,MERCHANT_003,2026-05-24,9999,CREDIT,TXN00081,INR
BANK00082,TXN00082,MERCHANT_002,2026-02-11,7999,CREDIT,TXN00082,INR
BANK00083,TXN00083,MERCHANT_001,2026-02-15,5999,CREDIT,TXN00083,INR
BANK00084,TXN00084,MERCHANT_002,2026-03-10,499,CREDIT,TXN00084,INR
BANK00085,TXN00085,MERCHANT_001,2026-05-03,799,CREDIT,TXN00085,INR
BANK00086,TXN00086,MERCHANT_003,2026-03-20,9999,CREDIT,TXN00086,INR
BANK00087,TXN00087,MERCHANT_001,2026-06-20,799,CREDIT,TXN00087,INR
BANK00088,TXN00088,MERCHANT_003,2026-01-20,7999,CREDIT,TXN00088,INR
BANK00089,TXN00089,MERCHANT_005,2026-04-15,4999,CREDIT,TXN00089,INR
BANK00090,TXN00090,MERCHANT_001,2026-03-08,499,CREDIT,TXN00090,INR
BANK00091,TXN00091,MERCHANT_001,2026-06-03,1999,CREDIT,TXN00091,INR
BANK00092,TXN00092,MERCHANT_004,2026-06-07,2999,CREDIT,TXN00092,INR
BANK00093,TXN00093,MERCHANT_005,2026-02-18,999,CREDIT,TXN00093,INR
BANK00094,TXN00094,MERCHANT_001,2026-05-15,7999,CREDIT,TXN00094,INR
BANK00095,TXN00095,MERCHANT_004,2026-01-20,4999,CREDIT,TXN00095,INR
BANK00096,TXN00096,MERCHANT_001,2026-03-18,2999,CREDIT,TXN00096,INR
BANK00097,TXN00097,MERCHANT_003,2026-04-14,5999,CREDIT,TXN00097,INR
BANK00098,TXN00098,MERCHANT_002,2026-02-20,1999,CREDIT,TXN00098,INR
BANK00099,TXN00099,MERCHANT_005,2026-05-27,999,CREDIT,TXN00099,INR
BANK00100,TXN00100,MERCHANT_001,2026-03-19,999,CREDIT,TXN00100,INR
BANK00101,TXN00101,MERCHANT_005,2026-06-07,4999,CREDIT,TXN00101,INR
BANK00102,TXN00102,MERCHANT_004,2026-04-26,4999,CREDIT,TXN00102,INR
BANK00103,TXN00103,MERCHANT_004,2026-02-14,4999,CREDIT,TXN00103,INR
BANK00104,TXN00104,MERCHANT_005,2026-06-19,4999,CREDIT,TXN00104,INR
BANK00105,TXN00105,MERCHANT_002,2026-06-24,999,CREDIT,TXN00105,INR
BANK00106,TXN00106,MERCHANT_002,2026-01-07,199,CREDIT,TXN00106,INR
BANK00107,TXN00107,MERCHANT_005,2026-01-19,2499,CREDIT,TXN00107,INR
BANK00108,TXN00108,MERCHANT_002,2026-06-28,1999,CREDIT,TXN00108,INR
BANK00109,TXN00109,MERCHANT_002,2026-02-07,4999,CREDIT,TXN00109,INR
BANK00110,TXN00110,MERCHANT_004,2026-02-26,499,CREDIT,TXN00110,INR
BANK00111,TXN00111,MERCHANT_005,2026-03-06,9999,CREDIT,TXN00111,INR
BANK00112,TXN00112,MERCHANT_002,2026-04-29,4999,CREDIT,TXN00112,INR
BANK00113,TXN00113,MERCHANT_005,2026-05-10,1999,CREDIT,TXN00113,INR
BANK00114,TXN00114,MERCHANT_004,2026-04-26,999,CREDIT,TXN00114,INR
BANK00115,TXN00115,MERCHANT_005,2026-05-06,4999,CREDIT,TXN00115,INR
BANK00116,TXN00116,MERCHANT_004,2026-01-22,5999,CREDIT,TXN00116,INR
BANK00117,TXN00117,MERCHANT_003,2026-03-27,1499,CREDIT,TXN00117,INR
BANK00118,TXN00118,MERCHANT_002,2026-03-01,1999,CREDIT,TXN00118,INR
BANK00119,TXN00119,MERCHANT_001,2026-04-19,1999,CREDIT,TXN00119,INR
BANK00120,TXN00120,MERCHANT_004,2026-04-18,199,CREDIT,TXN00120,INR
BANK00121,TXN00121,MERCHANT_004,2026-05-31,5999,CREDIT,TXN00121,INR
BANK00122,TXN00122,MERCHANT_004,2026-05-05,199,CREDIT,TXN00122,INR
BANK00123,TXN00123,MERCHANT_004,2026-04-19,2999,CREDIT,TXN00123,INR
BANK00124,TXN00124,MERCHANT_002,2026-03-11,1999,CREDIT,TXN00124,INR
BANK00125,TXN00125,MERCHANT_004,2026-03-28,4999,CREDIT,TXN00125,INR
BANK00126,TXN00126,MERCHANT_004,2026-02-02,3999,CREDIT,TXN00126,INR
BANK00127,TXN00127,MERCHANT_005,2026-05-25,4999,CREDIT,TXN00127,INR
BANK00128,TXN00128,MERCHANT_004,2026-02-06,9999,CREDIT,TXN00128,INR
BANK00129,TXN00129,MERCHANT_001,2026-03-09,1999,CREDIT,TXN00129,INR
BANK00130,TXN00130,MERCHANT_004,2026-03-26,1499,CREDIT,TXN00130,INR
BANK00131,TXN00131,MERCHANT_004,2026-03-06,9999,CREDIT,TXN00131,INR
BANK00132,TXN00132,MERCHANT_001,2026-05-21,199,CREDIT,TXN00132,INR
BANK00133,TXN00133,MERCHANT_001,2026-06-17,199,CREDIT,TXN00133,INR
BANK00134,TXN00134,MERCHANT_002,2026-01-07,3999,CREDIT,TXN00134,INR
BANK00135,TXN00135,MERCHANT_002,2026-05-03,4999,CREDIT,TXN00135,INR
BANK00136,TXN00136,MERCHANT_002,2026-05-01,5999,CREDIT,TXN00136,INR
BANK00137,TXN00137,MERCHANT_002,2026-06-05,3999,CREDIT,TXN00137,INR
BANK00138,TXN00138,MERCHANT_003,2026-01-28,3999,CREDIT,TXN00138,INR
BANK00139,TXN00139,MERCHANT_005,2026-06-23,1999,CREDIT,TXN00139,INR
BANK00140,TXN00140,MERCHANT_001,2026-06-02,5999,CREDIT,TXN00140,INR
BANK00141,TXN00141,MERCHANT_003,2026-06-26,3999,CREDIT,TXN00141,INR
BANK00142,TXN00142,MERCHANT_001,2026-03-30,2999,CREDIT,TXN00142,INR
BANK00143,TXN00143,MERCHANT_001,2026-05-10,4999,CREDIT,TXN00143,INR
BANK00144,TXN00144,MERCHANT_004,2026-05-06,299,CREDIT,TXN00144,INR
BANK00145,TXN00145,MERCHANT_004,2026-02-09,1999,CREDIT,TXN00145,INR
BANK00146,TXN00146,MERCHANT_003,2026-06-09,7999,CREDIT,TXN00146,INR
BANK00147,TXN00147,MERCHANT_004,2026-06-01,999,CREDIT,TXN00147,INR
BANK00148,TXN00148,MERCHANT_001,2026-03-15,2499,CREDIT,TXN00148,INR
BANK00149,TXN00149,MERCHANT_005,2026-06-07,4999,CREDIT,TXN00149,INR
BANK00150,TXN00150,MERCHANT_001,2026-05-08,9999,CREDIT,TXN00150,INR
BANK00151,TXN00151,MERCHANT_004,2026-02-24,1499,CREDIT,TXN00151,INR
BANK00152,TXN00152,MERCHANT_003,2026-06-03,5999,CREDIT,TXN00152,INR
BANK00153,TXN00153,MERCHANT_001,2026-05-14,799,CREDIT,TXN00153,INR
BANK00154,TXN00154,MERCHANT_004,2026-05-07,2999,CREDIT,TXN00154,INR
BANK00155,TXN00155,MERCHANT_004,2026-04-26,7999,CREDIT,TXN00155,INR
BANK00156,TXN00156,MERCHANT_003,2026-02-27,1999,CREDIT,TXN00156,INR
BANK00157,TXN00157,MERCHANT_005,2026-04-05,2499,CREDIT,TXN00157,INR
BANK00158,TXN00158,MERCHANT_005,2026-03-27,1499,CREDIT,TXN00158,INR
BANK00159,TXN00159,MERCHANT_003,2026-03-06,799,CREDIT,TXN00159,INR
BANK00160,TXN00160,MERCHANT_003,2026-02-02,5999,CREDIT,TXN00160,INR
BANK00161,TXN00161,MERCHANT_002,2026-05-06,999,CREDIT,TXN00161,INR
BANK00162,TXN00162,MERCHANT_002,2026-03-17,799,CREDIT,TXN00162,INR
BANK00163,TXN00163,MERCHANT_003,2026-01-06,5999,CREDIT,TXN00163,INR
BANK00164,TXN00164,MERCHANT_001,2026-01-15,2999,CREDIT,TXN00164,INR
BANK00165,TXN00165,MERCHANT_004,2026-01-27,9999,CREDIT,TXN00165,INR
BANK00166,TXN00166,MERCHANT_003,2026-05-03,2499,CREDIT,TXN00166,INR
BANK00167,TXN00167,MERCHANT_002,2026-01-14,999,CREDIT,TXN00167,INR
BANK00168,TXN00168,MERCHANT_001,2026-04-13,2499,CREDIT,TXN00168,INR
BANK00169,TXN00169,MERCHANT_001,2026-02-08,499,CREDIT,TXN00169,INR
BANK00170,TXN00170,MERCHANT_002,2026-02-01,2999,CREDIT,TXN00170,INR
BANK00171,TXN00171,MERCHANT_005,2026-04-08,2499,CREDIT,TXN00171,INR
BANK00172,TXN00172,MERCHANT_005,2026-04-21,999,CREDIT,TXN00172,INR
BANK00173,TXN00173,MERCHANT_002,2026-06-10,799,CREDIT,TXN00173,INR
BANK00174,TXN00174,MERCHANT_002,2026-03-05,499,CREDIT,TXN00174,INR
BANK00175,TXN00175,MERCHANT_001,2026-04-17,2499,CREDIT,TXN00175,INR
BANK00176,TXN00176,MERCHANT_001,2026-03-01,999,CREDIT,TXN00176,INR
BANK00177,TXN00177,MERCHANT_001,2026-06-26,799,CREDIT,TXN00177,INR
BANK00178,TXN00178,MERCHANT_004,2026-01-30,2999,CREDIT,TXN00178,INR
BANK00179,TXN00179,MERCHANT_003,2026-02-07,299,CREDIT,TXN00179,INR
BANK00180,TXN00180,MERCHANT_003,2026-06-02,5999,CREDIT,TXN00180,INR
BANK00181,TXN00181,MERCHANT_001,2026-05-02,5999,CREDIT,TXN00181,INR
BANK00182,TXN00182,MERCHANT_003,2026-05-09,2999,CREDIT,TXN00182,INR
BANK00183,TXN00183,MERCHANT_001,2026-06-05,199,CREDIT,TXN00183,INR
BANK00184,TXN00184,MERCHANT_005,2026-03-07,199,CREDIT,TXN00184,INR
BANK00185,TXN00185,MERCHANT_005,2026-06-01,199,CREDIT,TXN00185,INR
BANK00186,TXN00186,MERCHANT_001,2026-02-14,2499,CREDIT,TXN00186,INR
BANK00187,TXN00187,MERCHANT_002,2026-05-30,1999,CREDIT,TXN00187,INR
BANK00188,TXN00188,MERCHANT_004,2026-03-31,1999,CREDIT,TXN00188,INR
BANK00189,TXN00189,MERCHANT_001,2026-02-11,1499,CREDIT,TXN00189,INR
BANK00190,TXN00190,MERCHANT_003,2026-06-20,1999,CREDIT,TXN00190,INR
BANK00191,TXN00191,MERCHANT_001,2026-03-23,999,CREDIT,TXN00191,INR
BANK00192,TXN00192,MERCHANT_004,2026-05-12,9999,CREDIT,TXN00192,INR
BANK00193,TXN00193,MERCHANT_004,2026-04-17,199,CREDIT,TXN00193,INR
BANK00194,TXN00194,MERCHANT_003,2026-06-09,7999,CREDIT,TXN00194,INR
BANK00195,TXN00195,MERCHANT_001,2026-02-23,999,CREDIT,TXN00195,INR
BANK00196,TXN00196,MERCHANT_004,2026-06-28,2499,CREDIT,TXN00196,INR
BANK00197,TXN00197,MERCHANT_005,2026-03-03,5999,CREDIT,TXN00197,INR
BANK00198,TXN00198,MERCHANT_005,2026-01-04,2999,CREDIT,TXN00198,INR
BANK00199,TXN00199,MERCHANT_002,2026-01-30,2499,CREDIT,TXN00199,INR
BANK00200,TXN00200,MERCHANT_004,2026-03-16,2999,CREDIT,TXN00200,INR
BANK00201,TXN00201,MERCHANT_004,2026-05-01,799,CREDIT,TXN00201,INR
BANK00202,TXN00202,MERCHANT_002,2026-04-09,799,CREDIT,TXN00202,INR
BANK00203,TXN00203,MERCHANT_003,2026-04-18,1499,CREDIT,TXN00203,INR
BANK00204,TXN00204,MERCHANT_003,2026-03-18,9999,CREDIT,TXN00204,INR
BANK00205,TXN00205,MERCHANT_004,2026-05-18,2499,CREDIT,TXN00205,INR
BANK00206,TXN00206,MERCHANT_005,2026-05-22,1999,CREDIT,TXN00206,INR
BANK00207,TXN00207,MERCHANT_002,2026-06-29,799,CREDIT,TXN00207,INR
BANK00208,TXN00208,MERCHANT_004,2026-01-12,1499,CREDIT,TXN00208,INR
BANK00209,TXN00209,MERCHANT_004,2026-06-20,7999,CREDIT,TXN00209,INR
BANK00210,TXN00210,MERCHANT_001,2026-02-02,2999,CREDIT,TXN00210,INR
BANK00211,TXN00211,MERCHANT_004,2026-01-26,2999,CREDIT,TXN00211,INR
BANK00212,TXN00212,MERCHANT_002,2026-04-17,9999,CREDIT,TXN00212,INR
BANK00213,TXN00213,MERCHANT_004,2026-03-10,1499,CREDIT,TXN00213,INR
BANK00214,TXN00214,MERCHANT_003,2026-06-23,9999,CREDIT,TXN00214,INR
BANK00215,TXN00215,MERCHANT_004,2026-05-19,199,CREDIT,TXN00215,INR
BANK00216,TXN00216,MERCHANT_003,2026-02-28,5999,CREDIT,TXN00216,INR
BANK00217,TXN00217,MERCHANT_001,2026-06-13,5999,CREDIT,TXN00217,INR
BANK00218,TXN00218,MERCHANT_002,2026-06-28,999,CREDIT,TXN00218,INR
BANK00219,TXN00219,MERCHANT_003,2026-01-16,999,CREDIT,TXN00219,INR
BANK00220,TXN00220,MERCHANT_004,2026-02-07,799,CREDIT,TXN00220,INR
BANK00221,TXN00221,MERCHANT_002,2026-02-14,499,CREDIT,TXN00221,INR
BANK00222,TXN00222,MERCHANT_005,2026-06-26,799,CREDIT,TXN00222,INR
BANK00223,TXN00223,MERCHANT_002,2026-03-03,2499,CREDIT,TXN00223,INR
BANK00224,TXN00224,MERCHANT_003,2026-06-20,199,CREDIT,TXN00224,INR
BANK00225,TXN00225,MERCHANT_005,2026-02-12,299,CREDIT,TXN00225,INR
BANK00226,TXN00226,MERCHANT_005,2026-03-18,4999,CREDIT,TXN00226,INR
BANK00227,TXN00227,MERCHANT_004,2026-03-20,799,CREDIT,TXN00227,INR
BANK00228,TXN00228,MERCHANT_001,2026-03-04,1999,CREDIT,TXN00228,INR
BANK00229,TXN00229,MERCHANT_003,2026-07-01,999,CREDIT,TXN00229,INR
BANK00230,TXN00230,MERCHANT_003,2026-01-03,3999,CREDIT,TXN00230,INR
BANK00231,TXN00231,MERCHANT_003,2026-03-01,3999,CREDIT,TXN00231,INR
BANK00232,TXN00232,MERCHANT_002,2026-06-09,999,CREDIT,TXN00232,INR
BANK00233,TXN00233,MERCHANT_001,2026-03-22,7999,CREDIT,TXN00233,INR
BANK00234,TXN00234,MERCHANT_005,2026-04-04,5999,CREDIT,TXN00234,INR
BANK00235,TXN00235,MERCHANT_003,2026-03-25,5999,CREDIT,TXN00235,INR
BANK00236,TXN00236,MERCHANT_002,2026-02-03,7999,CREDIT,TXN00236,INR
BANK00237,TXN00237,MERCHANT_005,2026-03-11,9999,CREDIT,TXN00237,INR
BANK00238,TXN00238,MERCHANT_004,2026-03-17,5999,CREDIT,TXN00238,INR
BANK00239,TXN00239,MERCHANT_004,2026-01-20,499,CREDIT,TXN00239,INR
BANK00240,TXN00240,MERCHANT_005,2026-04-05,299,CREDIT,TXN00240,INR
BANK00241,TXN00241,MERCHANT_003,2026-05-19,299,CREDIT,TXN00241,INR
BANK00242,TXN00242,MERCHANT_003,2026-05-30,1999,CREDIT,TXN00242,INR
BANK00243,TXN00243,MERCHANT_002,2026-05-02,199,CREDIT,TXN00243,INR
BANK00244,TXN00244,MERCHANT_001,2026-06-12,9999,CREDIT,TXN00244,INR
BANK00245,TXN00245,MERCHANT_004,2026-01-30,499,CREDIT,TXN00245,INR
BANK00246,TXN00246,MERCHANT_003,2026-05-07,299,CREDIT,TXN00246,INR
BANK00247,TXN00247,MERCHANT_005,2026-02-06,1999,CREDIT,TXN00247,INR
BANK00248,TXN00248,MERCHANT_005,2026-04-20,3999,CREDIT,TXN00248,INR
BANK00249,TXN00249,MERCHANT_001,2026-05-06,3999,CREDIT,TXN00249,INR
BANK00250,TXN00250,MERCHANT_001,2026-06-26,1499,CREDIT,TXN00250,INR
BANK00251,TXN00251,MERCHANT_004,2026-03-02,9999,CREDIT,TXN00251,INR
BANK00252,TXN00252,MERCHANT_003,2026-05-20,4999,CREDIT,TXN00252,INR
BANK00253,TXN00253,MERCHANT_004,2026-03-12,799,CREDIT,TXN00253,INR
BANK00254,TXN00254,MERCHANT_001,2026-06-19,799,CREDIT,TXN00254,INR
BANK00255,TXN00255,MERCHANT_003,2026-03-05,499,CREDIT,TXN00255,INR
BANK00256,TXN00256,MERCHANT_005,2026-02-23,3999,CREDIT,TXN00256,INR
BANK00257,TXN00257,MERCHANT_003,2026-02-07,7999,CREDIT,TXN00257,INR
BANK00258,TXN00258,MERCHANT_002,2026-02-05,2999,CREDIT,TXN00258,INR
BANK00259,TXN00259,MERCHANT_001,2026-06-20,9999,CREDIT,TXN00259,INR
BANK00260,TXN00260,MERCHANT_001,2026-04-02,7999,CREDIT,TXN00260,INR
BANK00261,TXN00261,MERCHANT_001,2026-02-15,999,CREDIT,TXN00261,INR
BANK00262,TXN00262,MERCHANT_004,2026-05-15,299,CREDIT,TXN00262,INR
BANK00263,TXN00263,MERCHANT_004,2026-04-05,2999,CREDIT,TXN00263,INR
BANK00264,TXN00264,MERCHANT_005,2026-02-27,3999,CREDIT,TXN00264,INR
BANK00265,TXN00265,MERCHANT_003,2026-04-29,4999,CREDIT,TXN00265,INR
BANK00266,TXN00266,MERCHANT_004,2026-04-14,1999,CREDIT,TXN00266,INR
BANK00267,TXN00267,MERCHANT_004,2026-01-19,299,CREDIT,TXN00267,INR
BANK00268,TXN00268,MERCHANT_001,2026-02-03,999,CREDIT,TXN00268,INR
BANK00269,TXN00269,MERCHANT_005,2026-05-17,999,CREDIT,TXN00269,INR
BANK00270,TXN00270,MERCHANT_005,2026-04-21,299,CREDIT,TXN00270,INR
BANK00271,TXN00271,MERCHANT_002,2026-04-21,2499,CREDIT,TXN00271,INR
BANK00272,TXN00272,MERCHANT_003,2026-04-27,1999,CREDIT,TXN00272,INR
BANK00273,TXN00273,MERCHANT_003,2026-04-22,1499,CREDIT,TXN00273,INR
BANK00274,TXN00274,MERCHANT_002,2026-06-26,2499,CREDIT,TXN00274,INR
BANK00275,TXN00275,MERCHANT_001,2026-01-24,1999,CREDIT,TXN00275,INR
BANK00276,TXN00276,MERCHANT_002,2026-05-24,199,CREDIT,TXN00276,INR
BANK00277,TXN00277,MERCHANT_004,2026-04-02,9999,CREDIT,TXN00277,INR
BANK00278,TXN00278,MERCHANT_003,2026-06-04,999,CREDIT,TXN00278,INR
BANK00279,TXN00279,MERCHANT_005,2026-05-12,799,CREDIT,TXN00279,INR
BANK00280,TXN00280,MERCHANT_002,2026-01-28,1499,CREDIT,TXN00280,INR
BANK00281,TXN00281,MERCHANT_003,2026-05-29,799,CREDIT,TXN00281,INR
BANK00282,TXN00282,MERCHANT_005,2026-06-09,4999,CREDIT,TXN00282,INR
BANK00283,TXN00283,MERCHANT_001,2026-02-18,999,CREDIT,TXN00283,INR
BANK00284,TXN00284,MERCHANT_003,2026-01-02,499,CREDIT,TXN00284,INR
BANK00285,TXN00285,MERCHANT_004,2026-01-18,499,CREDIT,TXN00285,INR
BANK00286,TXN00286,MERCHANT_005,2026-02-26,1999,CREDIT,TXN00286,INR
BANK00287,TXN00287,MERCHANT_003,2026-02-12,1499,CREDIT,TXN00287,INR
BANK00288,TXN00288,MERCHANT_005,2026-06-02,299,CREDIT,TXN00288,INR
BANK00289,TXN00289,MERCHANT_002,2026-06-08,199,CREDIT,TXN00289,INR
BANK00290,TXN00290,MERCHANT_004,2026-06-19,1999,CREDIT,TXN00290,INR
BANK00291,TXN00291,MERCHANT_004,2026-03-11,799,CREDIT,TXN00291,INR
BANK00292,TXN00292,MERCHANT_004,2026-01-29,999,CREDIT,TXN00292,INR
BANK00293,TXN00293,MERCHANT_003,2026-01-13,799,CREDIT,TXN00293,INR
BANK00294,TXN00294,MERCHANT_001,2026-02-23,999,CREDIT,TXN00294,INR
BANK00295,TXN00295,MERCHANT_003,2026-03-16,1499,CREDIT,TXN00295,INR
BANK00296,TXN00296,MERCHANT_004,2026-04-22,499,CREDIT,TXN00296,INR
BANK00297,TXN00297,MERCHANT_005,2026-06-30,799,CREDIT,TXN00297,INR
BANK00298,TXN00298,MERCHANT_004,2026-01-11,1999,CREDIT,TXN00298,INR
BANK00299,TXN00299,MERCHANT_001,2026-03-23,3999,CREDIT,TXN00299,INR
BANK00300,TXN00300,MERCHANT_004,2026-06-13,1999,CREDIT,TXN00300,INR
BANK00301,TXN00301,MERCHANT_004,2026-01-06,1499,CREDIT,TXN00301,INR
BANK00302,TXN00302,MERCHANT_003,2026-01-24,1999,CREDIT,TXN00302,INR
BANK00303,TXN00303,MERCHANT_004,2026-06-01,1999,CREDIT,TXN00303,INR
BANK00304,TXN00304,MERCHANT_003,2026-03-28,799,CREDIT,TXN00304,INR
