order_id,transaction_id,merchant_id,customer_id,order_date,order_amount,currency,payment_method
ORD00046,TXN00046,MERCHANT_004,CUST0050,2026-04-01,1999,INR,WALLET
ORD00047,TXN00047,MERCHANT_001,CUST0240,2026-06-22,4999,INR,UPI
ORD00048,TXN00048,MERCHANT_004,CUST0032,2026-03-28,7999,INR,UPI
ORD00049,TXN00049,MERCHANT_002,CUST0128,2026-02-18,2999,INR,WALLET
ORD00050,TXN00050,MERCHANT_004,CUST0072,2026-02-16,999,INR,WALLET
ORD00051,TXN00051,MERCHANT_001,CUST0128,2026-04-24,7999,INR,UPI
ORD00052,TXN00052,MERCHANT_005,CUST0026,2026-01-04,299,INR,CARD
ORD00053,TXN00053,MERCHANT_004,CUST0086,2026-05-05,2499,INR,CARD
ORD00054,TXN00054,MERCHANT_001,CUST0206,2026-02-12,1999,INR,UPI
ORD00055,TXN00055,MERCHANT_003,CUST0200,2026-04-27,999,INR,WALLET
ORD00056,TXN00056,MERCHANT_004,CUST0285,2026-02-09,799,INR,NETBANKING
ORD00057,TXN00057,MERCHANT_001,CUST0112,2026-05-29,5999,INR,UPI
ORD00058,TXN00058,MERCHANT_001,CUST0161,2026-01-13,3999,INR,WALLET
ORD00059,TXN00059,MERCHANT_005,CUST0258,2026-02-10,199,INR,UPI
ORD00060,TXN00060,MERCHANT_001,CUST0096,2026-06-02,299,INR,CARD
ORD00061,TXN00061,MERCHANT_001,CUST0207,2026-05-26,799,INR,UPI
ORD00062,TXN00062,MERCHANT_004,CUST0042,2026-06-18,3999,INR,NETBANKING
ORD00063,TXN00063,MERCHANT_002,CUST0134,2026-06-21,5999,INR,NETBANKING
ORD00064,TXN00064,MERCHANT_003,CUST0123,2026-04-12,499,INR,NETBANKING
ORD00065,TXN00065,MERCHANT_003,CUST0235,2026-01-19,199,INR,WALLET
ORD00066,TXN00066,MERCHANT_001,CUST0289,2026-01-19,2999,INR,CARD
ORD00067,TXN00067,MERCHANT_003,CUST0260,2026-02-03,1499,INR,UPI
ORD00068,TXN00068,MERCHANT_003,CUST0126,2026-03-14,499,INR,WALLET
ORD00069,TXN00069,MERCHANT_003,CUST0279,2026-06-06,7999,INR,UPI
ORD00070,TXN00070,MERCHANT_003,CUST0284,2026-06-19,299,INR,CARD
ORD00071,TXN00071,MERCHANT_001,CUST0136,2026-01-28,5999,INR,CARD
ORD00072,TXN00072,MERCHANT_003,CUST0140,2026-06-04,799,INR,NETBANKING
ORD00073,TXN00073,MERCHANT_003,CUST0105,2026-05-10,2499,INR,NETBANKING
ORD00074,TXN00074,MERCHANT_001,CUST0027,2026-06-12,1999,INR,NETBANKING
ORD00075,TXN00075,MERCHANT_001,CUST0023,2026-03-27,7999,INR,CARD
ORD00076,TXN00076,MERCHANT_002,CUST0135,2026-04-24,2999,INR,WALLET
ORD00077,TXN00077,MERCHANT_001,CUST0288,2026-01-29,299,INR,CARD
ORD00078,TXN00078,MERCHANT_001,CUST0280,2026-04-05,3999,INR,CARD
ORD00079,TXN00079,MERCHANT_002,CUST0221,2026-01-11,999,INR,NETBANKING
ORD00080,TXN00080,MERCHANT_003,CUST0021,2026-02-23,4999,INR,CARD
ORD00081,TXN00081,MERCHANT_003,CUST0053,2026-05-24,9999,INR,WALLET
ORD00082,TXN00082,MERCHANT_002,CUST0080,2026-02-11,7999,INR,CARD
ORD00083,TXN00083,MERCHANT_001,CUST0212,2026-02-15,5999,INR,NETBANKING
ORD00084,TXN00084,MERCHANT_002,CUST0211,2026-03-10,499,INR,UPI
ORD00085,TXN00085,MERCHANT_001,CUST0196,2026-05-01,799,INR,CARD
ORD00086,TXN00086,MERCHANT_003,CUST0236,2026-03-20,9999,INR,CARD
ORD00087,TXN00087,MERCHANT_001,CUST0115,2026-06-18,799,INR,WALLET
ORD00088,TXN00088,MERCHANT_003,CUST0169,2026-01-18,7999,INR,NETBANKING
ORD00089,TXN00089,MERCHANT_005,CUST0180,2026-04-13,4999,INR,NETBANKING
ORD00090,TXN00090,MERCHANT_001,CUST0015,2026-03-08,499,INR,NETBANKING
ORD00091,TXN00091,MERCHANT_001,CUST0020,2026-06-02,1999,INR,NETBANKING
ORD00092,TXN00092,MERCHANT_004,CUST0161,2026-06-05,2999,INR,UPI
ORD00093,TXN00093,MERCHANT_005,CUST0198,2026-02-18,999,INR,UPI
ORD00094,TXN00094,MERCHANT_001,CUST0224,2026-05-14,7999,INR,CARD
ORD00095,TXN00095,MERCHANT_004,CUST0187,2026-01-18,4999,INR,NETBANKING
ORD00096,TXN00096,MERCHANT_001,CUST0161,2026-03-18,2999,INR,NETBANKING
ORD00097,TXN00097,MERCHANT_003,CUST0210,2026-04-14,5999,INR,NETBANKING
ORD00098,TXN00098,MERCHANT_002,CUST0284,2026-02-19,1999,INR,WALLET
ORD00099,TXN00099,MERCHANT_005,CUST0090,2026-05-26,999,INR,WALLET
ORD00100,TXN00100,MERCHANT_001,CUST0281,2026-03-19,999,INR,CARD
ORD00101,TXN00101,MERCHANT_005,CUST0221,2026-06-05,4999,INR,NETBANKING
ORD00102,TXN00102,MERCHANT_004,CUST0239,2026-04-24,4999,INR,CARD
ORD00103,TXN00103,MERCHANT_004,CUST0262,2026-02-13,4999,INR,UPI
ORD00104,TXN00104,MERCHANT_005,CUST0146,2026-06-19,4999,INR,NETBANKING
ORD00105,TXN00105,MERCHANT_002,CUST0048,2026-06-22,999,INR,CARD
ORD00106,TXN00106,MERCHANT_002,CUST0102,2026-01-07,199,INR,CARD
ORD00107,TXN00107,MERCHANT_005,CUST0244,2026-01-19,2499,INR,WALLET
ORD00108,TXN00108,MERCHANT_002,CUST0295,2026-06-28,1999,INR,WALLET
ORD00109,TXN00109,MERCHANT_002,CUST0205,2026-02-07,4999,INR,UPI
ORD00110,TXN00110,MERCHANT_004,CUST0055,2026-02-26,499,INR,WALLET
ORD00111,TXN00111,MERCHANT_005,CUST0026,2026-03-05,9999,INR,UPI
ORD00112,TXN00112,MERCHANT_002,CUST0234,2026-04-29,4999,INR,NETBANKING
ORD00113,TXN00113,MERCHANT_005,CUST0227,2026-05-10,1999,INR,WALLET
ORD00114,TXN00114,MERCHANT_004,CUST0082,2026-04-26,999,INR,CARD
ORD00115,TXN00115,MERCHANT_005,CUST0142,2026-05-05,4999,INR,CARD
ORD00116,TXN00116,MERCHANT_004,CUST0141,2026-01-20,5999,INR,NETBANKING
ORD00117,TXN00117,MERCHANT_003,CUST0121,2026-03-27,1499,INR,UPI
ORD00118,TXN00118,MERCHANT_002,CUST0071,2026-03-01,1999,INR,CARD
ORD00119,TXN00119,MERCHANT_001,CUST0110,2026-04-17,1999,INR,NETBANKING
ORD00120,TXN00120,MERCHANT_004,CUST0278,2026-04-17,199,INR,CARD
ORD00121,TXN00121,MERCHANT_004,CUST0216,2026-05-30,5999,INR,UPI
ORD00122,TXN00122,MERCHANT_004,CUST0295,2026-05-03,199,INR,NETBANKING
ORD00123,TXN00123,MERCHANT_004,CUST0153,2026-04-18,2999,INR,CARD
ORD00124,TXN00124,MERCHANT_002,CUST0250,2026-03-11,1999,INR,WALLET
ORD00125,TXN00125,MERCHANT_004,CUST0015,2026-03-28,4999,INR,WALLET
ORD00126,TXN00126,MERCHANT_004,CUST0085,2026-02-02,3999,INR,UPI
ORD00127,TXN00127,MERCHANT_005,CUST0202,2026-05-25,4999,INR,UPI
ORD00128,TXN00128,MERCHANT_004,CUST0043,2026-02-04,9999,INR,WALLET
ORD00129,TXN00129,MERCHANT_001,CUST0094,2026-03-08,1999,INR,NETBANKING
ORD00130,TXN00130,MERCHANT_004,CUST0109,2026-03-25,1499,INR,WALLET
ORD00131,TXN00131,MERCHANT_004,CUST0143,2026-03-06,9999,INR,UPI
ORD00132,TXN00132,MERCHANT_001,CUST0241,2026-05-19,199,INR,NETBANKING
ORD00133,TXN00133,MERCHANT_001,CUST0115,2026-06-16,199,INR,UPI
ORD00134,TXN00134,MERCHANT_002,CUST0127,2026-01-06,3999,INR,CARD
ORD00135,TXN00135,MERCHANT_002,CUST0123,2026-05-02,4999,INR,UPI
ORD00136,TXN00136,MERCHANT_002,CUST0289,2026-04-30,5999,INR,NETBANKING
ORD00137,TXN00137,MERCHANT_002,CUST0189,2026-06-05,3999,INR,UPI
ORD00138,TXN00138,MERCHANT_003,CUST0084,2026-01-28,3999,INR,UPI
ORD00139,TXN00139,MERCHANT_005,CUST0160,2026-06-23,1999,INR,WALLET
ORD00140,TXN00140,MERCHANT_001,CUST0102,2026-06-01,5999,INR,CARD
ORD00141,TXN00141,MERCHANT_003,CUST0053,2026-06-25,3999,INR,UPI
ORD00142,TXN00142,MERCHANT_001,CUST0290,2026-03-30,2999,INR,WALLET
ORD00143,TXN00143,MERCHANT_001,CUST0190,2026-05-10,4999,INR,NETBANKING
ORD00144,TXN00144,MERCHANT_004,CUST0007,2026-05-06,299,INR,WALLET
ORD00145,TXN00145,MERCHANT_004,CUST0186,2026-02-09,1999,INR,CARD
ORD00146,TXN00146,MERCHANT_003,CUST0268,2026-06-07,7999,INR,WALLET
ORD00147,TXN00147,MERCHANT_004,CUST0239,2026-06-01,999,INR,NETBANKING
ORD00148,TXN00148,MERCHANT_001,CUST0126,2026-03-13,2499,INR,CARD
ORD00149,TXN00149,MERCHANT_005,CUST0238,2026-06-06,4999,INR,WALLET
ORD00150,TXN00150,MERCHANT_001,CUST0173,2026-05-07,9999,INR,NETBANKING
ORD00151,TXN00151,MERCHANT_004,CUST0094,2026-02-24,1499,INR,NETBANKING
ORD00152,TXN00152,MERCHANT_003,CUST0175,2026-06-02,5999,INR,NETBANKING
ORD00153,TXN00153,MERCHANT_001,CUST0285,2026-05-13,799,INR,UPI
ORD00154,TXN00154,MERCHANT_004,CUST0124,2026-05-06,2999,INR,CARD
ORD00155,TXN00155,MERCHANT_004,CUST0244,2026-04-25,7999,INR,UPI
ORD00156,TXN00156,MERCHANT_003,CUST0048,2026-02-26,1999,INR,CARD
ORD00157,TXN00157,MERCHANT_005,CUST0157,2026-04-05,2499,INR,NETBANKING
ORD00158,TXN00158,MERCHANT_005,CUST0218,2026-03-26,1499,INR,WALLET
ORD00159,TXN00159,MERCHANT_003,CUST0139,2026-03-06,799,INR,UPI
ORD00160,TXN00160,MERCHANT_003,CUST0099,2026-01-31,5999,INR,CARD
ORD00161,TXN00161,MERCHANT_002,CUST0099,2026-05-04,999,INR,NETBANKING
ORD00162,TXN00162,MERCHANT_002,CUST0052,2026-03-17,799,INR,NETBANKING
ORD00163,TXN00163,MERCHANT_003,CUST0092,2026-01-04,5999,INR,CARD
ORD00164,TXN00164,MERCHANT_001,CUST0141,2026-01-14,2999,INR,NETBANKING
ORD00165,TXN00165,MERCHANT_004,CUST0065,2026-01-27,9999,INR,UPI
ORD00166,TXN00166,MERCHANT_003,CUST0294,2026-05-01,2499,INR,WALLET
ORD00167,TXN00167,MERCHANT_002,CUST0175,2026-01-14,999,INR,WALLET
ORD00168,TXN00168,MERCHANT_001,CUST0059,2026-04-13,2499,INR,UPI
ORD00169,TXN00169,MERCHANT_001,CUST0296,2026-02-08,499,INR,NETBANKING
ORD00170,TXN00170,MERCHANT_002,CUST0044,2026-01-31,2999,INR,WALLET
ORD00171,TXN00171,MERCHANT_005,CUST0116,2026-04-08,2499,INR,WALLET
ORD00172,TXN00172,MERCHANT_005,CUST0153,2026-04-20,999,INR,UPI
ORD00173,TXN00173,MERCHANT_002,CUST0051,2026-06-10,799,INR,NETBANKING
ORD00174,TXN00174,MERCHANT_002,CUST0042,2026-03-03,499,INR,UPI
ORD00175,TXN00175,MERCHANT_001,CUST0081,2026-04-15,2499,INR,WALLET
ORD00176,TXN00176,MERCHANT_001,CUST0150,2026-03-01,999,INR,NETBANKING
ORD00177,TXN00177,MERCHANT_001,CUST0233,2026-06-25,799,INR,NETBANKING
ORD00178,TXN00178,MERCHANT_004,CUST0102,2026-01-30,2999,INR,CARD
ORD00179,TXN00179,MERCHANT_003,CUST0077,2026-02-06,299,INR,UPI
ORD00180,TXN00180,MERCHANT_003,CUST0085,2026-06-02,5999,INR,NETBANKING
ORD00181,TXN00181,MERCHANT_001,CUST0225,2026-04-30,5999,INR,NETBANKING
ORD00182,TXN00182,MERCHANT_003,CUST0207,2026-05-09,2999,INR,WALLET
ORD00183,TXN00183,MERCHANT_001,CUST0225,2026-06-03,199,INR,WALLET
ORD00184,TXN00184,MERCHANT_005,CUST0166,2026-03-06,199,INR,UPI
ORD00185,TXN00185,MERCHANT_005,CUST0118,2026-05-31,199,INR,NETBANKING
ORD00186,TXN00186,MERCHANT_001,CUST0296,2026-02-14,2499,INR,WALLET
ORD00187,TXN00187,MERCHANT_002,CUST0143,2026-05-30,1999,INR,WALLET
ORD00188,TXN00188,MERCHANT_004,CUST0047,2026-03-31,1999,INR,NETBANKING
ORD00189,TXN00189,MERCHANT_001,CUST0165,2026-02-11,1499,INR,WALLET
ORD00190,TXN00190,MERCHANT_003,CUST0254,2026-06-19,1999,INR,UPI
ORD00191,TXN00191,MERCHANT_001,CUST0233,2026-03-22,999,INR,NETBANKING
ORD00192,TXN00192,MERCHANT_004,CUST0060,2026-05-12,9999,INR,UPI
ORD00193,TXN00193,MERCHANT_004,CUST0278,2026-04-16,199,INR,CARD
ORD00194,TXN00194,MERCHANT_003,CUST0266,2026-06-09,7999,INR,WALLET
ORD00195,TXN00195,MERCHANT_001,CUST0227,2026-02-22,999,INR,CARD
ORD00196,TXN00196,MERCHANT_004,CUST0148,2026-06-28,2499,INR,UPI
ORD00197,TXN00197,MERCHANT_005,CUST0015,2026-03-03,5999,INR,CARD
ORD00198,TXN00198,MERCHANT_005,CUST0160,2026-01-04,2999,INR,WALLET
ORD00199,TXN00199,MERCHANT_002,CUST0048,2026-01-30,2499,INR,UPI
ORD00200,TXN00200,MERCHANT_004,CUST0079,2026-03-16,2999,INR,NETBANKING
ORD00201,TXN00201,MERCHANT_004,CUST0213,2026-05-01,799,INR,WALLET
ORD00202,TXN00202,MERCHANT_002,CUST0283,2026-04-09,799,INR,CARD
ORD00203,TXN00203,MERCHANT_003,CUST0036,2026-04-17,1499,INR,NETBANKING
ORD00204,TXN00204,MERCHANT_003,CUST0002,2026-03-18,9999,INR,WALLET
ORD00205,TXN00205,MERCHANT_004,CUST0077,2026-05-18,2499,INR,NETBANKING
ORD00206,TXN00206,MERCHANT_005,CUST0171,2026-05-20,1999,INR,WALLET
ORD00207,TXN00207,MERCHANT_002,CUST0165,2026-06-28,799,INR,WALLET
ORD00208,TXN00208,MERCHANT_004,CUST0120,2026-01-12,1499,INR,WALLET
ORD00209,TXN00209,MERCHANT_004,CUST0196,2026-06-19,7999,INR,CARD
ORD00210,TXN00210,MERCHANT_001,CUST0254,2026-02-02,2999,INR,NETBANKING
ORD00211,TXN00211,MERCHANT_004,CUST0052,2026-01-26,2999,INR,WALLET
ORD00212,TXN00212,MERCHANT_002,CUST0008,2026-04-15,9999,INR,CARD
ORD00213,TXN00213,MERCHANT_004,CUST0039,2026-03-09,1499,INR,WALLET
ORD00214,TXN00214,MERCHANT_003,CUST0042,2026-06-22,9999,INR,WALLET
ORD00215,TXN00215,MERCHANT_004,CUST0163,2026-05-19,199,INR,UPI
ORD00216,TXN00216,MERCHANT_003,CUST0121,2026-02-28,5999,INR,UPI
ORD00217,TXN00217,MERCHANT_001,CUST0223,2026-06-12,5999,INR,UPI
ORD00218,TXN00218,MERCHANT_002,CUST0228,2026-06-27,999,INR,UPI
ORD00219,TXN00219,MERCHANT_003,CUST0024,2026-01-15,999,INR,NETBANKING
ORD00220,TXN00220,MERCHANT_004,CUST0192,2026-02-07,799,INR,WALLET
ORD00221,TXN00221,MERCHANT_002,CUST0290,2026-02-13,499,INR,UPI
ORD00222,TXN00222,MERCHANT_005,CUST0196,2026-06-24,799,INR,WALLET
ORD00223,TXN00223,MERCHANT_002,CUST0299,2026-03-01,2499,INR,NETBANKING
ORD00224,TXN00224,MERCHANT_003,CUST0236,2026-06-20,199,INR,WALLET
ORD00225,TXN00225,MERCHANT_005,CUST0148,2026-02-10,299,INR,WALLET
ORD00226,TXN00226,MERCHANT_005,CUST0177,2026-03-18,4999,INR,WALLET
ORD00227,TXN00227,MERCHANT_004,CUST0129,2026-03-19,799,INR,WALLET
ORD00228,TXN00228,MERCHANT_001,CUST0248,2026-03-02,1999,INR,NETBANKING
ORD00229,TXN00229,MERCHANT_003,CUST0295,2026-06-29,999,INR,UPI
ORD00230,TXN00230,MERCHANT_003,CUST0203,2026-01-03,3999,INR,UPI
ORD00231,TXN00231,MERCHANT_003,CUST0255,2026-02-28,3999,INR,NETBANKING
ORD00232,TXN00232,MERCHANT_002,CUST0113,2026-06-08,999,INR,CARD
ORD00233,TXN00233,MERCHANT_001,CUST0050,2026-03-21,7999,INR,WALLET
ORD00234,TXN00234,MERCHANT_005,CUST0018,2026-04-04,5999,INR,CARD
ORD00235,TXN00235,MERCHANT_003,CUST0047,2026-03-25,5999,INR,WALLET
ORD00236,TXN00236,MERCHANT_002,CUST0090,2026-02-03,7999,INR,NETBANKING
ORD00237,TXN00237,MERCHANT_005,CUST0272,2026-03-11,9999,INR,CARD
ORD00238,TXN00238,MERCHANT_004,CUST0132,2026-03-17,5999,INR,NETBANKING
ORD00239,TXN00239,MERCHANT_004,CUST0059,2026-01-20,499,INR,CARD
ORD00240,TXN00240,MERCHANT_005,CUST0204,2026-04-04,299,INR,WALLET
ORD00241,TXN00241,MERCHANT_003,CUST0008,2026-05-18,299,INR,WALLET
ORD00242,TXN00242,MERCHANT_003,CUST0189,2026-05-30,1999,INR,NETBANKING
ORD00243,TXN00243,MERCHANT_002,CUST0056,2026-05-01,199,INR,NETBANKING
ORD00244,TXN00244,MERCHANT_001,CUST0114,2026-06-12,9999,INR,WALLET
ORD00245,TXN00245,MERCHANT_004,CUST0155,2026-01-30,499,INR,UPI
ORD00246,TXN00246,MERCHANT_003,CUST0020,2026-05-07,299,INR,UPI
ORD00247,TXN00247,MERCHANT_005,CUST0121,2026-02-04,1999,INR,WALLET
ORD00248,TXN00248,MERCHANT_005,CUST0190,2026-04-18,3999,INR,CARD
ORD00249,TXN00249,MERCHANT_001,CUST0213,2026-05-06,3999,INR,WALLET
ORD00250,TXN00250,MERCHANT_001,CUST0144,2026-06-26,1499,INR,CARD
ORD00251,TXN00251,MERCHANT_004,CUST0228,2026-03-02,9999,INR,NETBANKING
ORD00252,TXN00252,MERCHANT_003,CUST0051,2026-05-20,4999,INR,NETBANKING
ORD00253,TXN00253,MERCHANT_004,CUST0032,2026-03-12,799,INR,UPI
ORD00254,TXN00254,MERCHANT_001,CUST0233,2026-06-19,799,INR,UPI
ORD00255,TXN00255,MERCHANT_003,CUST0026,2026-03-04,499,INR,CARD
ORD00256,TXN00256,MERCHANT_005,CUST0036,2026-02-23,3999,INR,CARD
ORD00257,TXN00257,MERCHANT_003,CUST0120,2026-02-07,7999,INR,UPI
ORD00258,TXN00258,MERCHANT_002,CUST0142,2026-02-03,2999,INR,NETBANKING
ORD00259,TXN00259,MERCHANT_001,CUST0090,2026-06-19,9999,INR,UPI
ORD00260,TXN00260,MERCHANT_001,CUST0068,2026-04-02,7999,INR,CARD
ORD00261,TXN00261,MERCHANT_001,CUST0166,2026-02-14,999,INR,UPI
ORD00262,TXN00262,MERCHANT_004,CUST0065,2026-05-15,299,INR,UPI
ORD00263,TXN00263,MERCHANT_004,CUST0244,2026-04-03,2999,INR,UPI
ORD00264,TXN00264,MERCHANT_005,CUST0232,2026-02-26,3999,INR,UPI
ORD00265,TXN00265,MERCHANT_003,CUST0267,2026-04-28,4999,INR,UPI
ORD00266,TXN00266,MERCHANT_004,CUST0032,2026-04-13,1999,INR,UPI
ORD00267,TXN00267,MERCHANT_004,CUST0252,2026-01-19,299,INR,NETBANKING
ORD00268,TXN00268,MERCHANT_001,CUST0076,2026-02-02,999,INR,NETBANKING
ORD00269,TXN00269,MERCHANT_005,CUST0196,2026-05-16,999,INR,WALLET
ORD00270,TXN00270,MERCHANT_005,CUST0259,2026-04-21,299,INR,UPI
ORD00271,TXN00271,MERCHANT_002,CUST0283,2026-04-21,2499,INR,CARD
ORD00272,TXN00272,MERCHANT_003,CUST0212,2026-04-27,1999,INR,WALLET
ORD00273,TXN00273,MERCHANT_003,CUST0049,2026-04-20,1499,INR,NETBANKING
ORD00274,TXN00274,MERCHANT_002,CUST0192,2026-06-25,2499,INR,UPI
ORD00275,TXN00275,MERCHANT_001,CUST0047,2026-01-24,1999,INR,UPI
ORD00276,TXN00276,MERCHANT_002,CUST0191,2026-05-23,199,INR,NETBANKING
ORD00277,TXN00277,MERCHANT_004,CUST0063,2026-04-01,9999,INR,WALLET
ORD00278,TXN00278,MERCHANT_003,CUST0027,2026-06-03,999,INR,NETBANKING
ORD00279,TXN00279,MERCHANT_005,CUST0054,2026-05-10,799,INR,CARD
ORD00280,TXN00280,MERCHANT_002,CUST0247,2026-01-28,1499,INR,NETBANKING
ORD00281,TXN00281,MERCHANT_003,CUST0059,2026-05-27,799,INR,WALLET
ORD00282,TXN00282,MERCHANT_005,CUST0288,2026-06-07,4999,INR,UPI
ORD00283,TXN00283,MERCHANT_001,CUST0137,2026-02-16,999,INR,NETBANKING
ORD00284,TXN00284,MERCHANT_003,CUST0174,2026-01-02,499,INR,CARD
ORD00285,TXN00285,MERCHANT_004,CUST0290,2026-01-18,499,INR,UPI
ORD00286,TXN00286,MERCHANT_005,CUST0047,2026-02-25,1999,INR,WALLET
ORD00287,TXN00287,MERCHANT_003,CUST0233,2026-02-10,1499,INR,NETBANKING
ORD00288,TXN00288,MERCHANT_005,CUST0167,2026-06-02,299,INR,UPI
ORD00289,TXN00289,MERCHANT_002,CUST0080,2026-06-08,199,INR,UPI
ORD00290,TXN00290,MERCHANT_004,CUST0140,2026-06-19,1999,INR,WALLET
ORD00291,TXN00291,MERCHANT_004,CUST0227,2026-03-11,799,INR,UPI
ORD00292,TXN00292,MERCHANT_004,CUST0177,2026-01-29,999,INR,WALLET
ORD00293,TXN00293,MERCHANT_003,CUST0270,2026-01-12,799,INR,WALLET
ORD00294,TXN00294,MERCHANT_001,CUST0029,2026-02-22,999,INR,CARD
ORD00295,TXN00295,MERCHANT_003,CUST0071,2026-03-16,1499,INR,UPI
ORD00296,TXN00296,MERCHANT_004,CUST0004,2026-04-21,499,INR,CARD
ORD00297,TXN00297,MERCHANT_005,CUST0195,2026-06-30,799,INR,NETBANKING
ORD00298,TXN00298,MERCHANT_004,CUST0037,2026-01-11,1999,INR,UPI
ORD00299,TXN00299,MERCHANT_001,CUST0236,2026-03-22,3999,INR,WALLET
ORD00300,TXN00300,MERCHANT_004,CUST0294,2026-06-13,1999,INR,NETBANKING
ORD00301,TXN00301,MERCHANT_004,CUST0059,2026-01-06,1499,INR,CARD
ORD00302,TXN00302,MERCHANT_003,CUST0236,2026-01-23,1999,INR,UPI
ORD00303,TXN00303,MERCHANT_004,CUST0125,2026-05-31,1999,INR,UPI
ORD00304,TXN00304,MERCHANT_003,CUST0203,2026-03-28,799,INR,NETBANKING
ORD00305,TXN00305,MERCHANT_001,CUST0087,2026-05-11,4999,INR,UPI
ORD00306,TXN00306,MERCHANT_005,CUST0272,2026-02-19,7999,INR,NETBANKING
ORD00307,TXN00307,MERCHANT_002,CUST0180,2026-03-02,299,INR,CARD
ORD00308,TXN00308,MERCHANT_002,CUST0132,2026-02-14,3999,INR,CARD
ORD00309,TXN00309,MERCHANT_002,CUST0039,2026-06-10,2499,INR,WALLET
ORD00310,TXN00310,MERCHANT_005,CUST0289,2026-04-25,4999,INR,NETBANKING
ORD00311,TXN00311,MERCHANT_002,CUST0162,2026-04-23,299,INR,WALLET
