payment_id,transaction_id,order_id,merchant_id,payment_date,payment_amount,payment_status,payment_method,currency
PAY00125,TXN00125,ORD00125,MERCHANT_004,2026-03-28,4999,SUCCESS,WALLET,INR
PAY00126,TXN00126,ORD00126,MERCHANT_004,2026-02-02,3999,SUCCESS,UPI,INR
PAY00127,TXN00127,ORD00127,MERCHANT_005,2026-05-25,4999,SUCCESS,UPI,INR
PAY00128,TXN00128,ORD00128,MERCHANT_004,2026-02-06,9999,SUCCESS,WALLET,INR
PAY00129,TXN00129,ORD00129,MERCHANT_001,2026-03-09,1999,SUCCESS,NETBANKING,INR
PAY00130,TXN00130,ORD00130,MERCHANT_004,2026-03-26,1499,SUCCESS,WALLET,INR
PAY00131,TXN00131,ORD00131,MERCHANT_004,2026-03-06,9999,SUCCESS,UPI,INR
PAY00132,TXN00132,ORD00132,MERCHANT_001,2026-05-21,199,SUCCESS,NETBANKING,INR
PAY00133,TXN00133,ORD00133,MERCHANT_001,2026-06-17,199,SUCCESS,UPI,INR
PAY00134,TXN00134,ORD00134,MERCHANT_002,2026-01-07,3999,SUCCESS,CARD,INR
PAY00135,TXN00135,ORD00135,MERCHANT_002,2026-05-03,4999,SUCCESS,UPI,INR
PAY00136,TXN00136,ORD00136,MERCHANT_002,2026-05-01,5999,SUCCESS,NETBANKING,INR
PAY00137,TXN00137,ORD00137,MERCHANT_002,2026-06-05,3999,SUCCESS,UPI,INR
PAY00138,TXN00138,ORD00138,MERCHANT_003,2026-01-28,3999,SUCCESS,UPI,INR
PAY00139,TXN00139,ORD00139,MERCHANT_005,2026-06-23,1999,SUCCESS,WALLET,INR
PAY00140,TXN00140,ORD00140,MERCHANT_001,2026-06-02,5999,SUCCESS,CARD,INR
PAY00141,TXN00141,ORD00141,MERCHANT_003,2026-06-26,3999,SUCCESS,UPI,INR
PAY00142,TXN00142,ORD00142,MERCHANT_001,2026-03-30,2999,SUCCESS,WALLET,INR
PAY00143,TXN00143,ORD00143,MERCHANT_001,2026-05-10,4999,SUCCESS,NETBANKING,INR
PAY00144,TXN00144,ORD00144,MERCHANT_004,2026-05-06,299,SUCCESS,WALLET,INR
PAY00145,TXN00145,ORD00145,MERCHANT_004,2026-02-09,1999,SUCCESS,CARD,INR
PAY00146,TXN00146,ORD00146,MERCHANT_003,2026-06-09,7999,SUCCESS,WALLET,INR
PAY00147,TXN00147,ORD00147,MERCHANT_004,2026-06-01,999,SUCCESS,NETBANKING,INR
PAY00148,TXN00148,ORD00148,MERCHANT_001,2026-03-15,2499,SUCCESS,CARD,INR
PAY00149,TXN00149,ORD00149,MERCHANT_005,2026-06-07,4999,SUCCESS,WALLET,INR
PAY00150,TXN00150,ORD00150,MERCHANT_001,2026-05-08,9999,SUCCESS,NETBANKING,INR
PAY00151,TXN00151,ORD00151,MERCHANT_004,2026-02-24,1499,SUCCESS,NETBANKING,INR
PAY00152,TXN00152,ORD00152,MERCHANT_003,2026-06-03,5999,SUCCESS,NETBANKING,INR
PAY00153,TXN00153,ORD00153,MERCHANT_001,2026-05-14,799,SUCCESS,UPI,INR
PAY00154,TXN00154,ORD00154,MERCHANT_004,2026-05-07,2999,SUCCESS,CARD,INR
PAY00155,TXN00155,ORD00155,MERCHANT_004,2026-04-26,7999,SUCCESS,UPI,INR
PAY00156,TXN00156,ORD00156,MERCHANT_003,2026-02-27,1999,SUCCESS,CARD,INR
PAY00157,TXN00157,ORD00157,MERCHANT_005,2026-04-05,2499,SUCCESS,NETBANKING,INR
PAY00158,TXN00158,ORD00158,MERCHANT_005,2026-03-27,1499,SUCCESS,WALLET,INR
PAY00159,TXN00159,ORD00159,MERCHANT_003,2026-03-06,799,SUCCESS,UPI,INR
PAY00160,TXN00160,ORD00160,MERCHANT_003,2026-02-02,5999,SUCCESS,CARD,INR
PAY00161,TXN00161,ORD00161,MERCHANT_002,2026-05-06,999,SUCCESS,NETBANKING,INR
PAY00162,TXN00162,ORD00162,MERCHANT_002,2026-03-17,799,SUCCESS,NETBANKING,INR
PAY00163,TXN00163,ORD00163,MERCHANT_003,2026-01-06,5999,SUCCESS,CARD,INR
PAY00164,TXN00164,ORD00164,MERCHANT_001,2026-01-15,2999,SUCCESS,NETBANKING,INR
PAY00165,TXN00165,ORD00165,MERCHANT_004,2026-01-27,9999,SUCCESS,UPI,INR
PAY00166,TXN00166,ORD00166,MERCHANT_003,2026-05-03,2499,SUCCESS,WALLET,INR
PAY00167,TXN00167,ORD00167,MERCHANT_002,2026-01-14,999,SUCCESS,WALLET,INR
PAY00168,TXN00168,ORD00168,MERCHANT_001,2026-04-13,2499,SUCCESS,UPI,INR
PAY00169,TXN00169,ORD00169,MERCHANT_001,2026-02-08,499,SUCCESS,NETBANKING,INR
PAY00170,TXN00170,ORD00170,MERCHANT_002,2026-02-01,2999,SUCCESS,WALLET,INR
PAY00171,TXN00171,ORD00171,MERCHANT_005,2026-04-08,2499,SUCCESS,WALLET,INR
PAY00172,TXN00172,ORD00172,MERCHANT_005,2026-04-21,999,SUCCESS,UPI,INR
PAY00173,TXN00173,ORD00173,MERCHANT_002,2026-06-10,799,SUCCESS,NETBANKING,INR
PAY00174,TXN00174,ORD00174,MERCHANT_002,2026-03-05,499,SUCCESS,UPI,INR
PAY00175,TXN00175,ORD00175,MERCHANT_001,2026-04-17,2499,SUCCESS,WALLET,INR
PAY00176,TXN00176,ORD00176,MERCHANT_001,2026-03-01,999,SUCCESS,NETBANKING,INR
PAY00177,TXN00177,ORD00177,MERCHANT_001,2026-06-26,799,SUCCESS,NETBANKING,INR
PAY00178,TXN00178,ORD00178,MERCHANT_004,2026-01-30,2999,SUCCESS,CARD,INR
PAY00179,TXN00179,ORD00179,MERCHANT_003,2026-02-07,299,SUCCESS,UPI,INR
PAY00180,TXN00180,ORD00180,MERCHANT_003,2026-06-02,5999,SUCCESS,NETBANKING,INR
PAY00181,TXN00181,ORD00181,MERCHANT_001,2026-05-02,5999,SUCCESS,NETBANKING,INR
PAY00182,TXN00182,ORD00182,MERCHANT_003,2026-05-09,2999,SUCCESS,WALLET,INR
PAY00183,TXN00183,ORD00183,MERCHANT_001,2026-06-05,199,SUCCESS,WALLET,INR
PAY00184,TXN00184,ORD00184,MERCHANT_005,2026-03-07,199,SUCCESS,UPI,INR
PAY00185,TXN00185,ORD00185,MERCHANT_005,2026-06-01,199,SUCCESS,NETBANKING,INR
PAY00186,TXN00186,ORD00186,MERCHANT_001,2026-02-14,2499,SUCCESS,WALLET,INR
PAY00187,TXN00187,ORD00187,MERCHANT_002,2026-05-30,1999,SUCCESS,WALLET,INR
PAY00188,TXN00188,ORD00188,MERCHANT_004,2026-03-31,1999,SUCCESS,NETBANKING,INR
PAY00189,TXN00189,ORD00189,MERCHANT_001,2026-02-11,1499,SUCCESS,WALLET,INR
PAY00190,TXN00190,ORD00190,MERCHANT_003,2026-06-20,1999,SUCCESS,UPI,INR
PAY00191,TXN00191,ORD00191,MERCHANT_001,2026-03-23,999,SUCCESS,NETBANKING,INR
PAY00192,TXN00192,ORD00192,MERCHANT_004,2026-05-12,9999,SUCCESS,UPI,INR
PAY00193,TXN00193,ORD00193,MERCHANT_004,2026-04-17,199,SUCCESS,CARD,INR
PAY00194,TXN00194,ORD00194,MERCHANT_003,2026-06-09,7999,SUCCESS,WALLET,INR
PAY00195,TXN00195,ORD00195,MERCHANT_001,2026-02-23,999,SUCCESS,CARD,INR
PAY00196,TXN00196,ORD00196,MERCHANT_004,2026-06-28,2499,SUCCESS,UPI,INR
PAY00197,TXN00197,ORD00197,MERCHANT_005,2026-03-03,5999,SUCCESS,CARD,INR
PAY00198,TXN00198,ORD00198,MERCHANT_005,2026-01-04,2999,SUCCESS,WALLET,INR
PAY00199,TXN00199,ORD00199,MERCHANT_002,2026-01-30,2499,SUCCESS,UPI,INR
PAY00200,TXN00200,ORD00200,MERCHANT_004,2026-03-16,2999,SUCCESS,NETBANKING,INR
PAY00201,TXN00201,ORD00201,MERCHANT_004,2026-05-01,799,SUCCESS,WALLET,INR
PAY00202,TXN00202,ORD00202,MERCHANT_002,2026-04-09,799,SUCCESS,CARD,INR
PAY00203,TXN00203,ORD00203,MERCHANT_003,2026-04-18,1499,SUCCESS,NETBANKING,INR
PAY00204,TXN00204,ORD00204,MERCHANT_003,2026-03-18,9999,SUCCESS,WALLET,INR
PAY00205,TXN00205,ORD00205,MERCHANT_004,2026-05-18,2499,SUCCESS,NETBANKING,INR
PAY00206,TXN00206,ORD00206,MERCHANT_005,2026-05-22,1999,SUCCESS,WALLET,INR
PAY00207,TXN00207,ORD00207,MERCHANT_002,2026-06-29,799,SUCCESS,WALLET,INR
PAY00208,TXN00208,ORD00208,MERCHANT_004,2026-01-12,1499,SUCCESS,WALLET,INR
PAY00209,TXN00209,ORD00209,MERCHANT_004,2026-06-20,7999,SUCCESS,CARD,INR
PAY00210,TXN00210,ORD00210,MERCHANT_001,2026-02-02,2999,SUCCESS,NETBANKING,INR
PAY00211,TXN00211,ORD00211,MERCHANT_004,2026-01-26,2999,SUCCESS,WALLET,INR
PAY00212,TXN00212,ORD00212,MERCHANT_002,2026-04-17,9999,SUCCESS,CARD,INR
PAY00213,TXN00213,ORD00213,MERCHANT_004,2026-03-10,1499,SUCCESS,WALLET,INR
PAY00214,TXN00214,ORD00214,MERCHANT_003,2026-06-23,9999,SUCCESS,WALLET,INR
PAY00215,TXN00215,ORD00215,MERCHANT_004,2026-05-19,199,SUCCESS,UPI,INR
PAY00216,TXN00216,ORD00216,MERCHANT_003,2026-02-28,5999,SUCCESS,UPI,INR
PAY00217,TXN00217,ORD00217,MERCHANT_001,2026-06-13,5999,SUCCESS,UPI,INR
PAY00218,TXN00218,ORD00218,MERCHANT_002,2026-06-28,999,SUCCESS,UPI,INR
PAY00219,TXN00219,ORD00219,MERCHANT_003,2026-01-16,999,SUCCESS,NETBANKING,INR
PAY00220,TXN00220,ORD00220,MERCHANT_004,2026-02-07,799,SUCCESS,WALLET,INR
PAY00221,TXN00221,ORD00221,MERCHANT_002,2026-02-14,499,SUCCESS,UPI,INR
PAY00222,TXN00222,ORD00222,MERCHANT_005,2026-06-26,799,SUCCESS,WALLET,INR
PAY00223,TXN00223,ORD00223,MERCHANT_002,2026-03-03,2499,SUCCESS,NETBANKING,INR
PAY00224,TXN00224,ORD00224,MERCHANT_003,2026-06-20,199,SUCCESS,WALLET,INR
PAY00225,TXN00225,ORD00225,MERCHANT_005,2026-02-12,299,SUCCESS,WALLET,INR
PAY00226,TXN00226,ORD00226,MERCHANT_005,2026-03-18,4999,SUCCESS,WALLET,INR
PAY00227,TXN00227,ORD00227,MERCHANT_004,2026-03-20,799,SUCCESS,WALLET,INR
PAY00228,TXN00228,ORD00228,MERCHANT_001,2026-03-04,1999,SUCCESS,NETBANKING,INR
PAY00229,TXN00229,ORD00229,MERCHANT_003,2026-07-01,999,SUCCESS,UPI,INR
PAY00230,TXN00230,ORD00230,MERCHANT_003,2026-01-03,3999,SUCCESS,UPI,INR
PAY00231,TXN00231,ORD00231,MERCHANT_003,2026-03-01,3999,SUCCESS,NETBANKING,INR
PAY00232,TXN00232,ORD00232,MERCHANT_002,2026-06-09,999,SUCCESS,CARD,INR
PAY00233,TXN00233,ORD00233,MERCHANT_001,2026-03-22,7999,SUCCESS,WALLET,INR
PAY00234,TXN00234,ORD00234,MERCHANT_005,2026-04-04,5999,SUCCESS,CARD,INR
PAY00235,TXN00235,ORD00235,MERCHANT_003,2026-03-25,5999,SUCCESS,WALLET,INR
PAY00236,TXN00236,ORD00236,MERCHANT_002,2026-02-03,7999,SUCCESS,NETBANKING,INR
PAY00237,TXN00237,ORD00237,MERCHANT_005,2026-03-11,9999,SUCCESS,CARD,INR
PAY00238,TXN00238,ORD00238,MERCHANT_004,2026-03-17,5999,SUCCESS,NETBANKING,INR
PAY00239,TXN00239,ORD00239,MERCHANT_004,2026-01-20,499,SUCCESS,CARD,INR
PAY00240,TXN00240,ORD00240,MERCHANT_005,2026-04-05,299,SUCCESS,WALLET,INR
PAY00241,TXN00241,ORD00241,MERCHANT_003,2026-05-19,299,SUCCESS,WALLET,INR
PAY00242,TXN00242,ORD00242,MERCHANT_003,2026-05-30,1999,SUCCESS,NETBANKING,INR
PAY00243,TXN00243,ORD00243,MERCHANT_002,2026-05-02,199,SUCCESS,NETBANKING,INR
PAY00244,TXN00244,ORD00244,MERCHANT_001,2026-06-12,9999,SUCCESS,WALLET,INR
PAY00245,TXN00245,ORD00245,MERCHANT_004,2026-01-30,499,SUCCESS,UPI,INR
PAY00246,TXN00246,ORD00246,MERCHANT_003,2026-05-07,299,SUCCESS,UPI,INR
PAY00247,TXN00247,ORD00247,MERCHANT_005,2026-02-06,1999,SUCCESS,WALLET,INR
PAY00248,TXN00248,ORD00248,MERCHANT_005,2026-04-20,3999,SUCCESS,CARD,INR
PAY00249,TXN00249,ORD00249,MERCHANT_001,2026-05-06,3999,SUCCESS,WALLET,INR
PAY00250,TXN00250,ORD00250,MERCHANT_001,2026-06-26,1499,SUCCESS,CARD,INR
PAY00251,TXN00251,ORD00251,MERCHANT_004,2026-03-02,9999,SUCCESS,NETBANKING,INR
PAY00252,TXN00252,ORD00252,MERCHANT_003,2026-05-20,4999,SUCCESS,NETBANKING,INR
PAY00253,TXN00253,ORD00253,MERCHANT_004,2026-03-12,799,SUCCESS,UPI,INR
PAY00254,TXN00254,ORD00254,MERCHANT_001,2026-06-19,799,SUCCESS,UPI,INR
PAY00255,TXN00255,ORD00255,MERCHANT_003,2026-03-05,499,SUCCESS,CARD,INR
PAY00256,TXN00256,ORD00256,MERCHANT_005,2026-02-23,3999,SUCCESS,CARD,INR
PAY00257,TXN00257,ORD00257,MERCHANT_003,2026-02-07,7999,SUCCESS,UPI,INR
PAY00258,TXN00258,ORD00258,MERCHANT_002,2026-02-05,2999,SUCCESS,NETBANKING,INR
PAY00259,TXN00259,ORD00259,MERCHANT_001,2026-06-20,9999,SUCCESS,UPI,INR
PAY00260,TXN00260,ORD00260,MERCHANT_001,2026-04-02,7999,SUCCESS,CARD,INR
PAY00261,TXN00261,ORD00261,MERCHANT_001,2026-02-15,999,SUCCESS,UPI,INR
PAY00262,TXN00262,ORD00262,MERCHANT_004,2026-05-15,299,SUCCESS,UPI,INR
PAY00263,TXN00263,ORD00263,MERCHANT_004,2026-04-05,2999,SUCCESS,UPI,INR
PAY00264,TXN00264,ORD00264,MERCHANT_005,2026-02-27,3999,SUCCESS,UPI,INR
PAY00265,TXN00265,ORD00265,MERCHANT_003,2026-04-29,4999,SUCCESS,UPI,INR
PAY00266,TXN00266,ORD00266,MERCHANT_004,2026-04-14,1999,SUCCESS,UPI,INR
PAY00267,TXN00267,ORD00267,MERCHANT_004,2026-01-19,299,SUCCESS,NETBANKING,INR
PAY00268,TXN00268,ORD00268,MERCHANT_001,2026-02-03,999,SUCCESS,NETBANKING,INR
PAY00269,TXN00269,ORD00269,MERCHANT_005,2026-05-17,999,SUCCESS,WALLET,INR
